pcpn_amt_pst24hrs,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,cum_pcpn_amt,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,snw_dpth,MAX_TEMP,week_of_year
None, None, None,541.0,911.0, None,2022-01-01 00:00:00, -17.6, None, 180.0, None,1
None, None, 0.0,541.0,911.0, None,2022-01-01 01:00:00, -15.9, None, 180.0, None,1
None, None, None,541.0,910.0, None,2022-01-01 02:00:00, -14.9, None, 180.0, None,1
None, None, None,541.0,908.0, None,2022-01-01 03:00:00, -14.2, None, 180.0, None,1
None, None, 0.0,540.0,908.0, None,2022-01-01 04:00:00, -14.0, None, 180.0, None,1
None, None, None,540.0,907.0, None,2022-01-01 05:00:00, -13.8, None, 180.0, None,1
None, None, None,540.0,906.0, None,2022-01-01 06:00:00, -12.8, None, 180.0, None,1
None, None, None,540.0,905.0, None,2022-01-01 07:00:00, -12.3, None, 180.0, None,1
None, None, 1.0,540.0,906.0, None,2022-01-01 08:00:00, -11.5, None, 416.0, None,1
None, None, None,540.0,904.0, None,2022-01-01 09:00:00, -11.1, None, 416.0, None,1
None, None, None,540.0,903.0, None,2022-01-01 10:00:00, -10.5, None, 186.0, None,1
None, None, None,540.0,902.0, None,2022-01-01 11:00:00, -8.6, None, 190.0, None,1
None, None, None,541.0,900.0, None,2022-01-01 12:00:00, -7.7, None, 191.0, None,1
None, None, None,541.0,898.0, None,2022-01-01 13:00:00, -7.2, None, 191.0, None,1
None, None, None,541.0,897.0, None,2022-01-01 14:00:00, -7.8, None, 190.0, None,1
None, None, 0.0,541.0,897.0, None,2022-01-01 15:00:00, -8.0, None, 190.0, None,1
None, None, None,541.0,896.0, None,2022-01-01 16:00:00, -8.4, None, 189.0, None,1
None, None, 0.0,542.0,896.0, None,2022-01-01 17:00:00, -9.0, None, 189.0, None,1
None, None, None,542.0,895.0, None,2022-01-01 18:00:00, -9.1, None, 189.0, None,1
None, None, 0.0,542.0,895.0, None,2022-01-01 19:00:00, -9.0, None, 188.0, None,1
None, None, 0.0,542.0,895.0, None,2022-01-01 20:00:00, -8.9, None, 188.0, None,1
None, None, 0.0,543.0,895.0, None,2022-01-01 21:00:00, -8.5, None, 188.0, None,1
None, None, 0.0,543.0,895.0, None,2022-01-01 22:00:00, -8.3, None, 187.0, None,1
None, None, 0.0,543.0,895.0, None,2022-01-01 23:00:00, -8.2, None, 416.0, None,1
None, None, 0.0,544.0,895.0, None,2022-01-02 00:00:00, -8.6, None, 416.0, None,1
None, None, 0.0,544.0,895.0, None,2022-01-02 01:00:00, -8.7, None, 416.0, None,1
None, None, 0.0,545.0,895.0, None,2022-01-02 02:00:00, -8.6, None, 192.0, None,1
None, None, 0.0,545.0,895.0, None,2022-01-02 03:00:00, -8.8, None, 416.0, None,1
