pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, -7.99, None, None, None, None, 26.09, None, 8.31, 357.7, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 00:00:00, None, None, 101.5, None,6
None, -8.39, None, None, None, None, 26.81, None, 7.71, 356.7, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 01:00:00, None, None, 101.7, None,6
None, -8.43, None, None, None, None, 27.39, None, 8.07, 356.6, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 02:00:00, None, None, 101.4, None,6
None, -8.87, None, None, None, None, 25.69, None, 10.16, 359.1, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 03:00:00, None, None, 101.4, None,6
None, -8.97, None, None, None, None, 25.34, None, 11.47, 356.0, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 04:00:00, None, None, 101.4, None,6
None, -9.34, None, None, None, None, 30.15, None, 9.43, 351.8, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 05:00:00, None, None, 101.4, None,6
None, -9.52, None, None, None, None, 28.11, None, 8.77, 359.4, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 06:00:00, None, None, 101.3, None,6
None, -9.45, None, None, None, None, 27.79, None, 8.94, 357.4, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 07:00:00, None, None, 101.4, None,6
None, -9.69, None, None, None, None, 28.91, None, 7.18, 357.5, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 08:00:00, None, None, 101.4, None,6
None, -9.67, None, None, None, None, 25.75, None, 9.51, 358.5, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 09:00:00, None, None, 101.3, None,6
None, -8.79, None, None, None, None, 24.03, None, 10.57, 0.001, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 10:00:00, None, None, 101.3, None,6
None, -8.07, None, None, None, None, 27.22, None, 8.15, 356.0, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 11:00:00, None, None, 101.3, None,6
None, -7.6, None, None, None, None, 35.85, None, 5.522, 13.7, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 12:00:00, None, None, 101.3, None,6
None, -7.24, None, None, None, None, 36.11, None, 6.347, 10.23, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 13:00:00, None, None, 100.9, None,6
None, -7.92, None, None, None, None, 49.62, None, 4.529, 13.49, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 14:00:00, None, None, 101.1, None,6
None, -7.68, None, None, None, None, 43.19, None, 4.16, 7.79, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 15:00:00, None, None, 101.1, None,6
None, -8.68, None, None, None, None, 39.7, None, 5.433, 358.2, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 16:00:00, None, None, 101.3, None,6
None, -9.08, None, None, None, None, 21.39, None, 12.41, 5.174, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 17:00:00, None, None, 101.2, None,6
None, -9.32, None, None, None, None, 29.45, None, 9.63, 359.5, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 18:00:00, None, None, 101.3, None,6
None, -9.49, None, None, None, None, 22.45, None, 11.61, 3.9, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 19:00:00, None, None, 101.3, None,6
None, -9.68, None, None, None, None, 21.6, None, 13.42, 12.01, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 20:00:00, None, None, 101.1, None,6
None, -9.87, None, None, None, None, 20.98, None, 11.55, 7.38, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 21:00:00, None, None, 101.2, None,6
None, -9.81, None, None, None, None, 22.53, None, 8.32, 5.6, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 22:00:00, None, None, 101.2, None,6
None, -9.91, None, None, None, None, 32.3, None, 6.272, 359.9, None, None, None, None, None, None, None, None, None, None, None,2017-02-05 23:00:00, None, None, 100.9, None,6
None, -9.73, None, None, None, None, 24.04, None, 8.39, 357.8, None, None, None, None, None, None, None, None, None, None, None,2017-02-06 00:00:00, None, None, 101.2, None,6
