pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, None, -6.34, 93.8, None, None, None, None, 10.83, None, 19.64, 195.8, None, None, None, None, None, -7.0, None, None, None, None, None, None,2017-02-05 00:00:00, None, None, 114.1,6
None, None, -7.49, 91.1, None, None, None, None, 53.38, None, 5.036, 304.9, None, None, None, None, None, -9.0, None, None, None, None, None, None,2017-02-05 01:00:00, None, None, 118.8,6
None, None, -7.74, 90.4, None, None, None, None, 41.03, None, 4.502, 319.2, None, None, None, None, None, -9.0, None, None, None, None, None, None,2017-02-05 02:00:00, None, None, 121.5,6
None, None, -8.26, 88.8, None, None, None, None, 55.62, None, 3.547, 318.6, None, None, None, None, None, -10.0, None, None, None, None, None, None,2017-02-05 03:00:00, None, None, 125.3,6
None, None, -8.16, 89.6, None, None, None, None, 62.38, None, 2.465, 338.5, None, None, None, None, None, -9.0, None, None, None, None, None, None,2017-02-05 04:00:00, None, None, 127.6,6
None, None, -8.33, 88.9, None, None, None, None, 66.97, None, 1.483, 13.11, None, None, None, None, None, -10.0, None, None, None, None, None, None,2017-02-05 05:00:00, None, None, 129.6,6
None, None, -8.78, 87.7, None, None, None, None, 73.2, None, 0.774, 29.86, None, None, None, None, None, -10.0, None, None, None, None, None, None,2017-02-05 06:00:00, None, None, 129.2,6
None, None, -9.23, 86.5, None, None, None, None, 71.5, None, 0.981, 68.56, None, None, None, None, None, -11.0, None, None, None, None, None, None,2017-02-05 07:00:00, None, None, 130.7,6
None, None, -9.35, 86.4, None, None, None, None, 58.97, None, 1.401, 95.6, None, None, None, None, None, -11.0, None, None, None, None, None, None,2017-02-05 08:00:00, None, None, 130.5,6
None, None, -9.05, 87.3, None, None, None, None, 23.15, None, 3.426, 51.02, None, None, None, None, None, -11.0, None, None, None, None, None, None,2017-02-05 09:00:00, None, None, 130.8,6
None, None, -9.02, 87.2, None, None, None, None, 17.68, None, 4.802, 72.2, None, None, None, None, None, -11.0, None, None, None, None, None, None,2017-02-05 10:00:00, None, None, 130.7,6
None, None, -8.07, 90.1, None, None, None, None, 11.93, None, 4.89, 79.5, None, None, None, None, None, -9.0, None, None, None, None, None, None,2017-02-05 11:00:00, None, None, 130.8,6
None, None, -8.4, 88.6, None, None, None, None, 9.8, None, 8.11, 78.6, None, None, None, None, None, -10.0, None, None, None, None, None, None,2017-02-05 12:00:00, None, None, 131.1,6
None, None, -8.17, 88.2, None, None, None, None, 12.02, None, 8.74, 78.8, None, None, None, None, None, -10.0, None, None, None, None, None, None,2017-02-05 13:00:00, None, None, 131.6,6
None, None, -8.8, 86.1, None, None, None, None, 12.12, None, 8.37, 84.6, None, None, None, None, None, -10.0, None, None, None, None, None, None,2017-02-05 14:00:00, None, None, 131.3,6
None, None, -9.12, 85.9, None, None, None, None, 9.64, None, 10.62, 81.1, None, None, None, None, None, -11.0, None, None, None, None, None, None,2017-02-05 15:00:00, None, None, 131.7,6
None, None, -9.98, 83.4, None, None, None, None, 15.61, None, 10.02, 80.7, None, None, None, None, None, -12.0, None, None, None, None, None, None,2017-02-05 16:00:00, None, None, 131.6,6
None, None, -12.02, 80.7, None, None, None, None, 14.88, None, 9.88, 75.6, None, None, None, None, None, -14.0, None, None, None, None, None, None,2017-02-05 17:00:00, None, None, 132.0,6
None, None, -13.06, 79.7, None, None, None, None, 14.29, None, 9.78, 77.1, None, None, None, None, None, -16.0, None, None, None, None, None, None,2017-02-05 18:00:00, None, None, 132.2,6
None, None, -13.56, 78.5, None, None, None, None, 19.31, None, 8.29, 75.7, None, None, None, None, None, -16.0, None, None, None, None, None, None,2017-02-05 19:00:00, None, None, 132.4,6
None, None, -14.34, 77.9, None, None, None, None, 14.32, None, 11.65, 73.1, None, None, None, None, None, -17.0, None, None, None, None, None, None,2017-02-05 20:00:00, None, None, 132.5,6
None, None, -14.98, 77.8, None, None, None, None, 13.84, None, 12.61, 71.2, None, None, None, None, None, -18.0, None, None, None, None, None, None,2017-02-05 21:00:00, None, None, 132.8,6
None, None, -14.71, 77.8, None, None, None, None, 11.89, None, 17.05, 71.0, None, None, None, None, None, -17.0, None, None, None, None, None, None,2017-02-05 22:00:00, None, None, 132.7,6
None, None, -15.33, 77.5, None, None, None, None, 12.62, None, 15.65, 72.8, None, None, None, None, None, -18.0, None, None, None, None, None, None,2017-02-05 23:00:00, None, None, 133.0,6
None, None, -15.57, 77.1, None, None, None, None, 11.8, None, 17.8, 74.2, None, None, None, None, None, -18.0, None, None, None, None, None, None,2017-02-06 00:00:00, None, None, 132.9,6
None, None, -15.86, 76.9, None, None, None, None, 12.54, None, 17.85, 72.9, None, None, None, None, None, -19.0, None, None, None, None, None, None,2017-02-06 01:00:00, None, None, 133.5,6
None, None, -16.05, 76.3, None, None, None, None, 22.23, None, 9.43, 70.6, None, None, None, None, None, -19.0, None, None, None, None, None, None,2017-02-06 02:00:00, None, None, 131.5,6
None, None, -17.06, 77.2, None, None, None, None, 13.77, None, 14.99, 75.8, None, None, None, None, None, -20.0, None, None, None, None, None, None,2017-02-06 03:00:00, None, None, 133.8,6
None, None, -17.18, 77.1, None, None, None, None, 10.69, None, 14.87, 77.6, None, None, None, None, None, -20.0, None, None, None, None, None, None,2017-02-06 04:00:00, None, None, 134.3,6
None, None, -17.09, 77.0, None, None, None, None, 10.28, None, 15.05, 69.96, None, None, None, None, None, -20.0, None, None, None, None, None, None,2017-02-06 05:00:00, None, None, 133.9,6
None, None, -17.12, 77.0, None, None, None, None, 8.84, None, 15.82, 69.05, None, None, None, None, None, -20.0, None, None, None, None, None, None,2017-02-06 06:00:00, None, None, 135.6,6
None, None, -17.24, 76.9, None, None, None, None, 8.89, None, 16.41, 70.3, None, None, None, None, None, -20.0, None, None, None, None, None, None,2017-02-06 07:00:00, None, None, 135.7,6
None, None, -17.38, 76.8, None, None, None, None, 8.68, None, 14.09, 72.2, None, None, None, None, None, -20.0, None, None, None, None, None, None,2017-02-06 08:00:00, None, None, 135.6,6
None, None, -16.96, 77.0, None, None, None, None, 12.81, None, 11.52, 68.89, None, None, None, None, None, -20.0, None, None, None, None, None, None,2017-02-06 09:00:00, None, None, 136.2,6
None, None, -15.5, 77.3, None, None, None, None, 23.04, None, 5.928, 69.8, None, None, None, None, None, -18.0, None, None, None, None, None, None,2017-02-06 10:00:00, None, None, 136.0,6
None, None, -13.33, 75.7, None, None, None, None, 17.58, None, 6.349, 76.2, None, None, None, None, None, -16.0, None, None, None, None, None, None,2017-02-06 11:00:00, None, None, 134.9,6
None, None, -14.5, 76.2, None, None, None, None, 18.96, None, 7.46, 79.0, None, None, None, None, None, -17.0, None, None, None, None, None, None,2017-02-06 12:00:00, None, None, 135.7,6
None, None, -12.87, 76.7, None, None, None, None, 13.24, None, 7.57, 77.3, None, None, None, None, None, -16.0, None, None, None, None, None, None,2017-02-06 14:00:00, None, None, 137.1,6
None, None, -12.7, 77.5, None, None, None, None, 8.15, None, 10.68, 69.45, None, None, None, None, None, -15.0, None, None, None, None, None, None,2017-02-06 15:00:00, None, None, 137.4,6
