station_observations
WDIR_VECT, time
55.5, 2021-01-01 00:00:00
89.6, 2021-01-01 01:00:00
74.1, 2021-01-01 02:00:00
73.1, 2021-01-01 03:00:00
83.1, 2021-01-01 04:00:00
83.8, 2021-01-01 05:00:00
86.9, 2021-01-01 06:00:00
77.9, 2021-01-01 07:00:00
90.5, 2021-01-01 08:00:00
95.0, 2021-01-01 09:00:00
91.9, 2021-01-01 10:00:00
100.3, 2021-01-01 11:00:00
97.2, 2021-01-01 12:00:00
83.0, 2021-01-01 13:00:00
175.8, 2021-01-01 14:00:00
50.8, 2021-01-01 15:00:00
67.1, 2021-01-01 16:00:00
81.5, 2021-01-01 17:00:00
88.1, 2021-01-01 18:00:00
51.4, 2021-01-01 19:00:00
53.9, 2021-01-01 20:00:00
68.4, 2021-01-01 21:00:00
91.6, 2021-01-01 22:00:00
99.0, 2021-01-01 23:00:00
114.3, 2021-01-02 00:00:00
146.6, 2021-01-02 01:00:00
141.7, 2021-01-02 02:00:00
139.3, 2021-01-02 03:00:00
147.5, 2021-01-02 04:00:00
125.0, 2021-01-02 05:00:00
110.3, 2021-01-02 06:00:00
103.9, 2021-01-02 07:00:00
128.6, 2021-01-02 08:00:00
137.4, 2021-01-02 09:00:00
133.9, 2021-01-02 10:00:00
122.0, 2021-01-02 11:00:00
134.3, 2021-01-02 12:00:00
129.3, 2021-01-02 13:00:00
137.9, 2021-01-02 14:00:00
152.3, 2021-01-02 15:00:00
182.4, 2021-01-02 16:00:00
179.0, 2021-01-02 17:00:00
206.8, 2021-01-02 18:00:00
228.4, 2021-01-02 19:00:00
342.5, 2021-01-02 20:00:00
40.0, 2021-01-02 21:00:00
63.0, 2021-01-02 22:00:00
61.9, 2021-01-02 23:00:00
46.8, 2021-01-03 00:00:00
66.7, 2021-01-03 01:00:00
70.7, 2021-01-03 02:00:00
75.4, 2021-01-03 03:00:00
81.7, 2021-01-03 04:00:00
84.5, 2021-01-03 05:00:00
82.9, 2021-01-03 06:00:00
85.1, 2021-01-03 07:00:00
103.7, 2021-01-03 08:00:00
108.9, 2021-01-03 09:00:00
149.2, 2021-01-03 10:00:00
155.5, 2021-01-03 11:00:00
158.7, 2021-01-03 12:00:00
172.1, 2021-01-03 13:00:00
179.4, 2021-01-03 14:00:00
174.3, 2021-01-03 15:00:00
102.8, 2021-01-03 16:00:00
79.2, 2021-01-03 17:00:00
29.3, 2021-01-03 18:00:00
11.1, 2021-01-03 19:00:00
58.2, 2021-01-03 20:00:00
49.5, 2021-01-03 21:00:00
25.8, 2021-01-03 22:00:00
87.1, 2021-01-03 23:00:00
90.1, 2021-01-04 00:00:00
97.8, 2021-01-04 01:00:00
83.6, 2021-01-04 02:00:00
74.2, 2021-01-04 03:00:00
68.6, 2021-01-04 04:00:00
83.9, 2021-01-04 05:00:00
108.1, 2021-01-04 06:00:00
94.3, 2021-01-04 07:00:00
97.1, 2021-01-04 08:00:00
76.8, 2021-01-04 09:00:00
87.0, 2021-01-04 10:00:00
78.3, 2021-01-04 11:00:00
246.0, 2021-01-04 12:00:00
234.7, 2021-01-04 13:00:00
211.4, 2021-01-04 14:00:00
190.1, 2021-01-04 15:00:00
150.1, 2021-01-04 16:00:00
88.6, 2021-01-04 17:00:00
59.7, 2021-01-04 18:00:00
44.2, 2021-01-04 19:00:00
0.9, 2021-01-04 20:00:00
55.9, 2021-01-04 21:00:00
47.6, 2021-01-04 22:00:00
66.5, 2021-01-04 23:00:00
30.2, 2021-01-05 00:00:00
349.1, 2021-01-05 01:00:00
30.5, 2021-01-05 02:00:00
18.8, 2021-01-05 03:00:00
84.5, 2021-01-05 04:00:00
70.6, 2021-01-05 05:00:00
68.6, 2021-01-05 06:00:00
80.7, 2021-01-05 07:00:00
92.0, 2021-01-05 08:00:00
89.9, 2021-01-05 09:00:00
89.3, 2021-01-05 10:00:00
81.0, 2021-01-05 11:00:00
77.9, 2021-01-05 12:00:00
75.4, 2021-01-05 13:00:00
78.5, 2021-01-05 14:00:00
69.8, 2021-01-05 15:00:00
69.8, 2021-01-05 16:00:00
73.2, 2021-01-05 17:00:00
70.0, 2021-01-05 18:00:00
66.3, 2021-01-05 19:00:00
