ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,snw_dpth,MAX_TEMP,week_of_year
None, 374.0, 134.0, None, None,2017-01-01 00:00:00, -14.3, None, 72.0, None,1
None, 374.0, 134.0, None, None,2017-01-01 01:00:00, -13.7, None, 73.0, None,1
None, 374.0, 134.0, None, None,2017-01-01 02:00:00, -14.0, None, 73.0, None,1
None, 374.0, 134.0, None, None,2017-01-01 03:00:00, -14.6, None, 73.0, None,1
None, 374.0, 134.0, None, None,2017-01-01 04:00:00, -13.3, None, 73.0, None,1
None, 374.0, 134.0, None, None,2017-01-01 05:00:00, -14.9, None, 73.0, None,1
None, 374.0, 134.0, None, None,2017-01-01 06:00:00, -14.6, None, 74.0, None,1
None, 373.0, 134.0, None, None,2017-01-01 07:00:00, -16.5, None, 73.0, None,1
None, 373.0, 134.0, None, None,2017-01-01 08:00:00, -18.8, None, 73.0, None,1
None, 374.0, 134.0, None, None,2017-01-01 09:00:00, -17.8, None, 73.0, None,1
None, 374.0, 134.0, None, None,2017-01-01 10:00:00, -17.8, None, 73.0, None,1
None, 373.0, 134.0, None, None,2017-01-01 11:00:00, -17.7, None, 73.0, None,1
None, 375.0, 134.0, None, None,2017-01-01 12:00:00, -19.5, None, 73.0, None,1
None, 373.0, 134.0, None, None,2017-01-01 13:00:00, -18.2, None, 73.0, None,1
None, 378.0, 134.0, None, None,2017-01-01 14:00:00, -14.2, None, 73.0, None,1
None, 379.0, 134.0, None, None,2017-01-01 15:00:00, -15.8, None, 73.0, None,1
None, 380.0, 134.0, 377.0, None,2017-01-01 16:00:00, -15.4, None, 73.0, None,1
None, 379.0, 134.0, None, None,2017-01-01 17:00:00, -15.2, None, 73.0, None,1
None, 380.0, 134.0, None, None,2017-01-01 18:00:00, -14.2, None, 73.0, None,1
None, 381.0, 134.0, None, None,2017-01-01 19:00:00, -13.8, None, 73.0, None,1
None, 381.0, 134.0, None, None,2017-01-01 20:00:00, -13.3, None, 73.0, None,1
None, 380.0, 134.0, None, None,2017-01-01 21:00:00, -12.9, None, 73.0, None,1
None, 379.0, 134.0, None, None,2017-01-01 22:00:00, -11.1, None, 72.0, None,1
None, 377.0, 134.0, None, None,2017-01-01 23:00:00, -12.0, None, 72.0, None,1
None, 374.0, 134.0, None, None,2017-01-02 00:00:00, -12.2, None, 72.0, None,1
None, 374.0, 134.0, None, None,2017-01-02 01:00:00, -12.7, None, 72.0, None,1
None, 374.0, 134.0, None, None,2017-01-02 02:00:00, -13.3, None, 72.0, None,1
None, 377.0, 134.0, None, None,2017-01-02 03:00:00, -11.1, None, 72.0, None,1
None, 377.0, 134.0, None, None,2017-01-02 04:00:00, -11.9, None, 72.0, None,1
None, 376.0, 134.0, None, None,2017-01-02 05:00:00, -12.0, None, 72.0, None,1
None, 375.0, 134.0, None, None,2017-01-02 06:00:00, -13.3, None, 72.0, None,1
None, 375.0, 134.0, None, None,2017-01-02 07:00:00, -13.1, None, 72.0, None,1
None, 375.0, 134.0, None, None,2017-01-02 08:00:00, -13.3, None, 72.0, None,1
None, 376.0, 134.0, None, None,2017-01-02 09:00:00, -12.0, None, 72.0, None,1
None, 377.0, 134.0, None, None,2017-01-02 10:00:00, -12.1, None, 71.0, None,1
None, 377.0, 134.0, None, None,2017-01-02 11:00:00, -12.8, None, 71.0, None,1
None, 377.0, 134.0, None, None,2017-01-02 12:00:00, -9.9, None, 71.0, None,1
None, 379.0, 134.0, None, None,2017-01-02 13:00:00, -8.8, None, 71.0, None,1
None, 378.0, 134.0, None, None,2017-01-02 14:00:00, -8.4, None, 71.0, None,1
None, 376.0, 134.0, None, None,2017-01-02 15:00:00, -9.1, None, 71.0, None,1
None, 374.0, 134.0, 371.0, None,2017-01-02 16:00:00, -10.3, None, 71.0, None,1
None, 375.0, 134.0, None, None,2017-01-02 17:00:00, -8.7, None, 71.0, None,1
None, 376.0, 134.0, None, None,2017-01-02 18:00:00, -8.5, None, 71.0, None,1
None, 376.0, 134.0, None, None,2017-01-02 19:00:00, -10.2, None, 71.0, None,1
None, 375.0, 134.0, None, None,2017-01-02 20:00:00, -10.8, None, 70.0, None,1
None, 376.0, 134.0, None, None,2017-01-02 21:00:00, -10.4, None, 70.0, None,1
None, 375.0, 134.0, None, None,2017-01-02 22:00:00, -9.3, None, 70.0, None,1
None, 374.0, 134.0, None, None,2017-01-02 23:00:00, -10.3, None, 70.0, None,1
None, 373.0, 134.0, None, None,2017-01-03 00:00:00, -11.6, None, 70.0, None,1
None, 374.0, 134.0, None, None,2017-01-03 01:00:00, -8.9, None, 70.0, None,1
None, 375.0, 134.0, None, None,2017-01-03 02:00:00, -9.1, None, 70.0, None,1
None, 374.0, 134.0, None, None,2017-01-03 03:00:00, -10.6, None, 70.0, None,1
None, 374.0, 134.0, None, None,2017-01-03 04:00:00, -9.6, None, 70.0, None,1
None, 374.0, 134.0, None, None,2017-01-03 05:00:00, -10.3, None, 70.0, None,1
None, 374.0, 134.0, None, None,2017-01-03 06:00:00, -9.1, None, 70.0, None,1
None, 375.0, 134.0, None, None,2017-01-03 07:00:00, -9.6, None, 70.0, None,1
None, 376.0, 134.0, None, None,2017-01-03 08:00:00, -8.1, None, 70.0, None,1
None, 375.0, 134.0, None, None,2017-01-03 09:00:00, -9.2, None, 69.0, None,1
None, 375.0, 134.0, None, None,2017-01-03 10:00:00, -9.2, None, 69.0, None,1
None, 374.0, 134.0, None, None,2017-01-03 11:00:00, -10.3, None, 69.0, None,1
None, 373.0, 134.0, None, None,2017-01-03 12:00:00, -13.1, None, 69.0, None,1
None, 373.0, 134.0, None, None,2017-01-03 13:00:00, -12.5, None, 69.0, None,1
None, 373.0, 134.0, None, None,2017-01-03 14:00:00, -12.7, None, 69.0, None,1
None, 373.0, 134.0, None, None,2017-01-03 15:00:00, -12.5, None, 69.0, None,1
None, 373.0, 134.0, 371.0, None,2017-01-03 16:00:00, -13.6, None, 69.0, None,1
None, 373.0, 134.0, None, None,2017-01-03 17:00:00, -14.5, None, 69.0, None,1
None, 376.0, 134.0, None, None,2017-01-03 19:00:00, -8.7, None, 69.0, None,1
None, 376.0, 134.0, None, None,2017-01-03 20:00:00, -9.2, None, 69.0, None,1
None, 376.0, 134.0, None, None,2017-01-03 21:00:00, -7.9, None, 69.0, None,1
None, 375.0, 134.0, None, None,2017-01-03 22:00:00, -7.0, None, 69.0, None,1
None, 375.0, 136.0, None, None,2017-01-03 23:00:00, -8.3, None, 69.0, None,1
None, 373.0, 136.0, None, None,2017-01-04 00:00:00, -10.2, None, 69.0, None,1
None, 373.0, 136.0, None, None,2017-01-04 01:00:00, -11.5, None, 69.0, None,1
None, 374.0, 136.0, None, None,2017-01-04 02:00:00, -10.2, None, 69.0, None,1
None, 374.0, 136.0, None, None,2017-01-04 03:00:00, -10.8, None, 69.0, None,1
None, 374.0, 136.0, None, None,2017-01-04 04:00:00, -10.4, None, 69.0, None,1
None, 374.0, 136.0, None, None,2017-01-04 05:00:00, -10.9, None, 69.0, None,1
None, 373.0, 136.0, None, None,2017-01-04 06:00:00, -12.0, None, 69.0, None,1
None, 373.0, 136.0, None, None,2017-01-04 07:00:00, -13.0, None, 69.0, None,1
None, 373.0, 136.0, None, None,2017-01-04 08:00:00, -14.2, None, 69.0, None,1
None, 373.0, 136.0, None, None,2017-01-04 09:00:00, -11.7, None, 69.0, None,1
None, 374.0, 136.0, None, None,2017-01-04 10:00:00, -13.0, None, 69.0, None,1
None, 374.0, 136.0, None, None,2017-01-04 11:00:00, -12.2, None, 69.0, None,1
None, 374.0, 136.0, None, None,2017-01-04 12:00:00, -11.6, None, 69.0, None,1
None, 373.0, 136.0, None, None,2017-01-04 13:00:00, -14.2, None, 68.0, None,1
None, 373.0, 136.0, None, None,2017-01-04 14:00:00, -14.1, None, 68.0, None,1
None, 373.0, 136.0, None, None,2017-01-04 15:00:00, -14.8, None, 68.0, None,1
