CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,time,DEW_POINT,week_of_year
-6.438,88.4,2022-03-05 00:00:00,-8.0,10
-7.227,89.4,2022-03-05 01:00:00,-9.0,10
-7.223,89.1,2022-03-05 02:00:00,-9.0,10
-5.511,88.6,2022-03-05 03:00:00,-7.0,10
-5.059,88.9,2022-03-05 04:00:00,-6.0,10
-4.124,86.7,2022-03-05 05:00:00,-6.0,10
-4.475,85.8,2022-03-05 06:00:00,-6.0,10
-3.105,77.57,2022-03-05 07:00:00,-6.0,10
-1.924,70.7,2022-03-05 08:00:00,-6.0,10
-0.698,65.3,2022-03-05 09:00:00,-6.0,10
0.177,60.0,2022-03-05 10:00:00,-7.0,10
1.372,53.54,2022-03-05 11:00:00,-7.0,10
2.04,47.42,2022-03-05 12:00:00,-8.0,10
2.907,41.02,2022-03-05 13:00:00,-9.0,10
3.52,38.42,2022-03-05 14:00:00,-9.0,10
4.103,36.85,2022-03-05 15:00:00,-9.0,10
3.586,35.17,2022-03-05 16:00:00,-11.0,10
2.692,41.14,2022-03-05 17:00:00,-9.0,10
1.712,46.66,2022-03-05 18:00:00,-9.0,10
0.539,51.54,2022-03-05 19:00:00,-8.0,10
-1.313,64.33,2022-03-05 20:00:00,-6.0,10
0.547,49.62,2022-03-05 21:00:00,-8.0,10
0.495,49.83,2022-03-05 22:00:00,-9.0,10
0.387,51.97,2022-03-05 23:00:00,-8.0,10
0.765,51.7,2022-03-06 00:00:00,-8.0,10
0.235,53.26,2022-03-06 01:00:00,-8.0,10
-1.498,60.59,2022-03-06 02:00:00,-7.0,10
-3.379,72.87,2022-03-06 03:00:00,-7.0,10
-3.686,72.78,2022-03-06 04:00:00,-8.0,10
-4.94,79.57,2022-03-06 05:00:00,-8.0,10
-6.405,82.9,2022-03-06 06:00:00,-8.0,10
-5.71,82.5,2022-03-06 07:00:00,-8.0,10
-3.154,75.16,2022-03-06 08:00:00,-7.0,10
-1.21,63.52,2022-03-06 09:00:00,-6.0,10
0.366,57.6,2022-03-06 10:00:00,-7.0,10
3.596,56.23,2022-03-06 11:00:00,-4.0,10
5.292,50.51,2022-03-06 12:00:00,-4.0,10
6.212,47.11,2022-03-06 13:00:00,-4.0,10
7.161,43.51,2022-03-06 14:00:00,-5.0,10
7.231,39.11,2022-03-06 15:00:00,-5.0,10
6.941,37.49,2022-03-06 16:00:00,-7.0,10
5.92,46.92,2022-03-06 17:00:00,-5.0,10
2.983,58.72,2022-03-06 18:00:00,-4.0,10
-0.309,72.28,2022-03-06 19:00:00,-4.0,10
-1.509,80.1,2022-03-06 20:00:00,-4.0,10
-2.392,84.7,2022-03-06 21:00:00,-5.0,10
-2.722,86.4,2022-03-06 22:00:00,-4.0,10
-2.691,87.2,2022-03-06 23:00:00,-4.0,10
-2.543,86.0,2022-03-07 00:00:00,-4.0,10
-1.856,79.07,2022-03-07 01:00:00,-5.0,10
6.008,30.96,2022-03-07 02:00:00,-10.0,10
2.385,48.52,2022-03-07 03:00:00,-7.0,10
5.762,42.78,2022-03-07 04:00:00,-5.0,10
4.675,51.65,2022-03-07 05:00:00,-4.0,10
