CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, -6.615, 83.2, None, None, None, None, 55.01, 0.0, 1.951, 34.56, -9.0, None, -6.6, -7.5, None, None, None, None, -5.5, None, None, 83.0, None,2022-03-05 00:00:00, 149.0, None, 148.5,10
None, -6.502, 84.5, None, None, None, None, 64.51, 0.0, 2.284, 33.43, -9.0, None, -6.5, -7.5, None, None, None, None, -5.5, None, None, 85.0, None,2022-03-05 01:00:00, 148.0, None, 148.3,10
None, -6.519, 84.5, None, None, None, None, 66.87, 0.0, 2.481, 23.6, -8.0, None, -6.5, -7.5, None, None, None, None, -5.5, None, None, 85.0, None,2022-03-05 02:00:00, 148.0, None, 148.3,10
None, -6.471, 83.7, None, None, None, None, 68.16, 0.0, 1.211, 2.56, -8.0, None, -6.5, -7.5, None, None, None, None, -5.5, None, None, 84.0, None,2022-03-05 03:00:00, 148.0, None, 148.1,10
None, -6.861, 83.1, None, None, None, None, 53.97, 0.0, 1.153, 219.0, -9.0, None, -6.9, -7.5, None, None, None, None, -5.5, None, None, 83.0, None,2022-03-05 04:00:00, 148.0, None, 148.1,10
None, -7.238, 84.9, None, None, None, None, 70.24, 0.0, 1.498, 228.8, -9.0, None, -7.2, -7.5, None, None, None, None, -5.5, None, None, 85.0, None,2022-03-05 05:00:00, 148.0, None, 147.9,10
None, -7.251, 84.9, None, None, None, None, 74.72, 0.0, 1.46, 260.3, -9.0, None, -7.3, -7.5, None, None, None, None, -5.5, None, None, 85.0, None,2022-03-05 06:00:00, 148.0, None, 147.9,10
None, -7.544, 92.1, None, None, None, None, 52.7, 0.0, 1.347, 251.3, -8.0, None, -7.5, -7.5, None, None, None, None, -7.2, None, None, 92.0, None,2022-03-05 07:00:00, 148.0, None, 147.7,10
None, -7.225, 92.0, None, None, None, None, 41.5, None, 1.37, 219.5, -8.0, None, -7.2, -7.6, None, None, None, None, -7.2, None, None, 92.0, None,2022-03-05 08:00:00, None, None, 147.6,10
None, -6.498, 90.0, None, None, None, None, 25.67, None, 4.124, 231.3, -8.0, None, -6.5, -7.6, None, None, None, None, -6.4, None, None, 90.0, None,2022-03-05 09:00:00, None, None, 147.5,10
None, -6.241, 88.1, None, None, None, None, 31.9, 0.0, 3.081, 242.7, -8.0, None, -6.2, -7.6, None, None, None, None, -5.9, None, None, 88.0, None,2022-03-05 10:00:00, 147.0, None, 147.3,10
None, -4.736, 81.8, None, None, None, None, 33.9, 0.0, 1.833, 255.3, -7.0, None, -4.7, -7.6, None, None, None, None, -4.7, None, None, 82.0, None,2022-03-05 11:00:00, 147.0, None, 147.3,10
None, -4.336, 76.99, None, None, None, None, 41.35, 0.0, 1.72, 257.2, -7.0, None, -4.3, -7.6, None, None, None, None, -4.3, None, None, 77.0, None,2022-03-05 12:00:00, 147.0, None, 146.9,10
None, -4.158, 74.9, None, None, None, None, 51.47, 0.0, 2.007, 316.5, -8.0, None, -4.2, -7.6, None, None, None, None, -3.5, None, None, 75.0, None,2022-03-05 13:00:00, 147.0, None, 147.0,10
None, -2.672, 66.51, None, None, None, None, 54.33, 0.0, 1.839, 328.0, -7.0, None, -2.7, -7.6, None, None, None, None, -2.8, None, None, 67.0, None,2022-03-05 14:00:00, 147.0, None, 147.1,10
None, 0.145, 55.59, None, None, None, None, 62.55, -1.0, 1.775, 280.9, -8.0, None, 0.1, -7.6, None, None, None, None, 0.1, None, None, 56.0, None,2022-03-05 15:00:00, 146.0, None, 146.3,10
None, -3.408, 70.48, None, None, None, None, 58.1, 1.0, 1.568, 264.0, -8.0, None, -3.4, -7.6, None, None, None, None, 0.2, None, None, 70.0, None,2022-03-05 16:00:00, 147.0, None, 146.7,10
None, -3.252, 67.07, None, None, None, None, 59.01, 0.0, 1.25, 296.8, -8.0, None, -3.3, -7.6, None, None, None, None, 0.2, None, None, 67.0, None,2022-03-05 17:00:00, 147.0, None, 146.6,10
None, -5.37, 73.52, None, None, None, None, 60.59, 0.0, 1.194, 226.9, -9.0, None, -5.4, -7.6, None, None, None, None, 0.2, None, None, 74.0, None,2022-03-05 18:00:00, 147.0, None, 146.7,10
None, -6.158, 72.98, None, None, None, None, 62.01, 0.0, 1.681, 46.43, -10.0, None, -6.2, -6.3, None, None, None, None, -5.3, None, None, 73.0, None,2022-03-05 19:00:00, 147.0, None, 146.7,10
None, -6.91, 78.48, None, None, None, None, 66.33, 0.0, 2.369, 45.63, -10.0, None, -6.9, -6.9, None, None, None, None, -5.3, None, None, 78.0, None,2022-03-05 20:00:00, 146.0, None, 146.3,10
None, -7.397, 81.9, None, None, None, None, 25.06, 0.0, 4.667, 45.06, -10.0, None, -7.4, -7.6, None, None, None, None, -5.3, None, None, 82.0, None,2022-03-05 21:00:00, 146.0, None, 146.4,10
None, -8.05, 84.4, None, None, None, None, 25.82, 0.0, 3.957, 41.31, -10.0, None, -8.1, -8.0, None, None, None, None, -5.3, None, None, 84.0, None,2022-03-05 22:00:00, 146.0, None, 146.0,10
None, -8.01, 84.5, None, None, None, None, 21.61, 0.0, 4.454, 45.61, -10.0, None, -8.0, -8.2, None, None, None, None, -5.3, None, None, 85.0, None,2022-03-05 23:00:00, 146.0, None, 146.2,10
None, -8.92, 86.5, None, None, None, None, 16.03, 0.0, 4.703, 57.27, -11.0, None, -8.9, -8.9, None, None, None, None, -5.3, None, None, 87.0, None,2022-03-06 00:00:00, 146.0, None, 145.8,10
None, -8.46, 84.1, None, None, None, None, 14.84, 0.0, 4.168, 62.69, -10.0, None, -8.5, -9.0, None, None, None, None, -5.3, None, None, 84.0, None,2022-03-06 01:00:00, 146.0, None, 145.6,10
None, -7.668, 80.6, None, None, None, None, 17.86, 0.0, 4.276, 50.95, -10.0, None, -7.7, -9.0, None, None, None, None, -5.3, None, None, 81.0, None,2022-03-06 02:00:00, 146.0, None, 145.8,10
None, -6.936, 79.24, None, None, None, None, 21.2, 0.0, 3.589, 49.04, -10.0, None, -6.9, -9.0, None, None, None, None, -5.3, None, None, 79.0, None,2022-03-06 03:00:00, 146.0, None, 145.8,10
None, -6.601, 81.0, None, None, None, None, 41.66, 0.0, 1.591, 85.0, -9.0, None, -6.6, -9.0, None, None, None, None, -5.3, None, None, 81.0, None,2022-03-06 04:00:00, 146.0, None, 145.9,10
None, -6.398, 84.3, None, None, None, None, 28.98, 0.0, 1.846, 191.1, -8.0, None, -6.4, -9.0, None, None, None, None, -5.3, None, None, 84.0, None,2022-03-06 05:00:00, 146.0, None, 145.8,10
