air_temp,min_air_temp_snc_last_reset,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
5.6,5.4, -7999.0,7.3,100.0,2022-03-05 00:00:00,6.0,10
5.1,5.2, -7999.0,7.3,100.0,2022-03-05 01:00:00,5.0,10
4.9,4.8, -7999.0,7.3,100.0,2022-03-05 02:00:00,5.0,10
5.1,4.8, -7999.0,7.3,95.0,2022-03-05 03:00:00,4.0,10
4.5,4.5, -7999.0,7.3,100.0,2022-03-05 04:00:00,5.0,10
4.3,4.3, -7999.0,7.3,100.0,2022-03-05 05:00:00,4.0,10
4.3,4.1, -7999.0,7.3,96.0,2022-03-05 06:00:00,4.0,10
4.2,4.1, -7999.0,4.4,90.0,2022-03-05 07:00:00,3.0,10
4.1,4.1, -7999.0,4.4,86.0,2022-03-05 08:00:00,2.0,10
4.4,4.0, -7999.0,4.4,88.0,2022-03-05 09:00:00,3.0,10
6.0,4.0, -7999.0,6.2,75.0,2022-03-05 10:00:00,2.0,10
6.6,4.0, -7999.0,6.8,76.0,2022-03-05 11:00:00,3.0,10
7.2,4.0, -7999.0,7.3,73.0,2022-03-05 12:00:00,3.0,10
7.4,4.0, -7999.0,8.1,72.0,2022-03-05 13:00:00,3.0,10
8.2,4.0, -7999.0,8.3,65.0,2022-03-05 14:00:00,2.0,10
8.1,4.0, -7999.0,8.4,69.0,2022-03-05 15:00:00,3.0,10
7.6,4.0, -7999.0,8.4,72.0,2022-03-05 16:00:00,3.0,10
8.1,4.0, -7999.0,8.4,65.0,2022-03-05 17:00:00,2.0,10
7.6,4.0, -7999.0,8.4,66.0,2022-03-05 18:00:00,2.0,10
6.8,6.7, -7999.0,7.8,77.0,2022-03-05 19:00:00,3.0,10
6.9,6.4, -7999.0,7.8,78.0,2022-03-05 20:00:00,3.0,10
7.1,6.4, -7999.0,7.8,75.0,2022-03-05 21:00:00,3.0,10
6.5,6.0, -7999.0,7.8,79.0,2022-03-05 22:00:00,3.0,10
6.7,6.0, -7999.0,7.8,74.0,2022-03-05 23:00:00,3.0,10
4.9,4.6, -7999.0,7.8,100.0,2022-03-06 00:00:00,5.0,10
4.8,4.5, -7999.0,7.8,92.0,2022-03-06 01:00:00,4.0,10
5.2,4.5, -7999.0,7.8,84.0,2022-03-06 02:00:00,3.0,10
5.4,4.5, -7999.0,7.8,77.0,2022-03-06 03:00:00,2.0,10
5.7,4.5, -7999.0,7.8,74.0,2022-03-06 04:00:00,1.0,10
4.7,4.5, -7999.0,7.8,76.0,2022-03-06 05:00:00,1.0,10
5.2,4.5, -7999.0,7.8,77.0,2022-03-06 06:00:00,1.0,10
4.9,5.0, -7999.0,5.3,73.0,2022-03-06 07:00:00,0.0,10
5.7,4.2, -7999.0,5.6,72.0,2022-03-06 08:00:00,1.0,10
4.8,4.2, -7999.0,7.2,74.0,2022-03-06 09:00:00,1.0,10
5.7,4.2, -7999.0,7.2,67.0,2022-03-06 10:00:00,0.0,10
7.1,4.2, -7999.0,7.4,67.0,2022-03-06 11:00:00,1.0,10
7.6,4.2, -7999.0,7.7,68.0,2022-03-06 12:00:00,2.0,10
8.5,4.2, -7999.0,8.6,62.0,2022-03-06 13:00:00,2.0,10
8.8,4.2, -7999.0,8.8,63.0,2022-03-06 14:00:00,2.0,10
9.4,4.2, -7999.0,9.5,59.0,2022-03-06 15:00:00,2.0,10
8.9,4.2, -7999.0,9.6,61.0,2022-03-06 16:00:00,2.0,10
7.8,4.2, -7999.0,9.6,68.0,2022-03-06 17:00:00,2.0,10
7.4,4.2, -7999.0,9.6,75.0,2022-03-06 18:00:00,3.0,10
7.0,7.0, -7999.0,7.5,79.0,2022-03-06 19:00:00,4.0,10
6.9,6.6, -7999.0,7.5,76.0,2022-03-06 20:00:00,3.0,10
6.7,6.5, -7999.0,7.5,83.0,2022-03-06 21:00:00,4.0,10
6.4,6.5, -7999.0,7.5,85.0,2022-03-06 22:00:00,4.0,10
6.3,5.9, -7999.0,7.5,89.0,2022-03-06 23:00:00,5.0,10
6.6,5.9, -7999.0,7.5,95.0,2022-03-07 00:00:00,6.0,10
6.1,5.9, -7999.0,7.5,100.0,2022-03-07 01:00:00,6.0,10
5.9,5.8, -7999.0,7.5,100.0,2022-03-07 02:00:00,6.0,10
5.4,5.4, -7999.0,7.5,100.0,2022-03-07 03:00:00,5.0,10
5.3,5.2, -7999.0,7.5,100.0,2022-03-07 04:00:00,5.0,10
5.4,4.8, -7999.0,7.5,100.0,2022-03-07 05:00:00,5.0,10
4.8,4.7, -7999.0,7.5,100.0,2022-03-07 06:00:00,5.0,10
5.1,4.8, -7999.0,5.3,100.0,2022-03-07 07:00:00,5.0,10
5.5,-1162.0, -7999.0,5.5,100.0,2022-03-07 08:00:00,6.0,10
5.3,-4081.0, -7999.0,5.8,100.0,2022-03-07 09:00:00,6.0,10
None,6999.0, -7999.0,5.8,0.0,2022-03-07 10:00:00,1010.0,10
5.6,-2329.0, -7999.0,5.8,100.0,2022-03-07 11:00:00,6.0,10
5.9,-2329.0, -7999.0,6.0,100.0,2022-03-07 12:00:00,6.0,10
6.2,-2329.0, -7999.0,6.3,100.0,2022-03-07 13:00:00,6.0,10
6.5,-2329.0, -7999.0,6.6,88.0,2022-03-07 14:00:00,4.0,10
6.9,-2329.0, -7999.0,7.2,86.0,2022-03-07 15:00:00,5.0,10
7.7,-2329.0, -7999.0,8.1,76.0,2022-03-07 16:00:00,4.0,10
6.6,-2329.0, -7999.0,8.1,84.0,2022-03-07 17:00:00,4.0,10
6.2,-2329.0, -7999.0,8.1,100.0,2022-03-07 18:00:00,6.0,10
6.1,6.0, -7999.0,6.3,100.0,2022-03-07 19:00:00,6.0,10
6.1,6.0, -7999.0,6.3,100.0,2022-03-07 20:00:00,6.0,10
5.9,5.9, -7999.0,6.3,100.0,2022-03-07 21:00:00,6.0,10
5.9,5.7, -7999.0,6.3,100.0,2022-03-07 22:00:00,6.0,10
5.8,5.7, -7999.0,6.3,100.0,2022-03-07 23:00:00,6.0,10
5.8,5.7, -7999.0,6.3,100.0,2022-03-08 00:00:00,6.0,10
5.8,5.7, -7999.0,6.3,100.0,2022-03-08 01:00:00,5.0,10
6.0,5.7, -7999.0,6.3,100.0,2022-03-08 02:00:00,6.0,10
5.7,5.7, -7999.0,6.3,100.0,2022-03-08 03:00:00,6.0,10
5.8,5.7, -7999.0,6.3,100.0,2022-03-08 04:00:00,6.0,10
6.1,5.7, -7999.0,6.3,96.0,2022-03-08 05:00:00,6.0,10
5.7,5.4, -7999.0,6.3,90.0,2022-03-08 06:00:00,4.0,10
5.6,5.4, -7999.0,6.5,100.0,2022-03-08 07:00:00,6.0,10
5.6,5.4, -7999.0,6.5,100.0,2022-03-08 08:00:00,6.0,10
6.1,5.4, -7999.0,6.5,100.0,2022-03-08 09:00:00,6.0,10
6.5,5.4, -7999.0,6.6,100.0,2022-03-08 10:00:00,7.0,10
7.8,5.4, -7999.0,7.9,74.0,2022-03-08 11:00:00,4.0,10
7.6,5.4, -7999.0,8.0,67.0,2022-03-08 12:00:00,2.0,10
8.1,5.4, -7999.0,8.3,68.0,2022-03-08 13:00:00,2.0,10
9.1,5.4, -7999.0,9.1,63.0,2022-03-08 14:00:00,2.0,10
8.8,5.4, -7999.0,9.2,62.0,2022-03-08 15:00:00,2.0,10
9.0,5.4, -7999.0,9.2,58.0,2022-03-08 16:00:00,1.0,10
8.4,5.4, -7999.0,9.2,57.0,2022-03-08 17:00:00,0.0,10
8.4,5.4, -7999.0,9.2,55.0,2022-03-08 18:00:00,0.0,10
8.1,8.0, -7999.0,8.4,59.0,2022-03-08 19:00:00,0.0,10
7.4,7.4, -7999.0,8.4,66.0,2022-03-08 20:00:00,1.0,10
7.1,6.8, -7999.0,8.4,67.0,2022-03-08 21:00:00,2.0,10
6.5,6.5, -7999.0,8.4,37.0,2022-03-08 22:00:00,-8.0,10
6.5,6.4, -7999.0,8.4,25.0,2022-03-08 23:00:00,-13.0,10
5.6,5.6, -7999.0,8.4,24.0,2022-03-09 00:00:00,-14.0,10
5.1,5.2, -7999.0,8.4,24.0,2022-03-09 01:00:00,-14.0,10
4.4,4.4, -7999.0,8.4,27.0,2022-03-09 02:00:00,-13.0,10
3.8,3.6, -7999.0,8.4,29.0,2022-03-09 03:00:00,-13.0,10
3.6,3.4, -7999.0,8.4,29.0,2022-03-09 04:00:00,-13.0,10
3.2,3.1, -7999.0,8.4,29.0,2022-03-09 05:00:00,-13.0,10
3.3,3.1, -7999.0,8.4,26.0,2022-03-09 06:00:00,-14.0,10
2.9,2.7, -7999.0,3.3,27.0,2022-03-09 07:00:00,-14.0,10
2.8,2.7, -7999.0,3.3,29.0,2022-03-09 08:00:00,-13.0,10
3.6,2.7, -7999.0,3.7,26.0,2022-03-09 09:00:00,-14.0,10
4.4,2.7, -7999.0,4.6,18.0,2022-03-09 10:00:00,-18.0,10
4.5,2.7, -7999.0,4.8,17.0,2022-03-09 11:00:00,-19.0,10
5.3,2.7, -7999.0,5.4,16.0,2022-03-09 12:00:00,-18.0,10
5.6,2.7, -7999.0,6.0,16.0,2022-03-09 13:00:00,-18.0,10
7.0,2.7, -7999.0,7.2,15.0,2022-03-09 14:00:00,-17.0,10
5.9,2.7, -7999.0,7.9,25.0,2022-03-09 15:00:00,-13.0,10
5.5,2.7, -7999.0,7.9,24.0,2022-03-09 16:00:00,-14.0,10
5.8,2.7, -7999.0,7.9,23.0,2022-03-09 17:00:00,-14.0,10
5.0,2.7, -7999.0,7.9,34.0,2022-03-09 18:00:00,-9.0,10
4.9,4.8, -7999.0,5.1,39.0,2022-03-09 19:00:00,-8.0,10
5.1,4.6, -7999.0,5.2,42.0,2022-03-09 20:00:00,-7.0,10
4.6,4.5, -7999.0,5.2,43.0,2022-03-09 21:00:00,-7.0,10
3.6,3.6, -7999.0,5.2,47.0,2022-03-09 22:00:00,-7.0,10
3.4,3.2, -7999.0,5.2,36.0,2022-03-09 23:00:00,-10.0,10
3.0,2.4, -7999.0,5.2,33.0,2022-03-10 00:00:00,-12.0,10
2.8,2.4, -7999.0,5.2,36.0,2022-03-10 01:00:00,-10.0,10
1.7,1.4, -7999.0,5.2,38.0,2022-03-10 02:00:00,-11.0,10
1.9,1.0, -7999.0,5.2,35.0,2022-03-10 03:00:00,-12.0,10
1.6,1.0, -7999.0,5.2,42.0,2022-03-10 04:00:00,-10.0,10
1.7,0.9, -7999.0,5.2,60.0,2022-03-10 05:00:00,-5.0,10
1.8,0.9, -7999.0,5.2,55.0,2022-03-10 06:00:00,-6.0,10
1.4,1.0, -7999.0,1.9,52.0,2022-03-10 07:00:00,-7.0,10
1.9,1.0, -7999.0,1.9,44.0,2022-03-10 08:00:00,-9.0,10
2.3,1.0, -7999.0,2.3,44.0,2022-03-10 09:00:00,-9.0,10
