ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,avg_air_temp_pst1hr
2.0, 2.0,2.5, None,2016-11-26, None,5.5,48,,,,,,
2.8, 2.8,3.0, None,2016-11-27, None,9.0,48,,,,,,
, None,-1.5, None,2016-11-29, None,7.0,48,,,,,,
1.8, 1.8,1.0, None,2016-11-30, None,5.0,48,,,,,,
,,,,2016-11-25 00:00:00,,,48,, None,4.439, None,60.05,8.57
,,,,2016-11-25 01:00:00,,,48,, None,6.641, None,58.69,8.67
,,,,2016-11-25 02:00:00,,,48,, None,7.231, None,56.25,8.83
,,,,2016-11-25 03:00:00,,,48,, None,5.389, None,55.17,9.01
,,,,2016-11-25 04:00:00,,,48,, None,6.414, None,53.72,9.49
,,,,2016-11-25 05:00:00,,,48,, None,5.172, None,55.7,8.93
,,,,2016-11-25 06:00:00,,,48,, None,4.258, None,53.46,8.89
,,,,2016-11-25 07:00:00,,,48,, None,3.701, None,54.81,8.42
,,,,2016-11-25 08:00:00,,,48,, None,2.924, None,58.72,7.389
,,,,2016-11-25 09:00:00,,,48,, None,2.3, None,60.18,6.65
,,,,2016-11-25 10:00:00,,,48,, None,2.659, None,55.24,8.36
,,,,2016-11-25 11:00:00,,,48,, None,2.116, None,53.45,9.94
,,,,2016-11-25 12:00:00,,,48,, None,1.824, None,51.39,10.54
,,,,2016-11-25 13:00:00,,,48,, None,1.919, None,46.07,11.22
,,,,2016-11-25 14:00:00,,,48,, None,2.513, None,46.75,10.8
,,,,2016-11-25 15:00:00,,,48,, None,0.856998, None,48.51,10.13
,,,,2016-11-25 16:00:00,,,48,, None,0.771, None,54.69,9.11
,,,,2016-11-25 17:00:00,,,48,, None,1.269, None,62.17,7.467
,,,,2016-11-25 18:00:00,,,48,, None,1.94, None,61.82,6.671
,,,,2016-11-25 19:00:00,,,48,, None,1.56, None,64.02,6.142
,,,,2016-11-25 20:00:00,,,48,, None,1.386, None,67.72,5.23
,,,,2016-11-25 21:00:00,,,48,, None,0.527, None,69.85,4.699
,,,,2016-11-25 22:00:00,,,48,, None,0.726998, None,70.16,4.841
,,,,2016-11-25 23:00:00,,,48,, None,1.76, None,76.89,4.713
,,,,2016-11-26 00:00:00,,,48,, None,1.062, None,87.9,4.53
,,,,2016-11-26 01:00:00,,,48,, None,1.257, None,92.8,4.541
,,,,2016-11-26 02:00:00,,,48,, None,1.165, None,100.0,4.439
,,,,2016-11-26 03:00:00,,,48,, None,0.519999, None,100.0,4.613
,,,,2016-11-26 04:00:00,,,48,, None,1.067, None,100.0,4.501
,,,,2016-11-26 05:00:00,,,48,, None,0.916998, None,99.5,4.346
,,,,2016-11-26 06:00:00,,,48,, None,1.412, None,97.1,4.174
,,,,2016-11-26 07:00:00,,,48,, None,1.201, None,96.7,4.097
,,,,2016-11-26 08:00:00,,,48,, None,0.968999, None,99.4,4.011
,,,,2016-11-26 09:00:00,,,48,, None,1.27, None,99.8,3.951
,,,,2016-11-26 10:00:00,,,48,, None,1.483, None,97.2,4.373
,,,,2016-11-26 11:00:00,,,48,, None,1.366, None,90.7,4.882
,,,,2016-11-26 12:00:00,,,48,, None,1.566, None,89.5,5.212
,,,,2016-11-26 13:00:00,,,48,, None,0.890999, None,89.2,5.59
