AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
13.7, None, None, -17.0,2021-07-09 21:50:00, 0.0, None,28
13.7, None, None, -17.0,2021-07-09 22:05:00, 0.0, None,28
13.6, None, None, -17.0,2021-07-09 22:20:00, 0.0, None,28
13.3, None, None, -17.0,2021-07-09 22:35:00, 0.0, None,28
13.1, None, None, -17.0,2021-07-09 22:50:00, 0.0, None,28
13.0, None, None, -17.0,2021-07-09 23:05:00, 0.0, None,28
12.6, None, None, -17.0,2021-07-09 23:20:00, 0.0, None,28
12.4, None, None, -17.0,2021-07-09 23:35:00, 0.0, None,28
12.3, None, None, -17.0,2021-07-09 23:50:00, 0.0, None,28
None, 2.3, 5.3, None,2021-07-10 00:00:00, None, 16.1,28
12.2, None, None, -17.0,2021-07-10 00:05:00, 0.0, None,28
11.9, None, None, -17.0,2021-07-10 00:20:00, 0.0, None,28
12.3, None, None, -17.0,2021-07-10 00:35:00, 0.0, None,28
12.3, None, None, -17.0,2021-07-10 00:50:00, 0.0, None,28
12.2, None, None, -17.0,2021-07-10 01:05:00, 0.0, None,28
12.1, None, None, -17.0,2021-07-10 01:20:00, 0.0, None,28
11.8, None, None, -17.0,2021-07-10 01:35:00, 0.0, None,28
11.2, None, None, -17.0,2021-07-10 01:50:00, 0.0, None,28
10.6, None, None, -17.0,2021-07-10 02:05:00, 0.0, None,28
10.3, None, None, -17.0,2021-07-10 02:20:00, 0.0, None,28
10.3, None, None, -17.0,2021-07-10 02:35:00, 0.0, None,28
10.1, None, None, -17.0,2021-07-10 02:50:00, 0.0, None,28
10.2, None, None, -17.0,2021-07-10 03:05:00, 0.0, None,28
10.2, None, None, -17.0,2021-07-10 03:20:00, 0.0, None,28
10.0, None, None, -17.0,2021-07-10 03:35:00, 0.0, None,28
9.9, None, None, -17.0,2021-07-10 03:50:00, 0.0, None,28
9.9, None, None, -17.0,2021-07-10 04:05:00, 0.0, None,28
9.4, None, None, -18.0,2021-07-10 04:20:00, 0.0, None,28
9.7, None, None, -18.0,2021-07-10 04:35:00, 0.0, None,28
9.9, None, None, -18.0,2021-07-10 04:50:00, 0.0, None,28
9.8, None, None, -18.0,2021-07-10 05:05:00, 0.0, None,28
10.0, None, None, -18.0,2021-07-10 05:20:00, 0.0, None,28
10.1, None, None, -18.0,2021-07-10 05:35:00, 0.0, None,28
10.2, None, None, -18.0,2021-07-10 05:50:00, 0.0, None,28
10.4, None, None, -18.0,2021-07-10 06:05:00, 0.0, None,28
10.5, None, None, -18.0,2021-07-10 06:20:00, 0.0, None,28
10.7, None, None, -18.0,2021-07-10 06:35:00, 0.0, None,28
11.1, None, None, -17.0,2021-07-10 06:50:00, 0.0, None,28
11.2, None, None, -17.0,2021-07-10 07:05:00, 0.0, None,28
11.4, None, None, -17.0,2021-07-10 07:20:00, 0.0, None,28
11.5, None, None, -17.0,2021-07-10 07:35:00, 0.0, None,28
12.0, None, None, -17.0,2021-07-10 07:50:00, 0.0, None,28
13.3, None, None, -17.0,2021-07-10 08:05:00, 0.0, None,28
13.0, None, None, -17.0,2021-07-10 08:20:00, 0.0, None,28
12.9, None, None, -17.0,2021-07-10 08:35:00, 0.0, None,28
13.4, None, None, -17.0,2021-07-10 08:50:00, 0.0, None,28
13.7, None, None, -17.0,2021-07-10 09:05:00, 0.0, None,28
14.7, None, None, -17.0,2021-07-10 09:20:00, 0.0, None,28
14.5, None, None, -17.0,2021-07-10 09:35:00, 0.0, None,28
14.7, None, None, -16.0,2021-07-10 09:50:00, 0.0, None,28
15.0, None, None, -17.0,2021-07-10 10:05:00, 0.0, None,28
15.5, None, None, -17.0,2021-07-10 10:20:00, 0.0, None,28
15.0, None, None, -16.0,2021-07-10 10:35:00, 0.0, None,28
13.5, None, None, -16.0,2021-07-10 10:50:00, 0.0, None,28
13.9, None, None, -16.0,2021-07-10 11:05:00, 0.0, None,28
16.1, None, None, -17.0,2021-07-10 11:20:00, 0.0, None,28
