station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, PRECIP_DETECTOR_RATIO, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, snwfl_amt_pst1hr, stn_pres
None, 1.662, 26.18, None, None, None, 5.396, 18.95, None, 155.0, None, None, None, None, None, -16.0, None, None, None, None, None, None, None, 2018-01-02 08:00:00, None, None, None, None
None, 0.895, 37.1, None, None, None, 5.544, 21.1, None, 156.0, None, None, None, None, None, -12.0, None, None, None, None, None, None, None, 2018-01-02 09:00:00, None, None, None, None
None, 1.614, 33.95, None, None, None, 5.269, 27.16, None, 159.2, None, None, None, None, None, -13.0, None, None, None, None, None, None, None, 2018-01-02 10:00:00, None, None, None, None
None, 2.045, 41.05, None, None, None, 11.33, 16.2, None, 168.8, None, None, None, None, None, -10.0, None, None, None, None, None, None, None, 2018-01-02 11:00:00, None, None, None, None
None, 1.949, 51.63, None, None, None, 12.41, 13.01, None, 169.8, None, None, None, None, None, -7.0, None, None, None, None, None, None, None, 2018-01-02 12:00:00, None, None, None, None
None, 2.368, 55.98, None, None, None, 13.24, 13.37, None, 177.3, None, None, None, None, None, -5.0, None, None, None, None, None, None, None, 2018-01-02 13:00:00, None, None, None, None
None, 2.456, 64.88, None, None, None, 16.82, 13.59, None, 221.1, None, None, None, None, None, -3.0, None, None, None, None, None, None, None, 2018-01-02 14:00:00, None, None, None, None
None, 2.307, 68.22, None, None, None, 8.69, 14.96, None, 217.1, None, None, None, None, None, -3.0, None, None, None, None, None, None, None, 2018-01-02 15:00:00, None, None, None, None
None, 1.924, 77.0, None, None, None, 7.41, 18.42, None, 230.0, None, None, None, None, None, -2.0, None, None, None, None, None, None, None, 2018-01-02 16:00:00, None, None, None, None
None, 1.934, 75.5, None, None, None, 7.76, 16.54, None, 233.8, None, None, None, None, None, -2.0, None, None, None, None, None, None, None, 2018-01-02 17:00:00, None, None, None, None
None, 1.697, 77.3, None, None, None, 12.23, 13.71, None, 228.7, None, None, None, None, None, -2.0, None, None, None, None, None, None, None, 2018-01-02 18:00:00, None, None, None, None
None, 1.555, 76.9, None, None, None, 10.12, 14.19, None, 232.6, None, None, None, None, None, -2.0, None, None, None, None, None, None, None, 2018-01-02 19:00:00, None, None, None, None
None, 1.131, 80.4, None, None, None, 10.99, 15.04, None, 232.7, None, None, None, None, None, -2.0, None, None, None, None, None, None, None, 2018-01-02 20:00:00, None, None, None, None
None, 0.751, 85.1, None, None, None, 7.16, 15.04, None, 230.9, None, None, None, None, None, -1.0, None, None, None, None, None, None, None, 2018-01-02 21:00:00, None, None, None, None
None, 0.512, 86.1, None, None, None, 7.57, 14.64, None, 227.4, None, None, None, None, None, -2.0, None, None, None, None, None, None, None, 2018-01-02 22:00:00, None, None, None, None
None, 0.464, 78.1, None, None, None, 5.74, 17.28, None, 232.8, None, None, None, None, None, -3.0, None, None, None, None, None, None, None, 2018-01-02 23:00:00, None, None, None, None
None, -0.255, 84.5, None, None, None, 24.27, 8.95, None, 245.8, None, None, None, None, None, -2.0, None, None, None, None, None, None, None, 2018-01-03 00:00:00, None, None, None, None
None, -0.063, 83.4, None, None, None, 15.35, 6.683, None, 275.3, None, None, None, None, None, -2.0, None, None, None, None, None, None, None, 2018-01-03 01:00:00, None, None, None, None
None, -0.59, 82.6, None, None, None, 18.75, 10.53, None, 253.3, None, None, None, None, None, -3.0, None, None, None, None, None, None, None, 2018-01-03 02:00:00, None, None, None, None
None, -1.021, 83.8, None, None, None, 8.6, 7.75, None, 233.7, None, None, None, None, None, -3.0, None, None, None, None, None, None, None, 2018-01-03 03:00:00, None, None, None, None
None, -0.782, 78.4, None, None, None, 11.62, 6.863, None, 249.7, None, None, None, None, None, -4.0, None, None, None, None, None, None, None, 2018-01-03 04:00:00, None, None, None, None
None, -0.63, 74.3, None, None, None, 3.782, 8.46, None, 261.2, None, None, None, None, None, -4.0, None, None, None, None, None, None, None, 2018-01-03 05:00:00, None, None, None, None
None, -1.345, 84.2, None, None, None, 18.58, 6.729, None, 277.9, None, None, None, None, None, -3.0, None, None, None, None, None, None, None, 2018-01-03 06:00:00, None, None, None, None
None, -0.482, 89.7, None, None, None, 7.51, 8.46, None, 321.3, None, None, None, None, None, -2.0, None, None, None, None, None, None, None, 2018-01-03 07:00:00, None, None, None, None
