station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
43.58, None, None, None, 2.564, 39.43, None, None, -17.0, None, None, None, None, None, None, None, None, -7.71, None, None, None, None, 53.83, None, None, None, None, 2018-01-02 08:00:00, None
33.74, None, None, None, 1.16, 318.3, None, None, -20.0, None, None, None, None, None, None, None, None, -8.38, None, None, None, None, 50.21, None, None, None, None, 2018-01-02 09:00:00, None
29.76, None, None, None, 2.981, 325.4, None, None, -20.0, None, None, None, None, None, None, None, None, -7.24, None, None, None, None, 21.79, None, None, None, None, 2018-01-02 10:00:00, None
28.53, None, None, None, 2.329, 324.7, None, None, -18.0, None, None, None, None, None, None, None, None, -4.355, None, None, None, None, 34.68, None, None, None, None, 2018-01-02 11:00:00, None
21.22, None, None, None, 0.968, 155.1, None, None, -19.0, None, None, None, None, None, None, None, None, -1.099, None, None, None, None, 55.48, None, None, None, None, 2018-01-02 12:00:00, None
20.3, None, None, None, 0.813, 180.5, None, None, -19.0, None, None, None, None, None, None, None, None, 0.698, None, None, None, None, 57.42, None, None, None, None, 2018-01-02 13:00:00, None
20.59, None, None, None, 0.376, 126.7, None, None, -18.0, None, None, None, None, None, None, None, None, -0.245, None, None, None, None, 50.57, None, None, None, None, 2018-01-02 14:00:00, None
21.98, None, None, None, 1.834, 305.6, None, None, -21.0, None, None, None, None, None, None, None, None, -4.472, None, None, None, None, 27.81, None, None, None, None, 2018-01-02 15:00:00, None
22.93, None, None, None, 4.804, 324.2, None, None, -22.0, None, None, None, None, None, None, None, None, -5.962, None, None, None, None, 15.3, None, None, None, None, 2018-01-02 16:00:00, None
26.29, None, None, None, 3.832, 101.7, None, None, -21.0, None, None, None, None, None, None, None, None, -6.872, None, None, None, None, 36.79, None, None, None, None, 2018-01-02 17:00:00, None
30.57, None, None, None, 2.072, 115.6, None, None, -20.0, None, None, None, None, None, None, None, None, -7.22, None, None, None, None, 33.88, None, None, None, None, 2018-01-02 18:00:00, None
29.05, None, None, None, 1.73, 265.9, None, None, -21.0, None, None, None, None, None, None, None, None, -7.66, None, None, None, None, 38.83, None, None, None, None, 2018-01-02 19:00:00, None
31.0, None, None, None, 0.531, 163.1, None, None, -20.0, None, None, None, None, None, None, None, None, -7.66, None, None, None, None, 61.36, None, None, None, None, 2018-01-02 20:00:00, None
34.69, None, None, None, 0.582, 88.2, None, None, -19.0, None, None, None, None, None, None, None, None, -7.39, None, None, None, None, 65.33, None, None, None, None, 2018-01-02 21:00:00, None
33.11, None, None, None, 1.588, 174.4, None, None, -20.0, None, None, None, None, None, None, None, None, -7.49, None, None, None, None, 33.71, None, None, None, None, 2018-01-02 22:00:00, None
33.98, None, None, None, 0.879, 214.1, None, None, -20.0, None, None, None, None, None, None, None, None, -7.98, None, None, None, None, 49.86, None, None, None, None, 2018-01-02 23:00:00, None
43.74, None, None, None, 0.965, 340.2, None, None, -17.0, None, None, None, None, None, None, None, None, -7.46, None, None, None, None, 71.2, None, None, None, None, 2018-01-03 00:00:00, None
45.12, None, None, None, 1.193, 225.6, None, None, -16.0, None, None, None, None, None, None, None, None, -7.34, None, None, None, None, 52.89, None, None, None, None, 2018-01-03 01:00:00, None
44.78, None, None, None, 2.906, 321.8, None, None, -16.0, None, None, None, None, None, None, None, None, -7.31, None, None, None, None, 34.17, None, None, None, None, 2018-01-03 02:00:00, None
45.73, None, None, None, 2.852, 314.8, None, None, -16.0, None, None, None, None, None, None, None, None, -7.22, None, None, None, None, 31.01, None, None, None, None, 2018-01-03 03:00:00, None
49.32, None, None, None, 2.349, 222.8, None, None, -15.0, None, None, None, None, None, None, None, None, -6.761, None, None, None, None, 32.33, None, None, None, None, 2018-01-03 04:00:00, None
48.23, None, None, None, 1.832, 178.9, None, None, -15.0, None, None, None, None, None, None, None, None, -6.927, None, None, None, None, 39.04, None, None, None, None, 2018-01-03 05:00:00, None
50.3, None, None, None, 2.447, 316.9, None, None, -14.0, None, None, None, None, None, None, None, None, -6.144, None, None, None, None, 29.53, None, None, None, None, 2018-01-03 06:00:00, None
50.71, None, None, None, 1.347, 301.3, None, None, -14.0, None, None, None, None, None, None, None, None, -6.232, None, None, None, None, 23.62, None, None, None, None, 2018-01-03 07:00:00, None
50.8, None, None, None, 4.369, 317.6, None, None, -14.0, None, None, None, None, None, None, None, None, -5.939, None, None, None, None, 21.64, None, None, None, None, 2018-01-03 08:00:00, None
51.35, None, None, None, 3.72, 322.7, None, None, -13.0, None, None, None, None, None, None, None, None, -5.55, None, None, None, None, 13.2, None, None, None, None, 2018-01-03 09:00:00, None
51.23, None, None, None, 2.391, 296.9, None, None, -12.0, None, None, None, None, None, None, None, None, -4.67, None, None, None, None, 18.49, None, None, None, None, 2018-01-03 10:00:00, None
49.38, None, None, None, 0.288, 268.6, None, None, -11.0, None, None, None, None, None, None, None, None, -3.411, None, None, None, None, 45.9, None, None, None, None, 2018-01-03 11:00:00, None
39.42, None, None, None, 0.677, 275.3, None, None, -13.0, None, None, None, None, None, None, None, None, -2.532, None, None, None, None, 64.39, None, None, None, None, 2018-01-03 12:00:00, None
32.78, None, None, None, 0.26, 116.3, None, None, -14.0, None, None, None, None, None, None, None, None, -1.474, None, None, None, None, 66.32, None, None, None, None, 2018-01-03 13:00:00, None
30.08, None, None, None, 2.023, 146.9, None, None, -15.0, None, None, None, None, None, None, None, None, -1.473, None, None, None, None, 30.98, None, None, None, None, 2018-01-03 14:00:00, None
31.47, None, None, None, 1.233, 322.4, None, None, -15.0, None, None, None, None, None, None, None, None, -2.177, None, None, None, None, 25.9, None, None, None, None, 2018-01-03 15:00:00, None
35.48, None, None, None, 0.566, 168.4, None, None, -14.0, None, None, None, None, None, None, None, None, -2.579, None, None, None, None, 47.83, None, None, None, None, 2018-01-03 16:00:00, None
39.55, None, None, None, 2.193, 351.0, None, None, -14.0, None, None, None, None, None, None, None, None, -3.402, None, None, None, None, 28.81, None, None, None, None, 2018-01-03 17:00:00, None
45.27, None, None, None, 3.206, 24.34, None, None, -13.0, None, None, None, None, None, None, None, None, -3.963, None, None, None, None, 47.28, None, None, None, None, 2018-01-03 18:00:00, None
48.54, None, None, None, 0.805, 169.6, None, None, -13.0, None, None, None, None, None, None, None, None, -4.319, None, None, None, None, 66.96, None, None, None, None, 2018-01-03 19:00:00, None
50.32, None, None, None, 3.847, 349.2, None, None, -12.0, None, None, None, None, None, None, None, None, -4.513, None, None, None, None, 23.2, None, None, None, None, 2018-01-03 20:00:00, None
50.5, None, None, None, 1.585, 52.72, None, None, -12.0, None, None, None, None, None, None, None, None, -4.725, None, None, None, None, 20.74, None, None, None, None, 2018-01-03 21:00:00, None
50.51, None, None, None, 0.254, 165.8, None, None, -13.0, None, None, None, None, None, None, None, None, -4.89, None, None, None, None, 47.52, None, None, None, None, 2018-01-03 22:00:00, None
50.74, None, None, None, 1.051, 291.3, None, None, -13.0, None, None, None, None, None, None, None, None, -5.209, None, None, None, None, 31.03, None, None, None, None, 2018-01-03 23:00:00, None
50.95, None, None, None, 1.125, 279.2, None, None, -13.0, None, None, None, None, None, None, None, None, -5.499, None, None, None, None, 17.67, None, None, None, None, 2018-01-04 00:00:00, None
51.29, None, None, None, 3.248, 336.2, None, None, -13.0, None, None, None, None, None, None, None, None, -5.762, None, None, None, None, 22.16, None, None, None, None, 2018-01-04 01:00:00, None
51.16, None, None, None, 2.337, 330.8, None, None, -14.0, None, None, None, None, None, None, None, None, -6.016, None, None, None, None, 38.32, None, None, None, None, 2018-01-04 02:00:00, None
51.11, None, None, None, 1.008, 288.8, None, None, -14.0, None, None, None, None, None, None, None, None, -6.309, None, None, None, None, 30.92, None, None, None, None, 2018-01-04 03:00:00, None
51.12, None, None, None, 1.183, 283.9, None, None, -14.0, None, None, None, None, None, None, None, None, -6.534, None, None, None, None, 23.99, None, None, None, None, 2018-01-04 04:00:00, None
50.75, None, None, None, 2.234, 338.6, None, None, -14.0, None, None, None, None, None, None, None, None, -6.867, None, None, None, None, 26.83, None, None, None, None, 2018-01-04 05:00:00, None
50.57, None, None, None, 3.389, 335.7, None, None, -15.0, None, None, None, None, None, None, None, None, -7.1, None, None, None, None, 24.21, None, None, None, None, 2018-01-04 06:00:00, None
50.19, None, None, None, 3.507, 340.0, None, None, -15.0, None, None, None, None, None, None, None, None, -7.48, None, None, None, None, 22.18, None, None, None, None, 2018-01-04 07:00:00, None
49.41, None, None, None, 3.29, 334.3, None, None, -16.0, None, None, None, None, None, None, None, None, -7.75, None, None, None, None, 25.58, None, None, None, None, 2018-01-04 08:00:00, None
49.19, None, None, None, 2.047, 323.2, None, None, -16.0, None, None, None, None, None, None, None, None, -7.79, None, None, None, None, 26.95, None, None, None, None, 2018-01-04 09:00:00, None
48.37, None, None, None, 1.256, 314.9, None, None, -15.0, None, None, None, None, None, None, None, None, -7.36, None, None, None, None, 36.05, None, None, None, None, 2018-01-04 10:00:00, None
46.83, None, None, None, 0.892, 313.7, None, None, -15.0, None, None, None, None, None, None, None, None, -6.622, None, None, None, None, 37.91, None, None, None, None, 2018-01-04 11:00:00, None
42.22, None, None, None, 0.681, 327.7, None, None, -14.0, None, None, None, None, None, None, None, None, -4.62, None, None, None, None, 43.58, None, None, None, None, 2018-01-04 12:00:00, None
31.51, None, None, None, 0.519, 302.3, None, None, -18.0, None, None, None, None, None, None, None, None, -5.44, None, None, None, None, 39.99, None, None, None, None, 2018-01-04 13:00:00, None
26.9, None, None, None, 0.36, 17.02, None, None, -19.0, None, None, None, None, None, None, None, None, -4.263, None, None, None, None, 52.26, None, None, None, None, 2018-01-04 14:00:00, None
25.14, None, None, None, 0.874, 44.16, None, None, -20.0, None, None, None, None, None, None, None, None, -5.146, None, None, None, None, 55.69, None, None, None, None, 2018-01-04 15:00:00, None
31.5, None, None, None, 1.553, 283.1, None, None, -20.0, None, None, None, None, None, None, None, None, -6.854, None, None, None, None, 36.96, None, None, None, None, 2018-01-04 16:00:00, None
40.85, None, None, None, 3.834, 314.7, None, None, -18.0, None, None, None, None, None, None, None, None, -7.72, None, None, None, None, 25.91, None, None, None, None, 2018-01-04 17:00:00, None
46.83, None, None, None, 4.562, 321.3, None, None, -16.0, None, None, None, None, None, None, None, None, -7.64, None, None, None, None, 16.16, None, None, None, None, 2018-01-04 18:00:00, None
48.5, None, None, None, 2.433, 311.8, None, None, -16.0, None, None, None, None, None, None, None, None, -7.52, None, None, None, None, 31.45, None, None, None, None, 2018-01-04 19:00:00, None
50.02, None, None, None, 3.249, 322.0, None, None, -15.0, None, None, None, None, None, None, None, None, -7.03, None, None, None, None, 22.9, None, None, None, None, 2018-01-04 20:00:00, None
49.67, None, None, None, 2.642, 304.9, None, None, -15.0, None, None, None, None, None, None, None, None, -6.918, None, None, None, None, 32.9, None, None, None, None, 2018-01-04 21:00:00, None
49.19, None, None, None, 1.784, 278.7, None, None, -15.0, None, None, None, None, None, None, None, None, -6.798, None, None, None, None, 40.94, None, None, None, None, 2018-01-04 22:00:00, None
49.71, None, None, None, 1.11, 131.1, None, None, -14.0, None, None, None, None, None, None, None, None, -6.457, None, None, None, None, 55.7, None, None, None, None, 2018-01-04 23:00:00, None
49.95, None, None, None, 1.14, 208.3, None, None, -14.0, None, None, None, None, None, None, None, None, -6.32, None, None, None, None, 52.57, None, None, None, None, 2018-01-05 00:00:00, None
49.54, None, None, None, 0.596, 242.7, None, None, -14.0, None, None, None, None, None, None, None, None, -6.349, None, None, None, None, 67.51, None, None, None, None, 2018-01-05 01:00:00, None
48.91, None, None, None, 2.436, 289.8, None, None, -15.0, None, None, None, None, None, None, None, None, -6.543, None, None, None, None, 36.29, None, None, None, None, 2018-01-05 02:00:00, None
48.42, None, None, None, 1.748, 271.3, None, None, -15.0, None, None, None, None, None, None, None, None, -6.76, None, None, None, None, 40.08, None, None, None, None, 2018-01-05 03:00:00, None
48.55, None, None, None, 1.047, 133.4, None, None, -15.0, None, None, None, None, None, None, None, None, -6.78, None, None, None, None, 54.92, None, None, None, None, 2018-01-05 04:00:00, None
47.61, None, None, None, 1.682, 173.8, None, None, -15.0, None, None, None, None, None, None, None, None, -6.987, None, None, None, None, 44.76, None, None, None, None, 2018-01-05 05:00:00, None
48.38, None, None, None, 2.215, 174.8, None, None, -15.0, None, None, None, None, None, None, None, None, -6.809, None, None, None, None, 34.95, None, None, None, None, 2018-01-05 06:00:00, None
48.03, None, None, None, 3.297, 222.2, None, None, -15.0, None, None, None, None, None, None, None, None, -7.18, None, None, None, None, 28.5, None, None, None, None, 2018-01-05 07:00:00, None
49.07, None, None, None, 3.144, 191.6, None, None, -15.0, None, None, None, None, None, None, None, None, -7.12, None, None, None, None, 23.32, None, None, None, None, 2018-01-05 08:00:00, None
50.68, None, None, None, 1.774, 256.7, None, None, -14.0, None, None, None, None, None, None, None, None, -6.486, None, None, None, None, 48.0, None, None, None, None, 2018-01-05 09:00:00, None
