station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, snwfl_amt_pst1hr, stn_pres
-2.806, 74.2, None, None, None, 11.07, 12.34, 173.9, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2018-01-02 08:00:00, None, None, None, None
-2.076, 72.9, None, None, None, 14.43, 10.38, 161.8, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2018-01-02 09:00:00, None, None, None, None
-0.925, 68.9, None, None, None, 16.25, 7.2, 167.9, None, None, None, None, None, -5.0, None, None, None, None, None, None, 2018-01-02 10:00:00, None, None, None, None
-0.203, 67.26, None, None, None, 9.33, 7.23, 171.9, None, None, None, None, None, -5.0, None, None, None, None, None, None, 2018-01-02 11:00:00, None, None, None, None
0.527, 63.65, None, None, None, 17.43, 7.95, 168.0, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2018-01-02 12:00:00, None, None, None, None
0.308, 63.49, None, None, None, 20.97, 6.918, 155.4, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2018-01-02 13:00:00, None, None, None, None
-0.592, 66.06, None, None, None, 23.72, 5.207, 161.9, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2018-01-02 14:00:00, None, None, None, None
-0.155, 59.19, None, None, None, 10.44, 6.21, 77.0, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2018-01-02 15:00:00, None, None, None, None
1.035, 49.15, None, None, None, 37.9, 3.382, 93.3, None, None, None, None, None, -8.0, None, None, None, None, None, None, 2018-01-02 16:00:00, None, None, None, None
-0.949, 63.3, None, None, None, 17.54, 4.52, 194.0, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2018-01-02 17:00:00, None, None, None, None
-2.003, 72.4, None, None, None, 12.15, 7.37, 195.4, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2018-01-02 18:00:00, None, None, None, None
-2.1, 70.1, None, None, None, 23.35, 4.562, 212.9, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2018-01-02 19:00:00, None, None, None, None
-2.441, 71.9, None, None, None, 36.4, 5.482, 71.9, None, None, None, None, None, -6.0, None, None, None, None, None, None, 2018-01-02 20:00:00, None, None, None, None
-1.954, 76.2, None, None, None, 29.95, 5.1, 223.0, None, None, None, None, None, -5.0, None, None, None, None, None, None, 2018-01-02 21:00:00, None, None, None, None
-2.927, 91.2, None, None, None, 29.37, 4.586, 136.0, None, None, None, None, None, -4.0, None, None, None, None, None, None, 2018-01-02 22:00:00, None, None, None, None
-3.657, 94.3, None, None, None, 17.58, 3.322, 229.7, None, None, None, None, None, -4.0, None, None, None, None, None, None, 2018-01-02 23:00:00, None, None, None, None
-4.29, 94.6, None, None, None, 18.16, 7.23, 207.7, None, None, None, None, None, -5.0, None, None, None, None, None, None, 2018-01-03 00:00:00, None, None, None, None
-4.046, 94.5, None, None, None, 41.65, 5.609, 157.3, None, None, None, None, None, -5.0, None, None, None, None, None, None, 2018-01-03 01:00:00, None, None, None, None
-3.949, 94.4, None, None, None, 21.4, 2.943, 108.1, None, None, None, None, None, -5.0, None, None, None, None, None, None, 2018-01-03 02:00:00, None, None, None, None
-3.998, 94.3, None, None, None, 25.21, 1.336, 209.4, None, None, None, None, None, -5.0, None, None, None, None, None, None, 2018-01-03 03:00:00, None, None, None, None
-4.095, 94.3, None, None, None, 40.88, 2.296, 163.2, None, None, None, None, None, -5.0, None, None, None, None, None, None, 2018-01-03 04:00:00, None, None, None, None
