station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, MEASURED_WIND_DIRECTION1, MEASURED_WIND_SPEED1, air_temp, min_air_temp_snc_last_reset, DEW_POINT, avg_wnd_dir_10m_pst10mts, dwpt_temp, time
-3.827, 71.7, None, None, None, 11.24, None, 252.5, 16.5, None, None, -8.0, None, None, 2018-01-02 08:00:00
-3.219, 68.83, None, None, None, 5.546, None, 249.0, 14.23, None, None, -8.0, None, None, 2018-01-02 09:00:00
-2.626, 66.71, None, None, None, 7.14, None, 254.7, 12.49, None, None, -7.0, None, None, 2018-01-02 10:00:00
-2.784, 68.24, None, None, None, 4.507, None, 244.0, 14.04, None, None, -7.0, None, None, 2018-01-02 11:00:00
-2.356, 67.63, None, None, None, 6.001, None, 253.4, 15.21, None, None, -7.0, None, None, 2018-01-02 12:00:00
-1.78, 63.52, None, None, None, 5.569, None, 245.5, 14.05, None, None, -7.0, None, None, 2018-01-02 13:00:00
-1.211, 60.15, None, None, None, 6.132, None, 246.7, 13.96, None, None, -7.0, None, None, 2018-01-02 14:00:00
-0.924, 55.85, None, None, None, 5.206, None, 248.9, 14.12, None, None, -8.0, None, None, 2018-01-02 15:00:00
-0.61, 51.42, None, None, None, 5.673, None, 245.2, 8.5, None, None, -8.0, None, None, 2018-01-02 16:00:00
-0.491, 49.76, None, None, None, 8.55, None, 231.0, 7.21, None, None, -9.0, None, None, 2018-01-02 17:00:00
-2.117, 59.53, None, None, None, 17.12, None, 203.1, 8.95, None, None, -8.0, None, None, 2018-01-02 18:00:00
-1.296, 52.32, None, None, None, 18.45, None, 196.7, 7.06, None, None, -9.0, None, None, 2018-01-02 19:00:00
-2.068, 59.87, None, None, None, 11.04, None, 241.5, 11.72, None, None, -8.0, None, None, 2018-01-02 20:00:00
-1.345, 64.11, None, None, None, 6.212, None, 250.7, 19.89, None, None, -7.0, None, None, 2018-01-02 21:00:00
-2.02, 64.65, None, None, None, 5.082, None, 251.9, 17.11, None, None, -7.0, None, None, 2018-01-02 22:00:00
-3.369, 76.0, None, None, None, 9.29, None, 250.9, 18.26, None, None, -7.0, None, None, 2018-01-02 23:00:00
-3.08, 67.81, None, None, None, 9.14, None, 251.5, 12.66, None, None, -8.0, None, None, 2018-01-03 00:00:00
-4.274, 81.4, None, None, None, 7.58, None, 247.1, 14.0, None, None, -7.0, None, None, 2018-01-03 01:00:00
-4.321, 76.7, None, None, None, 12.53, None, 241.1, 10.71, None, None, -7.0, None, None, 2018-01-03 02:00:00
-4.513, 72.3, None, None, None, 10.61, None, 247.1, 8.02, None, None, -8.0, None, None, 2018-01-03 03:00:00
-14.1, 68.5, None, None, None, 5.667, None, 252.6, 9.21, None, None, -18.0, None, None, 2018-01-03 04:00:00
-5.032, 64.8, None, None, None, 10.99, None, 252.1, 7.7, None, None, -10.0, None, None, 2018-01-03 05:00:00
-5.273, 78.4, None, None, None, 31.57, None, 257.3, 3.12, None, None, -8.0, None, None, 2018-01-03 06:00:00
-5.321, 73.6, None, None, None, 52.94, None, 285.3, 0.851, None, None, -9.0, None, None, 2018-01-03 07:00:00
-4.261, 88.0, None, None, None, 10.92, None, 256.8, 9.87, None, None, -6.0, None, None, 2018-01-03 09:00:00
-4.487, 90.2, None, None, None, 17.65, None, 284.9, 7.02, None, None, -6.0, None, None, 2018-01-03 10:00:00
-3.602, 85.4, None, None, None, 5.94, None, 240.8, 7.51, None, None, -5.0, None, None, 2018-01-03 11:00:00
-2.512, 78.7, None, None, None, 8.04, None, 259.3, 6.021, None, None, -5.0, None, None, 2018-01-03 12:00:00
-12.97, 80.2, None, None, None, 7.11, None, 267.5, 8.28, None, None, -15.0, None, None, 2018-01-03 13:00:00
-12.69, 80.9, None, None, None, 11.85, None, 280.2, 8.5, None, None, -15.0, None, None, 2018-01-03 14:00:00
-12.64, 79.3, None, None, None, 3.681, None, 295.1, 11.75, None, None, -15.0, None, None, 2018-01-03 15:00:00
