station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
None, None, None, None, 0.991, 6.391, None, None, None, 1029.0, None, None, None, None, None, 47.77, None, None, -7.05, None, None, None, None, 44.53, None, None, None, None, None, 2018-01-02 08:00:00, None
None, None, None, None, 0.507, 355.6, None, None, None, 1029.0, None, None, None, None, None, 48.37, None, None, -7.18, None, None, None, None, 61.81, None, None, None, None, None, 2018-01-02 09:00:00, None
None, None, None, None, 0.348, 323.3, None, None, None, 1029.0, None, None, None, None, None, 48.31, None, None, -5.802, None, None, None, None, 71.9, None, None, None, None, None, 2018-01-02 10:00:00, None
None, None, None, None, 0.753, 346.8, None, None, None, 1029.0, None, None, None, None, None, 48.64, None, None, -3.807, None, None, None, None, 58.16, None, None, None, None, None, 2018-01-02 11:00:00, None
None, None, None, None, 1.456, 357.9, None, None, None, 1028.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 51.44, None, None, None, None, None, 2018-01-02 12:00:00, None
None, None, None, None, 0.481, 337.4, None, None, None, 1028.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 68.13, None, None, None, None, None, 2018-01-02 13:00:00, None
None, None, None, None, 1.279, 357.3, None, None, None, 1027.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 46.9, None, None, None, None, None, 2018-01-02 14:00:00, None
None, None, None, None, 1.698, 138.2, None, None, None, 1027.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 50.32, None, None, None, None, None, 2018-01-02 15:00:00, None
None, None, None, None, 0.998, 108.1, None, None, None, 1027.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 65.49, None, None, None, None, None, 2018-01-02 16:00:00, None
None, None, None, None, 1.136, 351.0, None, None, None, 1025.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 56.46, None, None, None, None, None, 2018-01-02 17:00:00, None
None, None, None, None, 0.712, 119.5, None, None, None, 1025.0, None, None, None, None, None, None, None, None, None, None, None, None, None, 69.98, None, None, None, None, None, 2018-01-02 18:00:00, None
None, None, None, None, 0.66, 330.0, None, None, None, 1024.0, None, None, None, None, None, 49.06, None, None, -4.203, None, None, None, None, 55.02, None, None, None, None, None, 2018-01-02 19:00:00, None
None, None, None, None, 1.059, 332.9, None, None, None, 1023.0, None, None, None, None, None, 48.74, None, None, -4.507, None, None, None, None, 40.27, None, None, None, None, None, 2018-01-02 20:00:00, None
None, None, None, None, 1.1, 350.3, None, None, None, 1023.0, None, None, None, None, None, 49.2, None, None, -4.503, None, None, None, None, 48.72, None, None, None, None, None, 2018-01-02 21:00:00, None
None, None, None, None, 0.596, 33.6, None, None, None, 1023.0, None, None, None, None, None, 49.29, None, None, -4.213, None, None, None, None, 54.16, None, None, None, None, None, 2018-01-02 22:00:00, None
None, None, None, None, 0.516, 127.8, None, None, None, 1023.0, None, None, None, None, None, 49.24, None, None, -3.544, None, None, None, None, 72.0, None, None, None, None, None, 2018-01-02 23:00:00, None
None, None, None, None, 0.721, 57.2, None, None, None, 1023.0, None, None, None, None, None, 49.5, None, None, -3.632, None, None, None, None, 59.33, None, None, None, None, None, 2018-01-03 00:00:00, None
None, None, None, None, 0.58, 359.9, None, None, None, 1023.0, None, None, None, None, None, 49.43, None, None, -3.352, None, None, None, None, 66.38, None, None, None, None, None, 2018-01-03 01:00:00, None
None, None, None, None, 1.145, 334.1, None, None, None, 1023.0, None, None, None, None, None, 49.64, None, None, -3.128, None, None, None, None, 38.47, None, None, None, None, None, 2018-01-03 02:00:00, None
None, None, None, None, 0.828, 353.6, None, None, None, 1023.0, None, None, None, None, None, 49.67, None, None, -2.984, None, None, None, None, 35.26, None, None, None, None, None, 2018-01-03 03:00:00, None
None, None, None, None, 0.389, 60.95, None, None, None, 1023.0, None, None, None, None, None, 49.57, None, None, -2.916, None, None, None, None, 67.47, None, None, None, None, None, 2018-01-03 04:00:00, None
None, None, None, None, 1.035, 1.708, None, None, None, 1023.0, None, None, None, None, None, 49.82, None, None, -2.259, None, None, None, None, 54.98, None, None, None, None, None, 2018-01-03 05:00:00, None
None, None, None, None, 0.607, 350.4, None, None, None, 1023.0, None, None, None, None, None, 49.05, None, None, -2.337, None, None, None, None, 61.57, None, None, None, None, None, 2018-01-03 06:00:00, None
