station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
72.3, None, None, None, 18.15, 82.2, None, None, -15.0, None, None, None, None, None, None, None, None, None, -11.59, None, None, None, None, 7.78, None, None, None, None, 2018-01-02 08:00:00, None
72.3, None, None, None, 25.24, 83.1, None, None, -15.0, None, None, None, None, None, None, None, None, None, -11.43, None, None, None, None, 8.1, None, None, None, None, 2018-01-02 09:00:00, None
72.5, None, None, None, 31.03, 86.8, None, None, -15.0, None, None, None, None, None, None, None, None, None, -11.09, None, None, None, None, 5.953, None, None, None, None, 2018-01-02 10:00:00, None
72.4, None, None, None, 30.89, 88.6, None, None, -14.0, None, None, None, None, None, None, None, None, None, -10.66, None, None, None, None, 6.134, None, None, None, None, 2018-01-02 11:00:00, None
72.9, None, None, None, 27.4, 87.1, None, None, -13.0, None, None, None, None, None, None, None, None, None, -9.64, None, None, None, None, 5.533, None, None, None, None, 2018-01-02 12:00:00, None
72.8, None, None, None, 30.57, 87.8, None, None, -13.0, None, None, None, None, None, None, None, None, None, -9.93, None, None, None, None, 4.094, None, None, None, None, 2018-01-02 13:00:00, None
72.7, None, None, None, 32.65, 88.5, None, None, -14.0, None, None, None, None, None, None, None, None, None, -10.52, None, None, None, None, 4.408, None, None, None, None, 2018-01-02 14:00:00, None
72.4, None, None, None, 34.09, 91.9, None, None, -14.0, None, None, None, None, None, None, None, None, None, -10.92, None, None, None, None, 5.838, None, None, None, None, 2018-01-02 15:00:00, None
72.8, None, None, None, 32.72, 92.4, None, None, -14.0, None, None, None, None, None, None, None, None, None, -10.83, None, None, None, None, 5.237, None, None, None, None, 2018-01-02 16:00:00, None
72.2, None, None, None, 31.15, 92.3, None, None, -15.0, None, None, None, None, None, None, None, None, None, -10.96, None, None, None, None, 4.846, None, None, None, None, 2018-01-02 17:00:00, None
72.7, None, None, None, 32.53, 92.4, None, None, -14.0, None, None, None, None, None, None, None, None, None, -10.92, None, None, None, None, 7.26, None, None, None, None, 2018-01-02 18:00:00, None
72.5, None, None, None, 26.25, 92.0, None, None, -13.0, None, None, None, None, None, None, None, None, None, -9.49, None, None, None, None, 6.149, None, None, None, None, 2018-01-02 19:00:00, None
72.0, None, None, None, 33.99, 90.5, None, None, -16.0, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None, 6.548, None, None, None, None, 2018-01-02 20:00:00, None
72.6, None, None, None, 37.37, 91.8, None, None, -14.0, None, None, None, None, None, None, None, None, None, -10.86, None, None, None, None, 5.95, None, None, None, None, 2018-01-02 21:00:00, None
