time,HUMIDITY,week_of_year
2021-09-10 00:00:00,93.8,37
2021-09-10 01:00:00,94.2,37
2021-09-10 02:00:00,94.9,37
2021-09-10 03:00:00,97.5,37
2021-09-10 04:00:00,94.8,37
2021-09-10 05:00:00,96.4,37
2021-09-10 06:00:00,97.5,37
2021-09-10 07:00:00,95.2,37
2021-09-10 08:00:00,90.7,37
2021-09-10 09:00:00,84.8,37
2021-09-10 10:00:00,87.2,37
2021-09-10 11:00:00,85.3,37
2021-09-10 12:00:00,84.8,37
2021-09-10 13:00:00,75.7,37
2021-09-10 14:00:00,65.3,37
2021-09-10 15:00:00,54.5,37
2021-09-10 16:00:00,44.1,37
2021-09-10 17:00:00,47.4,37
2021-09-10 18:00:00,59.8,37
2021-09-10 19:00:00,77.5,37
2021-09-10 20:00:00,86.8,37
2021-09-10 21:00:00,91.1,37
2021-09-10 22:00:00,91.6,37
2021-09-10 23:00:00,92.4,37
2021-09-11 00:00:00,92.7,37
2021-09-11 01:00:00,93.9,37
2021-09-11 02:00:00,95.6,37
2021-09-11 03:00:00,96.6,37
2021-09-11 04:00:00,96.5,37
2021-09-11 05:00:00,97.0,37
2021-09-11 06:00:00,98.4,37
2021-09-11 07:00:00,96.2,37
2021-09-11 08:00:00,89.7,37
2021-09-11 09:00:00,75.5,37
2021-09-11 10:00:00,52.0,37
2021-09-11 11:00:00,42.4,37
2021-09-11 12:00:00,38.1,37
2021-09-11 13:00:00,35.7,37
2021-09-11 14:00:00,32.9,37
2021-09-11 15:00:00,31.3,37
2021-09-11 16:00:00,34.6,37
2021-09-11 17:00:00,36.3,37
2021-09-11 18:00:00,37.3,37
2021-09-11 19:00:00,41.7,37
2021-09-11 20:00:00,48.6,37
2021-09-11 21:00:00,62.5,37
2021-09-11 22:00:00,64.0,37
2021-09-11 23:00:00,72.0,37
2021-09-12 00:00:00,80.4,37
2021-09-12 01:00:00,85.0,37
2021-09-12 02:00:00,88.4,37
2021-09-12 03:00:00,91.6,37
2021-09-12 04:00:00,90.9,37
2021-09-12 05:00:00,92.7,37
2021-09-12 06:00:00,92.1,37
2021-09-12 07:00:00,85.5,37
2021-09-12 08:00:00,70.3,37
2021-09-12 09:00:00,58.1,37
2021-09-12 10:00:00,49.7,37
2021-09-12 11:00:00,43.6,37
2021-09-12 12:00:00,39.8,37
2021-09-12 13:00:00,35.8,37
2021-09-12 14:00:00,32.7,37
