pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None,10.03,73.82, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 00:00:00, None,24
None,9.56,77.05, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 01:00:00, None,24
None,9.43,77.75, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 02:00:00, None,24
None,9.32,78.73, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 03:00:00, None,24
None,8.46,83.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 04:00:00, None,24
None,7.723,88.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 05:00:00, None,24
None,7.551,90.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 06:00:00, None,24
None,7.262,92.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 07:00:00, None,24
None,9.57,82.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 08:00:00, None,24
None,11.15,75.32, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 09:00:00, None,24
None,13.13,68.55, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 10:00:00, None,24
None,14.66,57.11, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 11:00:00, None,24
None,16.46,49.74, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 12:00:00, None,24
None,16.43,46.55, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 13:00:00, None,24
None,16.93,41.81, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 14:00:00, None,24
None,17.62,36.66, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 15:00:00, None,24
None,17.3,36.87, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 16:00:00, None,24
None,17.31,38.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 17:00:00, None,24
None,17.71,37.13, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 18:00:00, None,24
None,17.16,36.51, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 19:00:00, None,24
None,15.72,43.72, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 20:00:00, None,24
None,14.65,49.44, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 21:00:00, None,24
None,12.19,56.52, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 22:00:00, None,24
None,12.29,49.81, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-10 23:00:00, None,24
None,11.37,57.31, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 00:00:00, None,24
None,11.55,55.99, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 01:00:00, None,24
None,11.85,56.14, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 02:00:00, None,24
None,10.47,62.32, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 03:00:00, None,24
None,10.92,60.25, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 04:00:00, None,24
None,11.13,61.39, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 05:00:00, None,24
None,10.71,63.48, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 06:00:00, None,24
None,9.67,66.23, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 07:00:00, None,24
None,10.88,65.66, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 08:00:00, None,24
None,11.26,67.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 09:00:00, None,24
None,12.64,63.65, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 10:00:00, None,24
None,14.38,61.34, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 11:00:00, None,24
None,15.56,49.67, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 12:00:00, None,24
None,16.17,43.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 13:00:00, None,24
None,16.26,48.37, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 14:00:00, None,24
None,13.59,63.63, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 15:00:00, None,24
None,15.07,58.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 16:00:00, None,24
None,14.7,60.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 17:00:00, None,24
None,13.56,75.14, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 18:00:00, None,24
None,15.09,60.38, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 19:00:00, None,24
None,14.03,54.78, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 20:00:00, None,24
None,12.83,54.89, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 21:00:00, None,24
None,12.06,54.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 22:00:00, None,24
None,11.7,54.49, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-11 23:00:00, None,24
None,10.87,57.16, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 00:00:00, None,24
None,10.96,58.62, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 01:00:00, None,24
None,9.98,66.76, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 02:00:00, None,24
None,9.8,68.77, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 03:00:00, None,24
None,9.32,71.43, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 04:00:00, None,24
None,8.79,76.22, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 05:00:00, None,24
None,8.53,79.06, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 06:00:00, None,24
None,8.99,79.75, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 07:00:00, None,24
None,9.08,80.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 08:00:00, None,24
None,9.87,76.66, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 09:00:00, None,24
None,10.27,76.73, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 10:00:00, None,24
None,12.61,71.48, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 11:00:00, None,24
None,13.93,66.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 12:00:00, None,24
None,15.97,61.34, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 13:00:00, None,24
None,14.95,72.26, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 14:00:00, None,24
None,14.02,62.25, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 15:00:00, None,24
None,14.04,59.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 16:00:00, None,24
None,13.88,52.28, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 17:00:00, None,24
None,13.91,49.13, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 18:00:00, None,24
None,12.13,57.29, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 19:00:00, None,24
None,12.07,56.07, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 20:00:00, None,24
None,10.66,58.54, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 21:00:00, None,24
None,9.54,59.12, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 22:00:00, None,24
None,8.78,60.63, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-12 23:00:00, None,24
None,7.728,65.56, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 00:00:00, None,24
None,7.797,63.77, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 01:00:00, None,24
None,7.033,67.03, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 02:00:00, None,24
None,5.568,72.26, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 03:00:00, None,24
None,4.665,66.67, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 04:00:00, None,24
None,4.089,73.32, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 05:00:00, None,24
None,4.629,74.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 06:00:00, None,24
None,5.516,73.27, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 07:00:00, None,24
None,7.375,71.25, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 08:00:00, None,24
None,10.26,55.42, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 09:00:00, None,24
None,11.61,55.63, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 10:00:00, None,24
None,12.65,53.39, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 11:00:00, None,24
None,12.95,52.16, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 12:00:00, None,24
None,13.35,47.04, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 13:00:00, None,24
None,11.48,71.72, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 14:00:00, None,24
None,11.98,64.17, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 15:00:00, None,24
None,12.53,62.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 16:00:00, None,24
None,12.01,65.28, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 17:00:00, None,24
None,11.44,69.14, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 18:00:00, None,24
None,11.2,68.44, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 19:00:00, None,24
None,10.24,77.64, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 20:00:00, None,24
None,8.88,90.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 21:00:00, None,24
None,8.65,88.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 22:00:00, None,24
None,8.22,86.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-13 23:00:00, None,24
None,7.886,90.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 00:00:00, None,24
None,7.68,89.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 01:00:00, None,24
None,7.194,94.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 02:00:00, None,24
None,6.832,96.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 03:00:00, None,24
None,6.444,96.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 04:00:00, None,24
None,6.302,96.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 05:00:00, None,24
None,6.323,95.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 06:00:00, None,24
None,6.452,95.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 07:00:00, None,24
None,6.547,95.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 08:00:00, None,24
None,7.453,94.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 09:00:00, None,24
None,8.15,91.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 10:00:00, None,24
None,9.19,82.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 11:00:00, None,24
None,9.41,80.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 12:00:00, None,24
None,10.25,75.27, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 13:00:00, None,24
None,10.57,71.98, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 14:00:00, None,24
None,10.16,74.02, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 15:00:00, None,24
None,9.97,74.33, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 16:00:00, None,24
None,10.43,73.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 17:00:00, None,24
None,10.75,70.95, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 18:00:00, None,24
None,11.23,68.85, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 19:00:00, None,24
None,11.05,67.56, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 20:00:00, None,24
None,10.55,63.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 21:00:00, None,24
None,10.33,56.61, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 22:00:00, None,24
None,8.89,63.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-14 23:00:00, None,24
None,7.865,64.93, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 00:00:00, None,24
None,7.158,68.66, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 01:00:00, None,24
None,7.129,67.12, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 02:00:00, None,24
None,6.97,65.75, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 03:00:00, None,24
None,6.405,68.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 04:00:00, None,24
None,5.77,70.65, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 05:00:00, None,24
None,6.257,68.44, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 06:00:00, None,24
None,6.055,72.17, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 07:00:00, None,24
None,6.714,69.02, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 08:00:00, None,24
None,8.88,61.24, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 09:00:00, None,24
None,8.69,60.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 10:00:00, None,24
None,9.32,57.87, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 11:00:00, None,24
None,12.3,49.33, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 12:00:00, None,24
None,11.9,46.31, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 13:00:00, None,24
None,13.19,50.29, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 14:00:00, None,24
None,13.94,47.87, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 15:00:00, None,24
None,14.51,49.12, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 16:00:00, None,24
None,14.41,48.15, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 17:00:00, None,24
None,14.72,46.54, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 18:00:00, None,24
None,13.66,51.55, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 19:00:00, None,24
None,12.9,55.35, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 20:00:00, None,24
None,11.64,64.88, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 21:00:00, None,24
None,10.86,68.06, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 22:00:00, None,24
None,10.2,70.64, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-15 23:00:00, None,24
None,9.74,72.81, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 00:00:00, None,24
None,9.54,72.32, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 01:00:00, None,24
None,9.08,73.49, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 02:00:00, None,24
None,8.34,85.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 03:00:00, None,24
None,7.702,91.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 04:00:00, None,24
None,7.169,91.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 05:00:00, None,24
None,7.476,91.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 06:00:00, None,24
None,7.655,94.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 07:00:00, None,24
None,8.24,92.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 08:00:00, None,24
None,9.71,79.29, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 09:00:00, None,24
None,11.13,71.34, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 10:00:00, None,24
None,11.89,65.91, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 11:00:00, None,24
None,13.56,55.15, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 12:00:00, None,24
None,14.2,50.13, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 13:00:00, None,24
None,15.85,45.41, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 14:00:00, None,24
None,16.0,42.71, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 15:00:00, None,24
None,15.88,53.83, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 16:00:00, None,24
None,15.87,51.84, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 17:00:00, None,24
None,14.17,59.62, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 18:00:00, None,24
None,15.08,55.55, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 19:00:00, None,24
None,15.51,53.21, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 20:00:00, None,24
None,12.74,65.05, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 21:00:00, None,24
None,12.37,62.81, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 22:00:00, None,24
None,12.35,60.22, None, None, None, None, None, None, None, None, None, None, None, None, None,2020-06-16 23:00:00, None,24
