pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, 9.71, 13.4, -6999.0, -6999.0, -6999.0, -6999.0, 9.7, 9.7, 0.0, -6999.0, 0.0,2020-06-10 00:00:00, -5.0, None, -6999.0,24
None, 9.37, 13.4, -6999.0, -6999.0, -6999.0, -6999.0, 9.4, 9.4, -0.2, -6999.0, 0.0,2020-06-10 01:00:00, -5.0, None, -6999.0,24
None, 9.16, 13.4, -6999.0, -6999.0, -6999.0, -6999.0, 9.2, 9.2, 0.0, -6999.0, 0.0,2020-06-10 02:00:00, -5.0, None, -6999.0,24
None, 8.95, 13.4, -6999.0, -6999.0, -6999.0, -6999.0, 9.0, 8.9, -0.1, -6999.0, 0.0,2020-06-10 03:00:00, -5.0, None, -6999.0,24
None, 8.79, 13.4, -6999.0, -6999.0, -6999.0, -6999.0, 8.8, 8.7, 0.0, -6999.0, 0.0,2020-06-10 04:00:00, -5.0, None, -6999.0,24
None, 7.98, 13.4, -6999.0, -6999.0, -6999.0, -6999.0, 8.0, 8.0, 0.0, -6999.0, 0.0,2020-06-10 05:00:00, -5.0, None, -6999.0,24
None, 8.21, 13.4, -6999.0, -6999.0, -6999.0, -6999.0, 8.2, 8.0, -0.1, -6999.0, 0.0,2020-06-10 06:00:00, -5.0, None, -6999.0,24
None, 8.71, 8.7, -6999.0, -6999.0, -6999.0, -6999.0, 8.7, 8.2, 0.0, -6999.0, 0.0,2020-06-10 07:00:00, -5.0, None, -6999.0,24
None, 10.08, 10.1, -6999.0, -6999.0, -6999.0, -6999.0, 10.1, 8.2, 0.0, -6999.0, 0.0,2020-06-10 08:00:00, -5.0, None, -6999.0,24
None, 11.79, 11.8, -6999.0, -6999.0, -6999.0, -6999.0, 11.8, 8.2, -0.2, -6999.0, 0.0,2020-06-10 09:00:00, -5.0, None, -6999.0,24
None, 12.93, 13.0, -6999.0, -6999.0, -6999.0, -6999.0, 12.9, 8.2, 0.0, -6999.0, 0.0,2020-06-10 10:00:00, -5.0, None, -6999.0,24
None, 15.9, 15.9, -6999.0, -6999.0, -6999.0, -6999.0, 15.9, 8.2, -0.1, -6999.0, 1.0,2020-06-10 11:00:00, -5.0, -4.638, -6999.0,24
None, 19.04, 19.0, -6999.0, -6999.0, -6999.0, -6999.0, 19.0, 8.2, -0.1, -6999.0, 0.0,2020-06-10 12:00:00, -5.0, None, -6999.0,24
None, 19.28, 20.4, -6999.0, -6999.0, -6999.0, -6999.0, 19.3, 8.2, -0.1, -6999.0, 0.0,2020-06-10 13:00:00, -5.0, None, -6999.0,24
None, 19.41, 20.7, -6999.0, -6999.0, -6999.0, -6999.0, 19.4, 8.2, 0.1, -6999.0, 0.0,2020-06-10 14:00:00, -5.0, None, -6999.0,24
None, 21.07, 21.5, -6999.0, -6999.0, -6999.0, -6999.0, 21.1, 8.2, 0.0, -6999.0, -1.0,2020-06-10 15:00:00, -6.0, None, -6999.0,24
None, 20.88, 22.0, -6999.0, -6999.0, -6999.0, -6999.0, 20.9, 8.2, -0.2, -6999.0, 1.0,2020-06-10 16:00:00, -5.0, None, -6999.0,24
None, 20.98, 22.0, -6999.0, -6999.0, -6999.0, -6999.0, 21.0, 8.2, 0.0, -6999.0, -1.0,2020-06-10 17:00:00, -6.0, None, -6999.0,24
None, 17.74, 22.0, -6999.0, -6999.0, -6999.0, -6999.0, 17.7, 8.2, 0.2, -6999.0, 1.0,2020-06-10 18:00:00, -5.0, None, -6999.0,24
None, 17.14, 18.0, -6999.0, -6999.0, -6999.0, -6999.0, 17.1, 17.1, -0.2, -6999.0, 0.0,2020-06-10 19:00:00, -5.0, None, -6999.0,24
None, 16.4, 18.0, -6999.0, -6999.0, -6999.0, -6999.0, 16.4, 16.4, -0.2, -6999.0, 0.0,2020-06-10 20:00:00, -5.0, None, -6999.0,24
None, 14.08, 18.0, -6999.0, -6999.0, -6999.0, -6999.0, 14.1, 14.1, -0.2, -6999.0, 0.0,2020-06-10 21:00:00, -5.0, None, -6999.0,24
None, 13.19, 18.0, -6999.0, -6999.0, -6999.0, -6999.0, 13.2, 13.2, -0.2, -6999.0, 0.0,2020-06-10 22:00:00, -5.0, None, -6999.0,24
None, 12.22, 18.0, -6999.0, -6999.0, -6999.0, -6999.0, 12.2, 12.2, -0.1, -6999.0, 0.0,2020-06-10 23:00:00, -5.0, None, -6999.0,24
None, 11.82, 18.0, -6999.0, -6999.0, -6999.0, -6999.0, 11.8, 11.6, -0.1, -6999.0, 0.0,2020-06-11 00:00:00, -5.0, None, -6999.0,24
None, 11.65, 18.0, -6999.0, -6999.0, -6999.0, -6999.0, 11.7, 11.2, -0.2, -6999.0, 0.0,2020-06-11 01:00:00, -5.0, None, -6999.0,24
None, 10.14, 18.0, -6999.0, -6999.0, -6999.0, -6999.0, 10.1, 10.1, 0.0, -6999.0, 0.0,2020-06-11 02:00:00, -5.0, None, -6999.0,24
None, 8.95, 18.0, -6999.0, -6999.0, -6999.0, -6999.0, 9.0, 9.0, -0.2, -6999.0, 0.0,2020-06-11 03:00:00, -5.0, None, -6999.0,24
None, 9.02, 18.0, -6999.0, -6999.0, -6999.0, -6999.0, 9.0, 8.9, -0.2, -6999.0, 0.0,2020-06-11 04:00:00, -5.0, None, -6999.0,24
None, 9.47, 18.0, -6999.0, -6999.0, -6999.0, -6999.0, 9.5, 8.9, 0.0, -6999.0, 0.0,2020-06-11 05:00:00, -5.0, None, -6999.0,24
None, 9.17, 18.0, -6999.0, -6999.0, -6999.0, -6999.0, 9.2, 8.8, 0.0, -6999.0, 0.0,2020-06-11 06:00:00, -5.0, None, -6999.0,24
None, 9.64, 10.0, -6999.0, -6999.0, -6999.0, -6999.0, 9.6, 8.8, -0.1, -6999.0, 0.0,2020-06-11 07:00:00, -5.0, None, -6999.0,24
None, 9.75, 10.0, -6999.0, -6999.0, -6999.0, -6999.0, 9.8, 8.8, 0.0, -6999.0, 0.0,2020-06-11 08:00:00, -5.0, None, -6999.0,24
None, 13.31, 14.0, -6999.0, -6999.0, -6999.0, -6999.0, 13.3, 8.8, -0.1, -6999.0, 0.0,2020-06-11 09:00:00, -5.0, None, -6999.0,24
None, 15.51, 15.5, -6999.0, -6999.0, -6999.0, -6999.0, 15.5, 8.8, 0.0, -6999.0, 0.0,2020-06-11 10:00:00, -5.0, -4.826, -6999.0,24
None, 17.61, 17.7, -6999.0, -6999.0, -6999.0, -6999.0, 17.6, 8.8, -0.3, -6999.0, 0.0,2020-06-11 11:00:00, -5.0, None, -6999.0,24
None, 18.69, 19.2, -6999.0, -6999.0, -6999.0, -6999.0, 18.7, 8.8, 0.1, -6999.0, 0.0,2020-06-11 12:00:00, -5.0, None, -6999.0,24
None, 20.2, None, None, None, None, None, None, None, None, None, None,2020-06-11 13:00:00, None, -4.988, None,24
None, 20.71, 21.4, -6999.0, -6999.0, -6999.0, -6999.0, 20.7, 8.8, 0.2, -6999.0, 0.0,2020-06-11 14:00:00, -5.0, None, -6999.0,24
None, 18.96, 21.4, -6999.0, -6999.0, -6999.0, -6999.0, 19.0, 8.8, 0.1, -6999.0, 0.0,2020-06-11 15:00:00, -5.0, None, -6999.0,24
None, 19.34, 21.4, -6999.0, -6999.0, -6999.0, -6999.0, 19.3, 8.8, 0.0, -6999.0, 0.0,2020-06-11 16:00:00, -5.0, None, -6999.0,24
None, 17.71, 21.4, -6999.0, -6999.0, -6999.0, -6999.0, 17.7, 8.8, -0.3, -6999.0, 0.0,2020-06-11 17:00:00, -5.0, None, -6999.0,24
None, 17.0, 21.4, -6999.0, -6999.0, -6999.0, -6999.0, 17.0, 8.8, -0.1, -6999.0, 0.0,2020-06-11 18:00:00, -5.0, None, -6999.0,24
None, 16.44, 17.1, -6999.0, -6999.0, -6999.0, -6999.0, 16.4, 16.3, 0.1, -6999.0, 0.0,2020-06-11 19:00:00, -5.0, None, -6999.0,24
None, 15.71, 17.1, -6999.0, -6999.0, -6999.0, -6999.0, 15.7, 15.7, -0.1, -6999.0, 0.0,2020-06-11 20:00:00, -5.0, None, -6999.0,24
None, 14.99, 17.1, -6999.0, -6999.0, -6999.0, -6999.0, 15.0, 15.0, -0.2, -6999.0, 0.0,2020-06-11 21:00:00, -5.0, None, -6999.0,24
None, 13.78, 17.1, -6999.0, -6999.0, -6999.0, -6999.0, 13.8, 13.8, 0.0, -6999.0, 0.0,2020-06-11 22:00:00, -5.0, None, -6999.0,24
None, 13.3, 17.1, -6999.0, -6999.0, -6999.0, -6999.0, 13.3, 13.3, 0.1, -6999.0, 0.0,2020-06-11 23:00:00, -5.0, -4.937, -6999.0,24
