pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, -5.723, 86.8, -0.8, 87.0, -7.0, -5.7, -6.3, 979.9, -0.1, -7.0, 886.0, 1.0,2020-03-04 00:00:00, 68.0, 67.57, 886.0,10
None, -4.945, 84.6, -0.8, 85.0, -7.0, -4.9, -6.3, 982.0, 0.0, -7.0, 888.0, 0.0,2020-03-04 01:00:00, 68.0, 67.68, 888.0,10
None, -4.894, 88.7, -0.8, 89.0, -6.0, -4.9, -6.3, 983.0, 0.1, -6.0, 889.0, -1.0,2020-03-04 02:00:00, 67.0, 67.17, 889.0,10
None, -5.862, 90.4, -0.8, 90.0, -7.0, -5.9, -6.3, 985.2, 0.0, -7.0, 891.0, 1.0,2020-03-04 03:00:00, 68.0, 67.66, 891.0,10
None, -6.624, 92.1, -0.8, 92.0, -8.0, -6.6, -6.6, 986.4, 0.0, -8.0, 892.0, -1.0,2020-03-04 04:00:00, 67.0, 67.11, 892.0,10
None, -6.798, 92.0, -0.8, 92.0, -8.0, -6.8, -7.0, 988.7, 0.0, -8.0, 894.0, 0.0,2020-03-04 05:00:00, 67.0, 67.34, 894.0,10
None, -7.476, 89.0, -0.8, 89.0, -9.0, -7.5, -7.4, 991.2, 0.0, -9.0, 896.0, 0.0,2020-03-04 06:00:00, 67.0, 67.26, 896.0,10
None, -9.64, 89.5, -7.4, 90.0, -11.0, -9.6, -9.6, 992.6, -0.1, -11.0, 897.0, 0.0,2020-03-04 07:00:00, 67.0, 67.03, 897.0,10
None, -7.952, 83.5, -7.4, 84.0, -10.0, -8.0, -9.7, 993.6, 0.0, -10.0, 898.0, 1.0,2020-03-04 08:00:00, 67.0, 67.29, 898.0,10
None, -6.089, 77.54, -6.1, 78.0, -9.0, -6.1, -9.7, 994.6, 0.2, -9.0, 899.0, 0.0,2020-03-04 09:00:00, 67.0, 67.4, 899.0,10
None, -3.961, 60.96, -4.0, 61.0, -9.0, -4.0, -9.7, 995.6, 0.1, -9.0, 900.0, 0.0,2020-03-04 10:00:00, 67.0, 67.38, 900.0,10
None, -2.106, 48.67, -2.1, 49.0, -10.0, -2.1, -9.7, 996.6, 0.1, -10.0, 901.0, 1.0,2020-03-04 11:00:00, 68.0, 67.78, 901.0,10
None, -1.463, 44.97, -1.5, 45.0, -11.0, -1.5, -9.7, 997.7, -0.1, -11.0, 902.0, 0.0,2020-03-04 12:00:00, 68.0, 68.0, 902.0,10
None, -0.337, 39.12, -0.3, 39.0, -11.0, -0.3, -9.7, 997.5, 0.0, -11.0, 902.0, 0.0,2020-03-04 13:00:00, 68.0, 67.84, 902.0,10
None, 0.772, 37.01, 0.8, 37.0, -12.0, 0.8, -9.7, 998.5, 0.0, -12.0, 903.0, -1.0,2020-03-04 14:00:00, 67.0, 67.09, 903.0,10
None, -0.217, 41.22, 0.8, 41.0, -11.0, -0.2, -9.7, 998.7, -0.2, -11.0, 903.0, 1.0,2020-03-04 15:00:00, 68.0, 67.9, 903.0,10
None, -0.336, 37.64, 0.8, 38.0, -12.0, -0.3, -9.7, 997.7, -0.1, -12.0, 902.0, 0.0,2020-03-04 16:00:00, 68.0, 67.89, 902.0,10
None, -1.621, 48.31, 0.8, 48.0, -10.0, -1.6, -9.7, 997.9, 0.1, -10.0, 902.0, 0.0,2020-03-04 17:00:00, 68.0, 67.66, 902.0,10
None, -2.042, 54.33, 0.8, 54.0, -9.0, -2.0, -9.7, 996.9, -0.1, -9.0, 901.0, 0.0,2020-03-04 18:00:00, 68.0, 67.87, 901.0,10
None, -2.748, 55.5, -2.0, 56.0, -9.0, -2.7, -2.7, 997.1, -0.1, -9.0, 901.0, 0.0,2020-03-04 19:00:00, 67.0, 67.42, 901.0,10
None, -2.4, 50.46, -2.0, 50.0, -10.0, -2.4, -2.7, 995.8, -0.1, -10.0, 900.0, 0.0,2020-03-04 20:00:00, 67.0, 67.48, 900.0,10
None, -3.262, 61.85, -2.0, 62.0, -9.0, -3.3, -3.3, 995.7, 0.0, -9.0, 900.0, 0.0,2020-03-04 21:00:00, 67.0, 67.28, 900.0,10
None, -4.37, 66.47, -2.0, 66.0, -9.0, -4.4, -4.3, 994.5, 0.0, -9.0, 899.0, 0.0,2020-03-04 22:00:00, 67.0, 67.08, 899.0,10
None, -3.846, 57.22, -2.0, 57.0, -10.0, -3.8, -4.7, 993.2, 0.0, -10.0, 898.0, 0.0,2020-03-04 23:00:00, 67.0, 67.2, 898.0,10
None, -4.448, 65.31, -2.0, 65.0, -9.0, -4.4, -4.7, 992.1, 0.0, -9.0, 897.0, 0.0,2020-03-05 00:00:00, 67.0, 67.14, 897.0,10
None, -2.835, 52.11, -2.0, 52.0, -10.0, -2.8, -5.3, 989.6, -0.1, -10.0, 895.0, 1.0,2020-03-05 01:00:00, 68.0, 67.64, 895.0,10
None, -2.363, 50.61, -2.0, 51.0, -10.0, -2.4, -5.3, 988.3, -0.1, -10.0, 894.0, 0.0,2020-03-05 02:00:00, 68.0, 67.53, 894.0,10
None, -2.35, 52.24, -2.0, 52.0, -10.0, -2.4, -5.3, 987.3, -0.1, -10.0, 893.0, 0.0,2020-03-05 03:00:00, 68.0, 67.5, 893.0,10
