ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,min_air_temp_snc_last_reset,snw_dpth,dwpt_temp
0.0,0.0,4.0,0.0,2020-10-21,0.0,10.0,43,,,,,,,,,,,
3.0,0.0,0.5,3.0,2020-10-22,0.0,10.0,43,,,,,,,,,,,
13.6,8.6,0.5,5.0,2020-10-23,3.0,2.0,43,,,,,,,,,,,
0.0,0.0,-1.0,0.0,2020-10-24,0.0,0.5,43,,,,,,,,,,,
0.0,0.0,-6.0,0.0,2020-10-25,5.0,0.5,43,,,,,,,,,,,
0.0,0.0,-3.0,0.0,2020-10-26,5.0,3.5,43,,,,,,,,,,,
0.8,0.8,-2.0,0.0,2020-10-27,3.0,5.5,43,,,,,,,,,,,
,,,,2020-10-21 00:00:00,,,43,0.7,-1.0,-1.024,94.2, 0.7, 1.0,1.8,94.0,-1.1, -6999.0,-2.0
,,,,2020-10-21 01:00:00,,,43,2.6,-1.3,-1.266,94.0, 1.9, 2.0,1.8,94.0,-1.5, -6999.0,-2.0
,,,,2020-10-21 02:00:00,,,43,2.6,-1.3,-1.274,86.6, 0.1, 0.0,1.8,87.0,-1.5, -6999.0,-3.0
,,,,2020-10-21 03:00:00,,,43,2.6,-1.3,-1.266,88.3, 0.0, 0.0,1.8,88.0,-1.5, -6999.0,-3.0
,,,,2020-10-21 04:00:00,,,43,2.8,-2.0,-2.03,90.7, 0.2, 0.0,1.8,91.0,-2.0, -6999.0,-3.0
,,,,2020-10-21 05:00:00,,,43,3.0,-2.1,-2.066,88.8, 0.2, 0.0,1.8,89.0,-2.1, -6999.0,-4.0
,,,,2020-10-21 06:00:00,,,43,3.0,-1.8,-1.791,86.8, 0.1, 0.0,1.8,87.0,-2.1, -6999.0,-3.0
,,,,2020-10-21 07:00:00,,,43,3.0,-1.9,-1.871,83.2, 0.0, 0.0,-1.5,83.0,-2.0, -6999.0,-4.0
,,,,2020-10-21 08:00:00,,,43,3.0,-1.8,-1.795,80.9, 0.0, 0.0,-1.5,81.0,-2.0, -6999.0,-4.0
,,,,2020-10-21 09:00:00,,,43,3.0,-1.7,-1.732,76.31, 0.0, None,-1.5,76.0,-2.0, None,-5.0
,,,,2020-10-21 10:00:00,,,43,3.0,-0.8,-0.751,74.24, 0.0, 0.0,-0.5,74.0,-2.0, -6999.0,-5.0
,,,,2020-10-21 11:00:00,,,43,3.0,-0.9,-0.942,68.14, 0.0, 0.0,-0.5,68.0,-2.0, -6999.0,-5.0
,,,,2020-10-21 12:00:00,,,43,3.0,0.5,0.521,64.03, 0.0, 0.0,0.5,64.0,-2.0, -6999.0,-6.0
,,,,2020-10-21 13:00:00,,,43,3.0,1.7,1.698,63.97, 0.0, 0.0,1.9,64.0,-2.0, -6999.0,-4.0
,,,,2020-10-21 14:00:00,,,43,3.0,-0.2,-0.152,68.11, 0.0, 0.0,1.9,68.0,-2.0, -6999.0,-5.0
,,,,2020-10-21 15:00:00,,,43,,-0.2,-0.151,59.34, None, None,1.9,59.0,-2.0, None,-6.0
,,,,2020-10-21 16:00:00,,,43,,-0.8,-0.811,62.84, 0.0, 0.0,1.9,63.0,-2.0, -6999.0,-6.0
,,,,2020-10-21 17:00:00,,,43,,-1.0,-0.954,68.25, 0.0, 0.0,1.9,68.0,-2.0, -6999.0,-6.0
,,,,2020-10-21 18:00:00,,,43,,-1.9,-1.853,70.2, 0.0, 0.0,1.9,70.0,-2.0, -6999.0,-6.0
,,,,2020-10-21 19:00:00,,,43,,-2.6,-2.619,74.91, 0.0, 0.0,-1.8,75.0,-3.0, -6999.0,-6.0
,,,,2020-10-21 20:00:00,,,43,,-3.4,-3.358,76.79, 0.0, 0.0,-1.8,77.0,-3.6, -6999.0,-7.0
