RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
None, None, None, None, 14.23, 152.9, None, 8.5, None, None, None, None, None, 17.0, None, None, None, 8.53, None, 10.1, None, None, 15.71, None, 8.5, 0.0, -2.0, None,2021-08-27 00:00:00, None,35
None, None, None, None, 13.76, 152.6, None, 8.5, None, None, None, None, None, 19.0, None, None, None, 8.47, None, 10.1, None, None, 12.63, None, 8.5, 0.0, 2.0, None,2021-08-27 01:00:00, None,35
None, None, None, None, 13.99, 162.3, None, 8.2, None, None, None, None, None, 19.0, None, None, None, 8.23, None, 10.1, None, None, 11.92, None, 8.2, 0.0, 0.0, None,2021-08-27 02:00:00, None,35
None, None, None, None, 14.83, 157.5, None, 8.2, None, None, None, None, None, 19.0, None, None, None, 8.45, None, 10.1, None, None, 12.71, None, 8.5, 0.0, -1.0, None,2021-08-27 03:00:00, None,35
None, None, None, None, 12.17, 146.8, None, 8.2, None, None, None, None, None, 19.0, None, None, None, 8.5, None, 10.1, None, None, 17.35, None, 8.5, 0.0, 0.0, None,2021-08-27 04:00:00, None,35
None, None, None, None, 9.33, 138.7, None, 8.2, None, None, None, None, None, 19.0, None, None, None, 8.37, None, 10.1, None, None, 19.07, None, 8.4, 0.0, 0.0, None,2021-08-27 05:00:00, None,35
None, None, None, None, 8.69, 132.8, None, 8.2, None, None, None, None, None, 18.0, None, None, None, 8.4, None, 10.1, None, None, 14.96, None, 8.4, 0.0, -1.0, None,2021-08-27 06:00:00, None,35
None, None, None, None, 8.68, 125.6, None, 8.2, None, None, None, None, None, 18.0, None, None, None, 8.32, None, 8.4, None, None, 17.93, None, 8.3, 0.0, 0.0, None,2021-08-27 07:00:00, None,35
None, None, None, None, 8.03, 114.4, None, 8.2, None, None, None, None, None, 21.0, None, None, None, 8.36, None, 8.4, None, None, 20.96, None, 8.4, 0.0, 3.0, None,2021-08-27 08:00:00, None,35
None, None, None, None, 8.21, 123.6, None, 8.2, None, None, None, None, None, 20.0, None, None, None, 8.65, None, 8.7, None, None, 17.66, None, 8.7, 0.0, -1.0, None,2021-08-27 09:00:00, None,35
None, None, None, None, 7.16, 128.9, None, 8.2, None, None, None, None, None, 17.0, None, None, None, 9.01, None, 9.0, None, None, 16.63, None, 9.0, 0.0, -3.0, None,2021-08-27 10:00:00, None,35
None, None, None, None, 5.416, 150.3, None, 8.2, None, None, None, None, None, 17.0, None, None, None, 9.69, None, 10.5, None, None, 24.18, None, 9.7, 0.0, 0.0, None,2021-08-27 11:00:00, None,35
None, None, None, None, 7.52, 143.9, None, 8.2, None, None, None, None, None, 5.0, None, None, None, 10.43, None, 11.1, None, None, 19.46, None, 10.4, 0.0, -12.0, None,2021-08-27 12:00:00, None,35
None, None, None, None, 3.568, 137.3, None, 8.2, None, None, None, None, None, 21.0, None, None, None, 10.89, None, 12.5, None, None, 24.48, None, 10.9, 0.0, 16.0, None,2021-08-27 13:00:00, None,35
None, None, None, None, 7.71, 126.7, None, 8.2, None, None, None, None, None, 18.0, None, None, None, 9.34, None, 12.5, None, None, 24.69, None, 9.3, 0.0, -3.0, None,2021-08-27 14:00:00, None,35
None, None, None, None, 9.55, 147.1, None, 8.2, None, None, None, None, None, 21.0, None, None, None, 9.28, None, 12.5, None, None, 25.18, None, 9.3, 0.0, 3.0, None,2021-08-27 15:00:00, None,35
None, None, None, None, 12.59, 160.1, None, 8.2, None, None, None, None, None, 16.0, None, None, None, 8.61, None, 12.5, None, None, 19.31, None, 8.6, 0.0, -5.0, None,2021-08-27 16:00:00, None,35
None, None, None, None, 16.34, 161.6, None, 8.2, None, None, None, None, None, 17.0, None, None, None, 8.58, None, 12.5, None, None, 17.2, None, 8.6, 0.0, 1.0, None,2021-08-27 17:00:00, None,35
None, None, None, None, 17.09, 159.5, None, 8.2, None, None, None, None, None, 42.0, None, None, None, 8.56, None, 12.5, None, None, 16.66, None, 8.6, 0.0, 25.0, None,2021-08-27 18:00:00, None,35
None, None, None, None, 16.74, 153.7, None, 8.5, None, None, None, None, None, 45.0, None, None, None, 8.6, None, 8.6, None, None, 16.21, None, 8.6, 0.0, 3.0, None,2021-08-27 19:00:00, None,35
None, None, None, None, 12.5, 152.8, None, 8.5, None, None, None, None, None, 45.0, None, None, None, 8.62, None, 8.6, None, None, 10.79, None, 8.6, 0.0, 0.0, None,2021-08-27 20:00:00, None,35
None, None, None, None, 9.69, 171.4, None, 8.5, None, None, None, None, None, 45.0, None, None, None, 8.7, None, 8.8, None, None, 17.3, None, 8.7, 0.0, 0.0, None,2021-08-27 21:00:00, None,35
None, None, None, None, 12.44, 183.2, None, 8.5, None, None, None, None, None, 47.0, None, None, None, 8.57, None, 8.9, None, None, 16.93, None, 8.6, 0.0, 2.0, None,2021-08-27 22:00:00, None,35
None, None, None, None, 7.4, 165.4, None, 8.4, None, None, None, None, None, 46.0, None, None, None, 8.51, None, 8.9, None, None, 15.96, None, 8.5, 0.0, 0.0, None,2021-08-27 23:00:00, None,35
None, None, None, None, 5.383, 325.6, None, 8.4, None, None, None, None, None, 47.0, None, None, None, 9.07, None, 9.2, None, None, 36.89, None, 9.1, 0.0, 0.0, None,2021-08-28 00:00:00, None,35
None, None, None, None, 8.53, 268.7, None, 8.4, None, None, None, None, None, 46.0, None, None, None, 9.56, None, 9.6, None, None, 21.19, None, 9.6, 0.0, -1.0, None,2021-08-28 01:00:00, None,35
None, None, None, None, 9.21, 276.3, None, 8.4, None, None, None, None, None, 48.0, None, None, None, 9.99, None, 10.1, None, None, 24.12, None, 10.0, 0.0, 2.0, None,2021-08-28 02:00:00, None,35
None, None, None, None, 15.1, 331.3, None, 8.4, None, None, None, None, None, 49.0, None, None, None, 9.71, None, 10.3, None, None, 30.68, None, 9.7, 0.0, 1.0, None,2021-08-28 03:00:00, None,35
None, None, None, None, 32.14, 281.4, None, 8.4, None, None, None, None, None, 49.0, None, None, None, 9.67, None, 10.3, None, None, 26.77, None, 9.7, 0.0, 0.0, None,2021-08-28 04:00:00, None,35
None, None, None, None, 10.64, 326.3, None, 8.4, None, None, None, None, None, 48.0, None, None, None, 9.92, None, 10.3, None, None, 50.23, None, 9.9, 0.0, -1.0, None,2021-08-28 05:00:00, None,35
None, None, None, None, 20.75, 342.9, None, 8.4, None, None, None, None, None, 48.0, None, None, None, 9.87, None, 10.7, None, None, 22.78, None, 9.9, 0.0, 0.0, None,2021-08-28 06:00:00, None,35
None, None, None, None, 23.29, 349.2, None, 9.8, None, None, None, None, None, 62.0, None, None, None, 10.16, None, 10.9, None, None, 37.35, None, 10.2, 0.0, 14.0, None,2021-08-28 07:00:00, None,35
None, None, None, None, 9.67, 9.62, None, 9.8, None, None, None, None, None, 63.0, None, None, None, 10.01, None, 10.9, None, None, 35.0, None, 10.0, 0.0, 0.0, None,2021-08-28 08:00:00, None,35
None, None, None, None, 14.4, 17.32, None, 9.5, None, None, None, None, None, 49.0, None, None, None, 9.94, None, 10.9, None, None, 28.68, None, 9.9, 0.0, -14.0, None,2021-08-28 09:00:00, None,35
None, None, None, None, 17.71, 7.35, None, 9.0, None, None, None, None, None, 48.0, None, None, None, 9.5, None, 10.9, None, None, 21.25, None, 9.5, 0.0, -1.0, None,2021-08-28 10:00:00, None,35
None, None, None, None, 11.83, 95.9, None, 8.7, None, None, None, None, None, 62.0, None, None, None, 9.06, None, 10.9, None, None, 31.99, None, 9.1, 0.0, 15.0, None,2021-08-28 11:00:00, None,35
None, None, None, None, 16.85, 84.8, None, 8.7, None, None, None, None, None, 63.0, None, None, None, 9.54, None, 10.9, None, None, 21.26, None, 9.5, 0.0, 0.0, None,2021-08-28 12:00:00, None,35
None, None, None, None, 16.46, 110.6, None, 8.0, None, None, None, None, None, 46.0, None, None, None, 8.03, None, 10.9, None, None, 32.9, None, 8.0, 0.0, -17.0, None,2021-08-28 13:00:00, None,35
None, None, None, None, 17.48, 119.8, None, 7.5, None, None, None, None, None, 47.0, None, None, None, 7.69, None, 10.9, None, None, 30.74, None, 7.7, 0.0, 1.0, None,2021-08-28 14:00:00, None,35
None, None, None, None, 16.84, 111.3, None, 6.6, None, None, None, None, None, 48.0, None, None, None, 6.644, None, 10.9, None, None, 35.59, None, 6.6, 0.0, 1.0, None,2021-08-28 15:00:00, None,35
None, None, None, None, 17.93, 123.6, None, 6.3, None, None, None, None, None, 47.0, None, None, None, 6.5, None, 10.9, None, None, 30.79, None, 6.5, 0.0, -1.0, None,2021-08-28 16:00:00, None,35
None, None, None, None, 21.0, 127.5, None, 6.2, None, None, None, None, None, 48.0, None, None, None, 6.491, None, 10.9, None, None, 25.29, None, 6.5, 0.0, 1.0, None,2021-08-28 17:00:00, None,35
None, None, None, None, 16.62, 91.6, None, 6.2, None, None, None, None, None, 48.0, None, None, None, 6.912, None, 10.9, None, None, 31.33, None, 6.9, 0.0, 0.0, None,2021-08-28 18:00:00, None,35
None, None, None, None, 15.67, 115.7, None, 6.2, None, None, None, None, None, 62.0, None, None, None, 6.242, None, 6.9, None, None, 30.52, None, 6.2, 0.0, 14.0, None,2021-08-28 19:00:00, None,35
None, None, None, None, 16.17, 120.2, None, 5.7, None, None, None, None, None, 47.0, None, None, None, 5.773, None, 6.9, None, None, 32.11, None, 5.8, 0.0, -15.0, None,2021-08-28 20:00:00, None,35
None, None, None, None, 16.69, 129.5, None, 4.9, None, None, None, None, None, 49.0, None, None, None, 4.869, None, 6.9, None, None, 23.21, None, 4.9, 0.0, 1.0, None,2021-08-28 21:00:00, None,35
None, None, None, None, 15.57, 126.8, None, 4.8, None, None, None, None, None, 50.0, None, None, None, 4.829, None, 6.9, None, None, 22.95, None, 4.8, 0.0, 1.0, None,2021-08-28 22:00:00, None,35
None, None, None, None, 13.55, 127.7, None, 4.8, None, None, None, None, None, 49.0, None, None, None, 4.916, None, 6.9, None, None, 19.84, None, 4.9, 0.0, -1.0, None,2021-08-28 23:00:00, None,35
None, None, None, None, 12.78, 131.4, None, 4.7, None, None, None, None, None, 49.0, None, None, None, 4.736, None, 6.9, None, None, 21.34, None, 4.7, 0.0, 0.0, None,2021-08-29 00:00:00, None,35
None, None, None, None, 12.04, 111.7, None, 4.5, None, None, None, None, None, 50.0, None, None, None, 4.575, None, 6.9, None, None, 16.99, None, 4.6, 0.0, 1.0, None,2021-08-29 01:00:00, None,35
None, None, None, None, 12.86, 113.5, None, 4.1, None, None, None, None, None, 48.0, None, None, None, 4.138, None, 6.9, None, None, 20.66, None, 4.1, 0.0, -1.0, None,2021-08-29 02:00:00, None,35
