time,ONE_DAY_PRECIPITATION,MAX_TEMP,MIN_TEMP,week_of_year
2016-12-23,0.0,-3.4,-3.4,52
2016-12-24,0.0,-8.1,-7.6,52
2016-12-25,0.0,-5.8,-9.8,52
2016-12-26,21.8,-3.4,-3.2,52
2016-12-27,8.6,-3.1,0.0,52
2016-12-28,26.0,-3.2,0.3,52
2016-12-29,26.0,3.2,-0.7,52
