TempC,time,RH,week_of_year
2.664,2022-03-10 14:00:00,30.4,10
3.009,2022-03-10 15:00:00,29.9,10
2.584,2022-03-10 16:00:00,28.9,10
2.021,2022-03-10 17:00:00,30.2,10
-0.507,2022-03-10 18:00:00,42.4,10
-1.785,2022-03-10 19:00:00,54.8,10
-0.255,2022-03-10 20:00:00,55.6,10
-0.93,2022-03-10 21:00:00,63.6,10
-1.27,2022-03-10 22:00:00,76.6,10
-1.242,2022-03-10 23:00:00,76.9,10
-1.47,2022-03-11 00:00:00,79.6,10
-1.986,2022-03-11 01:00:00,85.4,10
-2.015,2022-03-11 02:00:00,85.7,10
-2.16,2022-03-11 03:00:00,84.1,10
-2.305,2022-03-11 04:00:00,85.2,10
-2.247,2022-03-11 05:00:00,88.0,10
-1.958,2022-03-11 06:00:00,87.8,10
-1.929,2022-03-11 07:00:00,87.2,10
-1.584,2022-03-11 08:00:00,90.4,10
-1.67,2022-03-11 09:00:00,92.2,10
-1.47,2022-03-11 10:00:00,95.4,10
-1.071,2022-03-11 11:00:00,96.1,10
-0.451,2022-03-11 12:00:00,95.3,10
0.079,2022-03-11 13:00:00,95.9,10
0.605,2022-03-11 14:00:00,95.0,10
1.235,2022-03-11 15:00:00,93.9,10
1.615,2022-03-11 16:00:00,92.5,10
1.235,2022-03-11 17:00:00,95.0,10
1.262,2022-03-11 18:00:00,93.7,10
1.751,2022-03-11 19:00:00,94.7,10
1.044,2022-03-11 20:00:00,93.5,10
1.18,2022-03-11 21:00:00,92.2,10
-0.535,2022-03-11 22:00:00,96.3,10
0.495,2022-03-11 23:00:00,96.3,10
