pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
0.0, 9.91, 60.68, 19.9, 61.0, 3.0, 9.9, 9.7, 3.0, 0.0, 0.0,2020-05-06 00:00:00, -6999.0, None,19
0.0, 9.94, 62.03, 19.9, 62.0, 3.0, 9.9, 9.7, 3.0, 0.0, 0.0,2020-05-06 01:00:00, -6999.0, None,19
0.0, 9.9, 67.02, 19.9, 67.0, 4.0, 9.9, 9.7, 4.0, 0.0, 0.0,2020-05-06 02:00:00, -6999.0, None,19
0.0, 9.89, 76.26, 19.9, 76.0, 6.0, 9.9, 9.6, 6.0, 0.1, 0.0,2020-05-06 03:00:00, -6999.0, None,19
0.4, 8.53, 90.7, 19.9, 91.0, 7.0, 8.5, 8.5, 7.0, 0.4, 0.0,2020-05-06 04:00:00, -6999.0, None,19
0.4, 8.64, 91.5, 19.9, 92.0, 7.0, 8.6, 8.3, 7.0, 0.1, 0.0,2020-05-06 05:00:00, -6999.0, None,19
0.4, 8.53, 88.4, 19.9, 88.0, 7.0, 8.5, 8.2, 7.0, 0.0, 0.0,2020-05-06 06:00:00, -6999.0, None,19
0.4, 8.33, 92.1, 8.7, 92.0, 7.0, 8.3, 8.2, 7.0, 0.1, 0.0,2020-05-06 07:00:00, -6999.0, None,19
0.4, 8.47, 93.5, 8.7, 94.0, 8.0, 8.5, 8.0, 8.0, 0.0, 0.0,2020-05-06 08:00:00, -6999.0, None,19
0.4, 8.7, 87.6, 8.8, 88.0, 7.0, 8.7, 8.0, 7.0, 0.1, 0.0,2020-05-06 09:00:00, -6999.0, None,19
1.5, 7.183, 92.8, 8.8, 93.0, 6.0, 7.2, 7.1, 6.0, 1.1, 0.0,2020-05-06 10:00:00, -6999.0, None,19
1.7, 7.799, 93.8, 8.8, 94.0, 7.0, 7.8, 7.1, 7.0, 0.2, 0.0,2020-05-06 11:00:00, -6999.0, None,19
1.7, 8.85, 84.5, 9.0, 85.0, 6.0, 8.9, 7.1, 6.0, 0.0, 0.0,2020-05-06 12:00:00, -6999.0, None,19
1.7, 10.17, 55.44, 10.2, 55.0, 2.0, 10.2, 7.1, 2.0, 0.0, 0.0,2020-05-06 13:00:00, -6999.0, None,19
1.7, 11.11, 45.15, 11.5, 45.0, -1.0, 11.1, 7.1, -1.0, 0.0, 0.0,2020-05-06 14:00:00, -6999.0, None,19
1.7, 11.65, 41.1, 11.6, 41.0, -1.0, 11.7, 7.1, -1.0, 0.0, 0.0,2020-05-06 15:00:00, -6999.0, None,19
1.7, 11.71, 39.06, 11.9, 39.0, -2.0, 11.7, 7.1, -2.0, 0.0, 0.0,2020-05-06 16:00:00, -6999.0, None,19
1.7, 11.34, 39.58, 12.0, 40.0, -2.0, 11.3, 7.1, -2.0, 0.0, 0.0,2020-05-06 17:00:00, -6999.0, None,19
1.7, 10.89, 41.49, 12.0, 41.0, -2.0, 10.9, 7.1, -2.0, 0.0, 0.0,2020-05-06 18:00:00, -6999.0, None,19
1.7, 10.74, 40.78, 11.0, 41.0, -2.0, 10.7, 10.7, -2.0, 0.0, 0.0,2020-05-06 19:00:00, -6999.0, None,19
1.7, 9.96, 46.45, 11.0, 46.0, -1.0, 10.0, 10.1, -1.0, 0.0, 0.0,2020-05-06 20:00:00, -6999.0, None,19
1.9, 6.745, 84.2, 11.0, 84.0, 4.0, 6.7, 6.7, 4.0, 0.2, 0.0,2020-05-06 21:00:00, -6999.0, None,19
1.9, 5.765, 80.7, 11.0, 81.0, 3.0, 5.8, 5.7, 3.0, 0.0, 0.0,2020-05-06 22:00:00, -6999.0, None,19
1.9, 4.848, 83.6, 11.0, 84.0, 2.0, 4.8, 4.7, 2.0, 0.0, 0.0,2020-05-06 23:00:00, -6999.0, None,19
1.9, 4.69, 85.7, 11.0, 86.0, 2.0, 4.7, 4.7, 2.0, 0.0, 0.0,2020-05-07 00:00:00, -6999.0, None,19
1.9, 4.584, 86.9, 11.0, 87.0, 2.0, 4.6, 4.4, 2.0, 0.0, 0.0,2020-05-07 01:00:00, -6999.0, None,19
1.9, 3.517, 85.3, 11.0, 85.0, 1.0, 3.5, 3.5, 1.0, 0.0, 0.0,2020-05-07 02:00:00, -6999.0, None,19
1.9, 2.716, 89.1, 11.0, 89.0, 1.0, 2.7, 2.8, 1.0, 0.0, 0.0,2020-05-07 03:00:00, -6999.0, None,19
1.5, 1.926, 89.8, 11.0, 90.0, 0.0, 1.9, 1.9, 0.0, 0.0, 0.0,2020-05-07 04:00:00, -6999.0, None,19
1.5, 2.503, 89.5, 11.0, 90.0, 1.0, 2.5, 1.6, 1.0, 0.0, 0.0,2020-05-07 05:00:00, -6999.0, None,19
1.5, 2.375, 88.1, 11.0, 88.0, 1.0, 2.4, 1.6, 1.0, 0.0, 0.0,2020-05-07 06:00:00, -6999.0, None,19
1.5, 2.249, 90.6, 2.4, 91.0, 1.0, 2.2, 2.0, 1.0, 0.0, 0.0,2020-05-07 07:00:00, -6999.0, None,19
