pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
1.6, -0.086, 90.1, 5.4, 90.0, -1.0, -0.1, 0.0, -1.0, 0.0, 0.0,2020-04-01 00:00:00, -6999.0, None,14
1.6, -0.268, 75.19, 5.4, 75.0, -3.0, -0.3, -0.5, -3.0, 0.0, 0.0,2020-04-01 01:00:00, -6999.0, None,14
1.6, -0.43, 70.87, 5.4, 71.0, -5.0, -0.4, -0.8, -5.0, 0.0, 0.0,2020-04-01 02:00:00, -6999.0, None,14
1.6, -0.916, 64.16, 5.4, 64.0, -6.0, -0.9, -1.6, -6.0, 0.0, 0.0,2020-04-01 03:00:00, -6999.0, None,14
1.6, -2.08, 68.56, 5.4, 69.0, -6.0, -2.1, -1.9, -6.0, 0.0, 0.0,2020-04-01 04:00:00, -6999.0, None,14
1.6, -2.983, 70.65, 5.4, 71.0, -7.0, -3.0, -3.0, -7.0, 0.0, 0.0,2020-04-01 05:00:00, -6999.0, None,14
1.6, -2.819, 66.24, 5.4, 66.0, -8.0, -2.8, -3.0, -8.0, 0.0, 0.0,2020-04-01 06:00:00, -6999.0, None,14
1.6, -3.042, 60.79, -2.8, 61.0, -9.0, -3.0, -3.1, -9.0, 0.0, 0.0,2020-04-01 07:00:00, -6999.0, None,14
1.6, -2.65, 54.54, -2.5, 55.0, -10.0, -2.7, -3.1, -10.0, 0.0, 0.0,2020-04-01 08:00:00, -6999.0, None,14
1.6, -2.264, 50.54, -2.2, 51.0, -10.0, -2.3, -3.1, -10.0, 0.0, 0.0,2020-04-01 09:00:00, -6999.0, None,14
1.6, -1.926, 50.63, -1.9, 51.0, -10.0, -1.9, -3.1, -10.0, 0.0, 0.0,2020-04-01 10:00:00, -6999.0, None,14
1.6, -1.117, 47.9, -1.1, 48.0, -9.0, -1.1, -3.1, -9.0, 0.0, 0.0,2020-04-01 11:00:00, -6999.0, None,14
1.6, -0.066, 40.02, 0.3, 40.0, -11.0, -0.1, -3.1, -11.0, 0.0, 0.0,2020-04-01 12:00:00, -6999.0, None,14
1.6, 0.436, 38.02, 0.5, 38.0, -12.0, 0.4, -3.1, -12.0, 0.0, 0.0,2020-04-01 13:00:00, -6999.0, None,14
1.6, 1.262, 38.53, 1.0, 39.0, -12.0, 1.3, -3.1, -12.0, 0.0, 0.0,2020-04-01 14:00:00, -6999.0, None,14
1.6, 1.317, 35.29, 1.9, 35.0, -12.0, 1.3, -3.1, -12.0, 0.0, 0.0,2020-04-01 15:00:00, -6999.0, None,14
1.6, 1.819, 34.75, 2.1, 35.0, -12.0, 1.8, -3.1, -12.0, 0.0, 0.0,2020-04-01 16:00:00, -6999.0, None,14
1.6, 2.451, 34.66, 2.8, 35.0, -12.0, 2.5, -3.1, -12.0, 0.0, 0.0,2020-04-01 17:00:00, -6999.0, None,14
1.6, 1.87, 36.4, 2.8, 36.0, -12.0, 1.9, -3.1, -12.0, 0.0, 0.0,2020-04-01 18:00:00, -6999.0, None,14
1.6, 1.354, 36.11, 2.2, 36.0, -12.0, 1.4, 1.2, -12.0, 0.0, 0.0,2020-04-01 19:00:00, -6999.0, None,14
1.6, -0.738, 49.44, 2.2, 49.0, -9.0, -0.7, -0.7, -9.0, 0.0, 0.0,2020-04-01 20:00:00, -6999.0, None,14
1.6, -1.821, 54.5, 2.2, 55.0, -9.0, -1.8, -1.9, -9.0, 0.0, 0.0,2020-04-01 21:00:00, -6999.0, None,14
0.6, -2.728, 51.28, 2.2, 51.0, -11.0, -2.7, -2.8, -11.0, 0.0, 0.0,2020-04-01 22:00:00, -6999.0, None,14
