CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,time,DEW_POINT,week_of_year
-8.76,63.56,2020-04-01 00:00:00,-14.0,14
-9.57,64.85,2020-04-01 01:00:00,-14.0,14
-10.26,65.72,2020-04-01 02:00:00,-15.0,14
-10.69,67.63,2020-04-01 03:00:00,-15.0,14
-11.0,67.9,2020-04-01 04:00:00,-15.0,14
-11.24,67.64,2020-04-01 05:00:00,-16.0,14
-10.93,62.11,2020-04-01 06:00:00,-16.0,14
-11.2,63.77,2020-04-01 07:00:00,-16.0,14
-10.98,61.72,2020-04-01 08:00:00,-16.0,14
-10.71,60.94,2020-04-01 09:00:00,-16.0,14
-10.05,51.23,2020-04-01 10:00:00,-18.0,14
-8.86,46.7,2020-04-01 11:00:00,-17.0,14
-7.563,45.87,2020-04-01 12:00:00,-16.0,14
-7.21,44.83,2020-04-01 13:00:00,-16.0,14
-6.589,44.61,2020-04-01 14:00:00,-15.0,14
-6.014,41.76,2020-04-01 15:00:00,-16.0,14
-4.751,40.36,2020-04-01 16:00:00,-16.0,14
-4.506,38.61,2020-04-01 17:00:00,-16.0,14
-4.58,38.88,2020-04-01 18:00:00,-15.0,14
-5.179,39.49,2020-04-01 19:00:00,-15.0,14
-7.11,50.5,2020-04-01 20:00:00,-15.0,14
-10.22,62.31,2020-04-01 21:00:00,-16.0,14
-12.31,70.52,2020-04-01 22:00:00,-16.0,14
-13.76,77.31,2020-04-01 23:00:00,-17.0,14
-14.45,79.19,2020-04-02 00:00:00,-17.0,14
-14.99,83.1,2020-04-02 01:00:00,-17.0,14
-15.76,83.6,2020-04-02 02:00:00,-18.0,14
-16.4,83.4,2020-04-02 03:00:00,-18.0,14
-16.89,83.3,2020-04-02 04:00:00,-19.0,14
-17.44,83.4,2020-04-02 05:00:00,-19.0,14
-17.64,83.5,2020-04-02 06:00:00,-20.0,14
-17.89,81.5,2020-04-02 07:00:00,-20.0,14
-14.87,78.83,2020-04-02 08:00:00,-17.0,14
-7.94,49.66,2020-04-02 09:00:00,-16.0,14
-6.512,46.58,2020-04-02 10:00:00,-15.0,14
-4.992,43.53,2020-04-02 11:00:00,-15.0,14
-4.05,40.23,2020-04-02 12:00:00,-15.0,14
-2.457,39.25,2020-04-02 13:00:00,-13.0,14
-1.348,37.55,2020-04-02 14:00:00,-12.0,14
-0.896,36.72,2020-04-02 15:00:00,-13.0,14
-0.749,39.53,2020-04-02 16:00:00,-12.0,14
-1.272,45.77,2020-04-02 17:00:00,-10.0,14
-2.227,53.44,2020-04-02 18:00:00,-9.0,14
-2.825,57.45,2020-04-02 19:00:00,-9.0,14
-3.529,66.45,2020-04-02 20:00:00,-8.0,14
-4.438,83.7,2020-04-02 21:00:00,-7.0,14
-5.082,90.8,2020-04-02 22:00:00,-6.0,14
-5.214,90.9,2020-04-02 23:00:00,-6.0,14
-5.45,92.3,2020-04-03 00:00:00,-6.0,14
-5.461,92.1,2020-04-03 01:00:00,-6.0,14
-5.536,92.2,2020-04-03 02:00:00,-7.0,14
-5.852,92.3,2020-04-03 03:00:00,-7.0,14
-5.56,92.1,2020-04-03 04:00:00,-6.0,14
-6.735,88.5,2020-04-03 05:00:00,-8.0,14
-7.937,86.0,2020-04-03 06:00:00,-9.0,14
-8.83,84.7,2020-04-03 07:00:00,-11.0,14
-9.26,84.7,2020-04-03 08:00:00,-11.0,14
-9.24,85.7,2020-04-03 09:00:00,-11.0,14
-9.3,79.54,2020-04-03 10:00:00,-12.0,14
-8.62,77.16,2020-04-03 11:00:00,-11.0,14
-7.72,70.73,2020-04-03 12:00:00,-12.0,14
-6.451,67.33,2020-04-03 13:00:00,-11.0,14
-6.137,69.39,2020-04-03 14:00:00,-10.0,14
-5.219,61.12,2020-04-03 15:00:00,-11.0,14
-4.882,54.67,2020-04-03 16:00:00,-11.0,14
-5.227,50.54,2020-04-03 17:00:00,-13.0,14
-5.597,47.72,2020-04-03 18:00:00,-14.0,14
-5.951,50.93,2020-04-03 19:00:00,-14.0,14
-8.22,61.72,2020-04-03 20:00:00,-14.0,14
-11.08,74.51,2020-04-03 21:00:00,-14.0,14
-12.77,77.18,2020-04-03 22:00:00,-15.0,14
-14.16,83.1,2020-04-03 23:00:00,-16.0,14
-15.36,84.4,2020-04-04 00:00:00,-17.0,14
-16.64,84.0,2020-04-04 01:00:00,-19.0,14
-16.57,83.5,2020-04-04 02:00:00,-19.0,14
-17.31,83.4,2020-04-04 03:00:00,-19.0,14
-17.64,83.5,2020-04-04 04:00:00,-19.0,14
-18.46,82.5,2020-04-04 05:00:00,-20.0,14
-19.24,82.3,2020-04-04 06:00:00,-21.0,14
-18.86,81.8,2020-04-04 07:00:00,-21.0,14
-13.2,80.4,2020-04-04 08:00:00,-15.0,14
-8.86,65.44,2020-04-04 09:00:00,-13.0,14
-6.773,56.34,2020-04-04 10:00:00,-13.0,14
-5.823,53.13,2020-04-04 11:00:00,-13.0,14
-4.044,49.69,2020-04-04 12:00:00,-12.0,14
-2.89,48.5,2020-04-04 13:00:00,-11.0,14
-1.732,44.44,2020-04-04 14:00:00,-11.0,14
-1.281,43.09,2020-04-04 15:00:00,-11.0,14
-0.319,41.68,2020-04-04 16:00:00,-11.0,14
-0.497,40.4,2020-04-04 17:00:00,-11.0,14
-0.852,41.56,2020-04-04 18:00:00,-11.0,14
-1.289,43.4,2020-04-04 19:00:00,-11.0,14
-2.374,50.96,2020-04-04 20:00:00,-10.0,14
-3.382,55.63,2020-04-04 21:00:00,-10.0,14
-3.659,57.02,2020-04-04 22:00:00,-10.0,14
-5.078,68.0,2020-04-04 23:00:00,-9.0,14
-6.149,66.89,2020-04-05 00:00:00,-11.0,14
-7.294,72.02,2020-04-05 01:00:00,-11.0,14
-8.16,74.1,2020-04-05 02:00:00,-11.0,14
-8.52,77.56,2020-04-05 03:00:00,-11.0,14
-9.3,79.58,2020-04-05 04:00:00,-12.0,14
-10.13,82.1,2020-04-05 05:00:00,-12.0,14
-9.47,81.2,2020-04-05 06:00:00,-12.0,14
-9.08,80.6,2020-04-05 07:00:00,-11.0,14
-6.95,75.34,2020-04-05 08:00:00,-10.0,14
-4.984,70.06,2020-04-05 09:00:00,-9.0,14
-4.312,71.83,2020-04-05 10:00:00,-8.0,14
-3.318,73.75,2020-04-05 11:00:00,-7.0,14
-2.355,70.89,2020-04-05 12:00:00,-6.0,14
-1.049,55.87,2020-04-05 13:00:00,-8.0,14
