WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,time,avg_air_temp_pst1hr,week_of_year
226.5, None, None, None,2020-12-20 20:00:00, None,51
218.9, None, None, None,2020-12-20 21:00:00, None,51
190.6, None, None, None,2020-12-20 22:00:00, None,51
182.3, None, None, None,2020-12-20 23:00:00, None,51
177.0, None, None, None,2020-12-21 00:00:00, None,51
176.1, None, None, None,2020-12-21 01:00:00, None,51
207.7, None, None, None,2020-12-21 02:00:00, None,51
170.7, None, None, None,2020-12-21 03:00:00, None,51
187.1, None, None, None,2020-12-21 04:00:00, None,51
179.7, None, None, None,2020-12-21 05:00:00, None,51
184.7, None, None, None,2020-12-21 06:00:00, None,51
170.9, None, None, None,2020-12-21 07:00:00, None,51
197.5, None, None, None,2020-12-21 08:00:00, None,51
202.0, None, None, None,2020-12-21 09:00:00, None,51
244.6, None, None, None,2020-12-21 10:00:00, None,51
113.9, None, None, None,2020-12-21 11:00:00, None,51
190.2, None, None, None,2020-12-21 12:00:00, None,51
195.6, None, None, None,2020-12-21 13:00:00, None,51
150.1, None, None, None,2020-12-21 14:00:00, None,51
137.0, None, None, None,2020-12-21 15:00:00, None,51
250.7, None, None, None,2020-12-21 16:00:00, None,51
21.7, None, None, None,2020-12-21 17:00:00, None,51
355.6, None, None, None,2020-12-21 18:00:00, None,51
11.0, None, None, None,2020-12-21 19:00:00, None,51
347.0, None, None, None,2020-12-21 20:00:00, None,51
265.1, None, None, None,2020-12-21 21:00:00, None,51
294.0, None, None, None,2020-12-21 22:00:00, None,51
277.7, None, None, None,2020-12-21 23:00:00, None,51
256.8, None, None, None,2020-12-22 00:00:00, None,51
247.0, None, None, None,2020-12-22 01:00:00, None,51
262.0, None, None, None,2020-12-22 02:00:00, None,51
244.0, None, None, None,2020-12-22 03:00:00, None,51
250.4, None, None, None,2020-12-22 04:00:00, None,51
267.4, None, None, None,2020-12-22 05:00:00, None,51
187.8, None, None, None,2020-12-22 06:00:00, None,51
180.0, None, None, None,2020-12-22 07:00:00, None,51
190.5, None, None, None,2020-12-22 08:00:00, None,51
240.2, None, None, None,2020-12-22 09:00:00, None,51
228.7, None, None, None,2020-12-22 10:00:00, None,51
225.4, None, None, None,2020-12-22 11:00:00, None,51
171.8, None, None, None,2020-12-22 12:00:00, None,51
191.0, None, None, None,2020-12-22 13:00:00, None,51
220.8, None, None, None,2020-12-22 14:00:00, None,51
203.4, None, None, None,2020-12-22 15:00:00, None,51
190.5, None, None, None,2020-12-22 16:00:00, None,51
33.1, None, None, None,2020-12-22 17:00:00, None,51
5.5, None, None, None,2020-12-22 18:00:00, None,51
8.0, None, None, None,2020-12-22 19:00:00, None,51
10.7, None, None, None,2020-12-22 20:00:00, None,51
26.9, None, None, None,2020-12-22 21:00:00, None,51
351.6, None, None, None,2020-12-22 22:00:00, None,51
14.6, None, None, None,2020-12-22 23:00:00, None,51
