station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, avg_wnd_spd_10m_pst10mts, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, -5.729, None, None, None, None, None, None, None, None, None, None, 2020-01-01 00:00:00, None, 31.39, None
None, -5.729, None, None, None, None, None, None, None, None, None, None, 2020-01-01 01:00:00, None, 32.0, None
None, -5.921, None, None, None, None, None, None, None, None, None, None, 2020-01-01 02:00:00, None, 31.96, None
None, -5.69, None, None, None, None, None, None, None, None, None, None, 2020-01-01 03:00:00, None, 31.95, None
None, -5.816, None, None, None, None, None, None, None, None, None, None, 2020-01-01 04:00:00, None, 30.01, None
None, -5.621, None, None, None, None, None, None, None, None, None, None, 2020-01-01 05:00:00, None, None, None
None, -5.825, None, None, None, None, None, None, None, None, None, None, 2020-01-01 06:00:00, None, 34.49, None
None, -5.661, None, None, None, None, None, None, None, None, None, None, 2020-01-01 07:00:00, None, 34.45, None
None, -5.46, None, None, None, None, None, None, None, None, None, None, 2020-01-01 08:00:00, None, None, None
None, -5.124, None, None, None, None, None, None, None, None, None, None, 2020-01-01 09:00:00, None, None, None
None, -4.713, None, None, None, None, None, None, None, None, None, None, 2020-01-01 10:00:00, None, 32.84, None
None, -3.44, None, None, None, None, None, None, None, None, None, None, 2020-01-01 11:00:00, None, 31.97, None
None, -1.205, None, None, None, None, None, None, None, None, None, None, 2020-01-01 12:00:00, None, 30.65, None
None, -2.658, None, None, None, None, None, None, None, None, None, None, 2020-01-01 13:00:00, None, 30.95, None
None, -2.575, None, None, None, None, None, None, None, None, None, None, 2020-01-01 14:00:00, None, 31.26, None
None, -3.509, None, None, None, None, None, None, None, None, None, None, 2020-01-01 15:00:00, None, 31.23, None
None, -3.834, None, None, None, None, None, None, None, None, None, None, 2020-01-01 16:00:00, None, 31.32, None
None, -3.781, None, None, None, None, None, None, None, None, None, None, 2020-01-01 17:00:00, None, 30.98, None
None, -4.218, None, None, None, None, None, None, None, None, None, None, 2020-01-01 18:00:00, None, 30.11, None
None, -4.266, None, None, None, None, None, None, None, None, None, None, 2020-01-01 19:00:00, None, 30.02, None
None, -4.208, None, None, None, None, None, None, None, None, None, None, 2020-01-01 20:00:00, None, 30.01, None
None, -4.904, None, None, None, None, None, None, None, None, None, None, 2020-01-01 21:00:00, None, 29.98, None
None, -4.799, None, None, None, None, None, None, None, None, None, None, 2020-01-01 22:00:00, None, 29.39, None
None, -3.601, None, None, None, None, None, None, None, None, None, None, 2020-01-01 23:00:00, None, 33.15, None
None, -3.98, None, None, None, None, None, None, None, None, None, None, 2020-01-02 00:00:00, None, 33.12, None
None, -4.255, None, None, None, None, None, None, None, None, None, None, 2020-01-02 01:00:00, None, None, None
None, -2.911, None, None, None, None, None, None, None, None, None, None, 2020-01-02 02:00:00, None, None, None
None, -5.758, None, None, None, None, None, None, None, None, None, None, 2020-01-02 07:00:00, None, 34.21, None
None, -6.356, None, None, None, None, None, None, None, None, None, None, 2020-01-02 08:00:00, None, 34.29, None
None, -5.942, None, None, None, None, None, None, None, None, None, None, 2020-01-02 09:00:00, None, 34.12, None
None, -5.663, None, None, None, None, None, None, None, None, None, None, 2020-01-02 10:00:00, None, 34.25, None
None, -2.054, None, None, None, None, None, None, None, None, None, None, 2020-01-02 11:00:00, None, 33.4, None
None, -1.745, None, None, None, None, None, None, None, None, None, None, 2020-01-02 12:00:00, None, 33.6, None
None, -2.838, None, None, None, None, None, None, None, None, None, None, 2020-01-02 13:00:00, None, 33.53, None
None, -4.497, None, None, None, None, None, None, None, None, None, None, 2020-01-02 14:00:00, None, 33.62, None
None, -5.295, None, None, None, None, None, None, None, None, None, None, 2020-01-02 15:00:00, None, 33.46, None
None, -6.132, None, None, None, None, None, None, None, None, None, None, 2020-01-02 16:00:00, None, None, None
None, -6.802, None, None, None, None, None, None, None, None, None, None, 2020-01-02 17:00:00, None, None, None
None, -6.784, None, None, None, None, None, None, None, None, None, None, 2020-01-02 18:00:00, None, 31.15, None
None, -7.46, None, None, None, None, None, None, None, None, None, None, 2020-01-02 19:00:00, None, 29.81, None
None, -5.894, None, None, None, None, None, None, None, None, None, None, 2020-01-02 20:00:00, None, 31.31, None
None, -7.95, None, None, None, None, None, None, None, None, None, None, 2020-01-02 21:00:00, None, 32.51, None
None, -7.65, None, None, None, None, None, None, None, None, None, None, 2020-01-02 22:00:00, None, 32.67, None
None, -8.03, None, None, None, None, None, None, None, None, None, None, 2020-01-02 23:00:00, None, 33.79, None
None, -7.78, None, None, None, None, None, None, None, None, None, None, 2020-01-03 00:00:00, None, 32.12, None
None, -7.64, None, None, None, None, None, None, None, None, None, None, 2020-01-03 01:00:00, None, None, None
None, -7.38, None, None, None, None, None, None, None, None, None, None, 2020-01-03 02:00:00, None, 34.9, None
None, -7.25, None, None, None, None, None, None, None, None, None, None, 2020-01-03 03:00:00, None, None, None
None, -7.02, None, None, None, None, None, None, None, None, None, None, 2020-01-03 04:00:00, None, 36.2, None
None, -6.774, None, None, None, None, None, None, None, None, None, None, 2020-01-03 05:00:00, None, None, None
None, -6.618, None, None, None, None, None, None, None, None, None, None, 2020-01-03 06:00:00, None, None, None
None, -6.647, None, None, None, None, None, None, None, None, None, None, 2020-01-03 07:00:00, None, None, None
None, -6.444, None, None, None, None, None, None, None, None, None, None, 2020-01-03 08:00:00, None, None, None
