station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, time, max_air_temp_snc_last_reset, MINIMUM_AIR_TEMPERATURE, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, snw_dpth, HEIGHT_OF_SNOW
None, None, -0.16, None, None, 2020-01-01 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 79.05
None, None, -0.32, None, None, 2020-01-01 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.92
None, None, -0.422, None, None, 2020-01-01 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.73
None, None, -0.426, None, None, 2020-01-01 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.56
None, None, -0.49, None, None, 2020-01-01 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.45
None, None, -0.28, None, None, 2020-01-01 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.29
None, None, -0.386, None, None, 2020-01-01 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.74
None, None, 0.037, None, None, 2020-01-01 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.93
None, None, 0.372, None, None, 2020-01-01 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.43
None, None, 0.511, None, None, 2020-01-01 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.25
None, None, 0.377, None, None, 2020-01-01 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.27
None, None, 0.212, None, None, 2020-01-01 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.2
None, None, 0.347, None, None, 2020-01-01 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.62
None, None, 0.65, None, None, 2020-01-01 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.27
None, None, 0.576, None, None, 2020-01-01 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.32
None, None, -0.491, None, None, 2020-01-01 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.3
None, None, -2.17, None, None, 2020-01-01 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.39
None, None, -3.193, None, None, 2020-01-01 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.15
None, None, -3.905, None, None, 2020-01-01 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.22
None, None, -3.961, None, None, 2020-01-01 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.93
None, None, -3.812, None, None, 2020-01-01 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.75
None, None, -4.181, None, None, 2020-01-01 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.8
None, None, -3.898, None, None, 2020-01-01 22:00:00, None, None, None, None, None, None, None, None, None, None, None, None
None, None, -4.098, None, None, 2020-01-01 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.5
None, None, -3.86, None, None, 2020-01-02 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 73.49
None, None, -4.205, None, None, 2020-01-02 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.72
None, None, -4.979, None, None, 2020-01-02 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.92
None, None, -7.855, None, None, 2020-01-02 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 79.06
None, None, -9.19, None, None, 2020-01-02 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.69
None, None, -9.68, None, None, 2020-01-02 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.63
None, None, -8.6, None, None, 2020-01-02 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.3
None, None, -7.524, None, None, 2020-01-02 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.24
None, None, -7.411, None, None, 2020-01-02 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 78.29
None, None, -6.6, None, None, 2020-01-02 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 79.06
None, None, -6.157, None, None, 2020-01-02 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.93
None, None, -5.913, None, None, 2020-01-02 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.36
None, None, -6.483, None, None, 2020-01-02 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.46
None, None, -6.823, None, None, 2020-01-02 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.85
None, None, -7.48, None, None, 2020-01-02 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.48
None, None, -8.09, None, None, 2020-01-02 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.63
None, None, -8.93, None, None, 2020-01-02 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.17
None, None, -10.15, None, None, 2020-01-02 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.94
None, None, -10.1, None, None, 2020-01-02 22:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.08
None, None, -10.19, None, None, 2020-01-02 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.08
None, None, -10.68, None, None, 2020-01-03 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.82
