station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, snwfl_amt_pst1hr, dwpt_temp, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, -5.688, 93.1, None, None, None, None, None, None, None, None, None, -7.0, 862.0, None, None, None, 2020-01-01 00:00:00, None, 56.27, None
None, -5.591, 93.1, None, None, None, None, None, None, None, None, None, -6.0, 861.0, None, None, None, 2020-01-01 01:00:00, None, 59.29, None
None, -5.494, 93.1, None, None, None, None, None, None, None, None, None, -6.0, 861.0, None, None, None, 2020-01-01 02:00:00, None, 59.85, None
None, -5.446, 93.1, None, None, None, None, None, None, None, None, None, -6.0, 861.0, None, None, None, 2020-01-01 03:00:00, None, 59.91, None
None, -5.349, 93.1, None, None, None, None, None, None, None, None, None, -6.0, 861.0, None, None, None, 2020-01-01 04:00:00, None, 60.89, None
None, -5.204, 93.3, None, None, None, None, None, None, None, None, None, -6.0, 861.0, None, None, None, 2020-01-01 05:00:00, None, 61.05, None
None, -5.107, 93.3, None, None, None, None, None, None, None, None, None, -6.0, 861.0, None, None, None, 2020-01-01 06:00:00, None, 61.21, None
None, -5.059, 93.4, None, None, None, None, None, None, None, None, None, -6.0, 861.0, None, None, None, 2020-01-01 07:00:00, None, 63.08, None
None, -5.008, 93.3, None, None, None, None, None, None, None, None, None, -6.0, 862.0, None, None, None, 2020-01-01 08:00:00, None, 61.48, None
None, -4.188, 92.6, None, None, None, None, None, None, None, None, None, -5.0, 862.0, None, None, None, 2020-01-01 09:00:00, None, 62.93, None
None, -2.466, 89.7, None, None, None, None, None, None, None, None, None, -4.0, 863.0, None, None, None, 2020-01-01 10:00:00, None, 63.02, None
None, -1.826, 85.3, None, None, None, None, None, None, None, None, None, -4.0, 864.0, None, None, None, 2020-01-01 11:00:00, None, 58.63, None
None, -2.011, 86.7, None, None, None, None, None, None, None, None, None, -4.0, 864.0, None, None, None, 2020-01-01 12:00:00, None, 62.49, None
None, -1.531, 85.9, None, None, None, None, None, None, None, None, None, -3.0, 864.0, None, None, None, 2020-01-01 13:00:00, None, 61.78, None
None, -1.723, 86.4, None, None, None, None, None, None, None, None, None, -3.0, 864.0, None, None, None, 2020-01-01 14:00:00, None, 61.5, None
