station_observations
max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, avg_wnd_spd_10m_pst10mts, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, time, snw_dpth, stn_pres
-12.0, -6999.0, 9.8, 4.3, -6999.0, -12.1, -14.0, 0.0, 48.0, -1.0, 2020-01-08 11:00:00, 215.0, -6999.0
-10.6, -6999.0, 8.0, 2.2, -6999.0, -10.6, -14.0, 0.0, 47.0, 0.0, 2020-01-08 12:00:00, 215.0, -6999.0
-10.6, -6999.0, 11.2, 3.8, -6999.0, -11.2, -14.0, 0.0, 46.0, 0.0, 2020-01-08 13:00:00, 215.0, -6999.0
-10.6, -6999.0, 11.6, 4.7, -6999.0, -11.6, -14.0, 0.0, 36.0, 0.0, 2020-01-08 14:00:00, 214.0, -6999.0
-10.6, -6999.0, 11.7, 5.8, -6999.0, -12.1, -14.0, 0.0, 30.0, 1.0, 2020-01-08 15:00:00, 215.0, -6999.0
-10.6, -6999.0, 12.8, 5.8, -6999.0, -12.8, -14.0, 0.0, 29.0, 0.0, 2020-01-08 16:00:00, 215.0, -6999.0
-10.6, -6999.0, 9.0, 4.1, -6999.0, -13.1, -14.0, 0.0, 10.0, 1.0, 2020-01-08 17:00:00, 216.0, -6999.0
-10.6, -6999.0, 9.8, 5.1, -6999.0, -13.2, -14.0, 0.0, 18.0, 0.0, 2020-01-08 18:00:00, 215.0, -6999.0
-13.2, -6999.0, 8.5, 4.5, -6999.0, -13.2, -13.5, 0.0, 14.0, -1.0, 2020-01-08 19:00:00, 214.0, -6999.0
-12.8, -6999.0, 8.6, 2.7, -6999.0, -12.9, -13.5, 0.0, 16.0, 0.0, 2020-01-08 20:00:00, 215.0, -6999.0
-12.8, -6999.0, 4.5, 0.4, -6999.0, -13.1, -13.5, 0.0, 346.0, 0.0, 2020-01-08 21:00:00, 215.0, -6999.0
-12.8, -6999.0, 4.8, 0.4, -6999.0, -13.0, -13.5, 0.0, 306.0, 0.0, 2020-01-08 22:00:00, 214.0, -6999.0
-12.8, -6999.0, 5.8, 1.6, -6999.0, -12.9, -13.5, 0.0, 18.0, 0.0, 2020-01-08 23:00:00, 215.0, -6999.0
-12.8, -6999.0, 8.7, 3.6, -6999.0, -13.2, -13.5, 0.0, 35.0, 0.0, 2020-01-09 00:00:00, 215.0, -6999.0
-12.8, -6999.0, 8.3, 4.7, -6999.0, -13.6, -13.6, 0.0, 37.0, 0.0, 2020-01-09 01:00:00, 215.0, -6999.0
-12.8, -6999.0, 12.6, 6.2, -6999.0, -13.7, -13.8, 0.0, 32.0, -2.0, 2020-01-09 02:00:00, 213.0, -6999.0
-12.8, -6999.0, 7.8, 2.6, -6999.0, -14.2, -14.2, 0.0, 46.0, 0.0, 2020-01-09 03:00:00, 213.0, -6999.0
-12.8, -6999.0, 7.8, 3.2, -6999.0, -14.2, -14.3, 0.0, 39.0, 0.0, 2020-01-09 04:00:00, 212.0, -6999.0
-12.8, -6999.0, 13.0, 3.3, -6999.0, -14.1, -14.3, 0.0, 28.0, 2.0, 2020-01-09 05:00:00, 214.0, -6999.0
-12.8, -6999.0, 12.8, 8.0, -6999.0, -13.9, -14.3, 0.0, 41.0, 2.0, 2020-01-09 06:00:00, 216.0, -6999.0
-13.8, -6999.0, 15.8, 10.0, -6999.0, -13.8, -14.0, 0.0, 42.0, 0.0, 2020-01-09 07:00:00, 216.0, -6999.0
-13.2, -6999.0, 16.6, 10.5, -6999.0, -13.2, -14.0, 0.0, 37.0, 0.0, 2020-01-09 08:00:00, 216.0, -6999.0
-12.6, -6999.0, 21.3, 11.7, -6999.0, -12.6, -14.0, 0.0, 40.0, 0.0, 2020-01-09 09:00:00, 216.0, -6999.0
-10.5, -6999.0, 21.1, 8.7, -6999.0, -10.5, -14.0, 0.0, 22.0, 0.0, 2020-01-09 11:00:00, 216.0, -6999.0
-10.3, -6999.0, 22.8, 9.4, -6999.0, -11.7, -14.0, 0.0, 40.0, -1.0, 2020-01-09 12:00:00, 215.0, -6999.0
-10.3, -6999.0, 22.3, 8.1, -6999.0, -10.8, -14.0, 0.0, 28.0, 1.0, 2020-01-09 13:00:00, 216.0, -6999.0
-10.3, -6999.0, 15.4, 7.3, -6999.0, -12.5, -14.0, 0.0, 44.0, -1.0, 2020-01-09 14:00:00, 215.0, -6999.0
-10.3, -6999.0, 13.6, 6.5, -6999.0, -12.2, -14.0, 0.0, 30.0, 1.0, 2020-01-09 15:00:00, 216.0, -6999.0
-10.3, -6999.0, 12.8, 7.0, -6999.0, -11.5, -14.0, 0.0, 21.0, 0.0, 2020-01-09 16:00:00, 217.0, -6999.0
-10.3, -6999.0, 14.2, 6.9, -6999.0, -11.7, -14.0, 0.0, 22.0, 0.0, 2020-01-09 17:00:00, 217.0, -6999.0
-10.3, -6999.0, 15.5, 7.0, -6999.0, -11.7, -14.0, 0.0, 18.0, -1.0, 2020-01-09 18:00:00, 216.0, -6999.0
-11.1, -6999.0, 18.4, 8.6, -6999.0, -11.1, -11.7, 0.0, 17.0, 0.0, 2020-01-09 19:00:00, 216.0, -6999.0
-11.0, -6999.0, 20.0, 8.0, -6999.0, -11.5, -12.3, 0.0, 30.0, 1.0, 2020-01-09 20:00:00, 217.0, -6999.0
