station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, snw_dpth, HEIGHT_OF_SNOW
None, -2.37, 97.0, None, None, None, None, None, -3.0, None, None, 2020-01-01 18:00:00, None, 84.1
None, -2.972, 93.2, None, None, None, None, None, -4.0, None, None, 2020-01-01 19:00:00, None, 86.0
None, -3.86, 92.3, None, None, None, None, None, -5.0, None, None, 2020-01-01 20:00:00, None, 85.8
None, -4.219, 92.0, None, None, None, None, None, -5.0, None, None, 2020-01-01 21:00:00, None, 85.6
None, -5.134, 93.6, None, None, None, None, None, -6.0, None, None, 2020-01-01 22:00:00, None, 85.3
None, -5.61, 91.8, None, None, None, None, None, -6.0, None, None, 2020-01-01 23:00:00, None, 85.5
None, -5.53, 88.4, None, None, None, None, None, -7.0, None, None, 2020-01-02 00:00:00, None, 85.9
None, -5.736, 88.5, None, None, None, None, None, -7.0, None, None, 2020-01-02 01:00:00, None, 85.5
None, -6.544, 88.4, None, None, None, None, None, -8.0, None, None, 2020-01-02 02:00:00, None, 84.6
None, -10.39, 92.1, None, None, None, None, None, -11.0, None, None, 2020-01-02 07:00:00, None, 83.4
None, -10.28, 89.6, None, None, None, None, None, -12.0, None, None, 2020-01-02 08:00:00, None, 83.0
None, -10.53, 89.2, None, None, None, None, None, -12.0, None, None, 2020-01-02 09:00:00, None, 82.8
None, -11.37, 88.9, None, None, None, None, None, -12.0, None, None, 2020-01-02 10:00:00, None, 82.5
None, -11.75, 90.2, None, None, None, None, None, -13.0, None, None, 2020-01-02 11:00:00, None, 82.3
None, -10.82, 90.1, None, None, None, None, None, -12.0, None, None, 2020-01-02 12:00:00, None, 82.1
None, -10.44, 89.8, None, None, None, None, None, -12.0, None, None, 2020-01-02 13:00:00, None, 81.9
None, -8.82, 89.4, None, None, None, None, None, -10.0, None, None, 2020-01-02 14:00:00, None, 81.6
None, -8.9, 90.4, None, None, None, None, None, -10.0, None, None, 2020-01-02 15:00:00, None, 81.6
None, -9.79, 91.6, None, None, None, None, None, -11.0, None, None, 2020-01-02 17:00:00, None, 81.3
None, -9.58, 92.0, None, None, None, None, None, -11.0, None, None, 2020-01-02 18:00:00, None, 81.3
None, -9.79, 91.8, None, None, None, None, None, -11.0, None, None, 2020-01-02 19:00:00, None, 81.1
None, -9.42, 91.6, None, None, None, None, None, -11.0, None, None, 2020-01-02 20:00:00, None, 81.1
None, -9.14, 91.8, None, None, None, None, None, -10.0, None, None, 2020-01-02 21:00:00, None, 81.2
None, -8.82, 91.5, None, None, None, None, None, -10.0, None, None, 2020-01-02 22:00:00, None, 81.6
None, -8.64, 91.5, None, None, None, None, None, -10.0, None, None, 2020-01-02 23:00:00, None, 81.4
None, -8.25, 90.9, None, None, None, None, None, -9.0, None, None, 2020-01-03 00:00:00, None, 81.8
None, -8.26, 91.3, None, None, None, None, None, -9.0, None, None, 2020-01-03 01:00:00, None, 82.5
None, -8.26, 92.2, None, None, None, None, None, -9.0, None, None, 2020-01-03 02:00:00, None, 84.4
None, -7.968, 92.7, None, None, None, None, None, -9.0, None, None, 2020-01-03 03:00:00, None, 87.2
None, -7.742, 93.3, None, None, None, None, None, -8.0, None, None, 2020-01-03 04:00:00, None, 92.9
None, -6.258, 95.0, None, None, None, None, None, -7.0, None, None, 2020-01-03 05:00:00, None, 96.0
None, -5.878, 94.8, None, None, None, None, None, -6.0, None, None, 2020-01-03 06:00:00, None, 96.8
None, -1.265, 97.2, None, None, None, None, None, -2.0, None, None, 2020-01-03 08:00:00, None, 99.0
None, -0.484, 97.8, None, None, None, None, None, -1.0, None, None, 2020-01-03 09:00:00, None, 99.7
None, 0.229, 96.4, None, None, None, None, None, -1.0, None, None, 2020-01-03 10:00:00, None, 100.6
None, 0.609, 94.5, None, None, None, None, None, 0.0, None, None, 2020-01-03 11:00:00, None, 101.4
None, 0.609, 94.9, None, None, None, None, None, 0.0, None, None, 2020-01-03 12:00:00, None, 101.1
None, 1.084, 93.1, None, None, None, None, None, 0.0, None, None, 2020-01-03 13:00:00, None, 100.5
None, 0.808, 94.6, None, None, None, None, None, 0.0, None, None, 2020-01-03 14:00:00, None, 100.0
None, 1.844, 87.4, None, None, None, None, None, 0.0, None, None, 2020-01-03 15:00:00, None, 99.1
None, 1.805, 86.0, None, None, None, None, None, 0.0, None, None, 2020-01-03 16:00:00, None, 99.1
None, 1.178, 90.9, None, None, None, None, None, 0.0, None, None, 2020-01-03 17:00:00, None, 98.5
None, 1.449, 88.9, None, None, None, None, None, 0.0, None, None, 2020-01-03 18:00:00, None, 98.0
None, 1.607, 90.1, None, None, None, None, None, 0.0, None, None, 2020-01-03 19:00:00, None, None
None, 1.906, 86.7, None, None, None, None, None, 0.0, None, None, 2020-01-03 20:00:00, None, 97.6
None, 1.686, 88.9, None, None, None, None, None, 0.0, None, None, 2020-01-03 21:00:00, None, 97.3
None, 2.066, 85.1, None, None, None, None, None, 0.0, None, None, 2020-01-03 22:00:00, None, 96.9
None, 2.716, 79.69, None, None, None, None, None, 0.0, None, None, 2020-01-03 23:00:00, None, 96.7
None, 1.951, 89.3, None, None, None, None, None, 1.0, None, None, 2020-01-04 00:00:00, None, 96.3
None, -0.231, 97.7, None, None, None, None, None, -1.0, None, None, 2020-01-04 01:00:00, None, 97.1
None, -1.467, 94.7, None, None, None, None, None, -2.0, None, None, 2020-01-04 02:00:00, None, 100.2
None, -1.578, 96.4, None, None, None, None, None, -2.0, None, None, 2020-01-04 03:00:00, None, 99.5
None, -1.752, 95.8, None, None, None, None, None, -2.0, None, None, 2020-01-04 04:00:00, None, 99.3
None, -1.831, 94.6, None, None, None, None, None, -3.0, None, None, 2020-01-04 05:00:00, None, 98.8
None, -2.861, 92.0, None, None, None, None, None, -4.0, None, None, 2020-01-04 07:00:00, None, 97.9
None, -3.543, 85.7, None, None, None, None, None, -5.0, None, None, 2020-01-04 08:00:00, None, 97.6
None, -4.05, 86.8, None, None, None, None, None, -6.0, None, None, 2020-01-04 09:00:00, None, 97.2
None, -4.27, 83.5, None, None, None, None, None, -6.0, None, None, 2020-01-04 10:00:00, None, 96.9
None, -4.446, 81.0, None, None, None, None, None, -7.0, None, None, 2020-01-04 11:00:00, None, 96.8
None, -4.763, 82.9, None, None, None, None, None, -7.0, None, None, 2020-01-04 12:00:00, None, 96.7
None, -4.319, 82.0, None, None, None, None, None, -7.0, None, None, 2020-01-04 13:00:00, None, 96.9
None, -4.351, 90.1, None, None, None, None, None, -6.0, None, None, 2020-01-04 14:00:00, None, 95.5
None, -4.905, 89.9, None, None, None, None, None, -6.0, None, None, 2020-01-04 15:00:00, None, 95.3
None, -5.752, 93.3, None, None, None, None, None, -7.0, None, None, 2020-01-04 16:00:00, None, 95.3
None, -6.006, 88.1, None, None, None, None, None, -7.0, None, None, 2020-01-04 17:00:00, None, 95.5
None, -5.514, 86.5, None, None, None, None, None, -7.0, None, None, 2020-01-04 18:00:00, None, 94.5
