station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, rel_hum, time, snw_dpth, stn_pres
None, 0.637, 74.72, None, None, 28.08, 5.172, 264.5, None, None, None, None, None, None, -3.0, 904.0, None, None, None, 2020-01-01 00:00:00, None, None
None, -0.246, 78.54, None, None, 44.13, 3.605, 211.9, None, None, None, None, None, None, -3.0, 905.0, None, None, None, 2020-01-01 01:00:00, None, None
None, -0.863, 80.2, None, None, 23.29, 3.401, 186.3, None, None, None, None, None, None, -3.0, 905.0, None, None, None, 2020-01-01 02:00:00, None, None
None, -0.431, 78.7, None, None, 31.59, 3.387, 183.8, None, None, None, None, None, None, -3.0, 905.0, None, None, None, 2020-01-01 03:00:00, None, None
None, -0.564, 78.03, None, None, 28.48, 2.225, 172.9, None, None, None, None, None, None, -4.0, 905.0, None, None, None, 2020-01-01 04:00:00, None, None
None, -2.836, 84.9, None, None, 43.48, 2.008, 223.4, None, None, None, None, None, None, -5.0, 905.0, None, None, None, 2020-01-01 05:00:00, None, None
None, -2.108, 87.0, None, None, 32.53, 2.055, 154.7, None, None, None, None, None, None, -4.0, 906.0, None, None, None, 2020-01-01 06:00:00, None, None
None, -1.434, 81.4, None, None, 44.12, 1.138, 175.5, None, None, None, None, None, None, -4.0, 906.0, None, None, None, 2020-01-01 07:00:00, None, None
None, -4.885, 91.9, None, None, 6.623, 5.525, 174.2, None, None, None, None, None, None, -6.0, 906.0, None, None, None, 2020-01-01 08:00:00, None, None
None, -4.513, 89.1, None, None, 6.216, 6.426, 165.2, None, None, None, None, None, None, -6.0, 906.0, None, None, None, 2020-01-01 09:00:00, None, None
None, -4.792, 90.2, None, None, 6.54, 5.808, 168.4, None, None, None, None, None, None, -6.0, 907.0, None, None, None, 2020-01-01 10:00:00, None, None
None, -3.89, 87.0, None, None, 8.16, 6.349, 175.8, None, None, None, None, None, None, -6.0, 907.0, None, None, None, 2020-01-01 11:00:00, None, None
None, -2.81, 84.8, None, None, 6.7, 9.83, 170.1, None, None, None, None, None, None, -5.0, 907.0, None, None, None, 2020-01-01 12:00:00, None, None
None, -1.348, 81.1, None, None, 9.2, 10.3, 168.8, None, None, None, None, None, None, -4.0, 906.0, None, None, None, 2020-01-01 13:00:00, None, None
None, -1.072, 78.75, None, None, 8.3, 9.99, 181.4, None, None, None, None, None, None, -4.0, 906.0, None, None, None, 2020-01-01 14:00:00, None, None
None, -1.342, 80.1, None, None, 38.4, 12.14, 177.3, None, None, None, None, None, None, -4.0, 905.0, None, None, None, 2020-01-01 15:00:00, None, None
None, -2.318, 85.2, None, None, 21.84, 13.5, 170.4, None, None, None, None, None, None, -4.0, 905.0, None, None, None, 2020-01-01 16:00:00, None, None
None, -2.099, 83.9, None, None, 32.76, 11.56, 168.8, None, None, None, None, None, None, -4.0, 905.0, None, None, None, 2020-01-01 17:00:00, None, None
None, -0.899, 87.5, None, None, 15.22, 13.89, 182.8, None, None, None, None, None, None, -3.0, 904.0, None, None, None, 2020-01-01 18:00:00, None, None
None, 2.427, 71.39, None, None, 19.5, 13.48, 190.2, None, None, None, None, None, None, -2.0, 904.0, None, None, None, 2020-01-01 19:00:00, None, None
None, 2.923, 66.92, None, None, 15.14, 17.0, 220.5, None, None, None, None, None, None, -3.0, 904.0, None, None, None, 2020-01-01 20:00:00, None, None
None, 2.194, 68.78, None, None, 12.07, 17.54, 223.9, None, None, None, None, None, None, -3.0, 905.0, None, None, None, 2020-01-01 21:00:00, None, None
None, 1.119, 62.55, None, None, 12.79, 24.65, 227.7, None, None, None, None, None, None, -5.0, 905.0, None, None, None, 2020-01-01 22:00:00, None, None
None, 0.269, 55.96, None, None, 14.07, 26.94, 234.0, None, None, None, None, None, None, -8.0, 906.0, None, None, None, 2020-01-01 23:00:00, None, None
None, -0.439, 56.12, None, None, 16.04, 28.05, 233.6, None, None, None, None, None, None, -7.0, 907.0, None, None, None, 2020-01-02 00:00:00, None, None
None, -0.88, 47.49, None, None, 15.33, 22.97, 239.5, None, None, None, None, None, None, -10.0, 908.0, None, None, None, 2020-01-02 01:00:00, None, None
None, -1.678, 46.89, None, None, 15.7, 20.42, 246.1, None, None, None, None, None, None, -11.0, 909.0, None, None, None, 2020-01-02 02:00:00, None, None
None, -3.893, 70.32, None, None, 20.85, 14.68, 263.8, None, None, None, None, None, None, -8.0, 914.0, None, None, None, 2020-01-02 07:00:00, None, None
None, -3.254, 60.16, None, None, 27.02, 11.35, 273.8, None, None, None, None, None, None, -9.0, 915.0, None, None, None, 2020-01-02 08:00:00, None, None
None, -2.723, 49.56, None, None, 22.98, 9.4, 266.8, None, None, None, None, None, None, -11.0, 917.0, None, None, None, 2020-01-02 09:00:00, None, None
None, -2.576, 43.93, None, None, 19.32, 11.36, 259.4, None, None, None, None, None, None, -12.0, 918.0, None, None, None, 2020-01-02 10:00:00, None, None
None, -2.824, 43.2, None, None, 19.01, 12.47, 260.2, None, None, None, None, None, None, -13.0, 918.0, None, None, None, 2020-01-02 11:00:00, None, None
None, -2.704, 40.78, None, None, 17.78, 14.59, 255.4, None, None, None, None, None, None, -13.0, 919.0, None, None, None, 2020-01-02 12:00:00, None, None
None, -2.666, 39.61, None, None, 20.52, 15.03, 258.8, None, None, None, None, None, None, -13.0, 920.0, None, None, None, 2020-01-02 13:00:00, None, None
None, -2.671, 39.01, None, None, 19.94, 11.77, 258.4, None, None, None, None, None, None, -13.0, 921.0, None, None, None, 2020-01-02 14:00:00, None, None
None, -2.233, 35.93, None, None, 18.19, 12.15, 258.9, None, None, None, None, None, None, -14.0, 922.0, None, None, None, 2020-01-02 15:00:00, None, None
None, -3.777, 42.49, None, None, 16.49, 10.76, 245.0, None, None, None, None, None, None, -14.0, 922.0, None, None, None, 2020-01-02 16:00:00, None, None
None, -4.812, 45.28, None, None, 9.97, 9.79, 223.4, None, None, None, None, None, None, -14.0, 923.0, None, None, None, 2020-01-02 17:00:00, None, None
None, -5.964, 50.84, None, None, 9.27, 9.11, 215.4, None, None, None, None, None, None, -13.0, 922.0, None, None, None, 2020-01-02 18:00:00, None, None
None, -6.641, 53.8, None, None, 12.35, 9.05, 215.7, None, None, None, None, None, None, -13.0, 922.0, None, None, None, 2020-01-02 19:00:00, None, None
None, -8.44, 64.21, None, None, 27.05, 8.26, 193.1, None, None, None, None, None, None, -13.0, 922.0, None, None, None, 2020-01-02 20:00:00, None, None
None, -8.37, 60.89, None, None, 14.84, 7.981, 187.5, None, None, None, None, None, None, -14.0, 922.0, None, None, None, 2020-01-02 21:00:00, None, None
None, -9.18, 61.07, None, None, 12.65, 5.978, 175.1, None, None, None, None, None, None, -15.0, 922.0, None, None, None, 2020-01-02 22:00:00, None, None
None, -10.36, 66.58, None, None, 14.16, 7.267, 165.4, None, None, None, None, None, None, -15.0, 921.0, None, None, None, 2020-01-02 23:00:00, None, None
None, -10.08, 67.81, None, None, 11.65, 6.337, 177.6, None, None, None, None, None, None, -14.0, 921.0, None, None, None, 2020-01-03 00:00:00, None, None
None, -10.54, 71.73, None, None, 12.69, 6.469, 170.2, None, None, None, None, None, None, -14.0, 921.0, None, None, None, 2020-01-03 01:00:00, None, None
None, -11.18, 73.47, None, None, 8.53, 5.929, 169.9, None, None, None, None, None, None, -14.0, 920.0, None, None, None, 2020-01-03 02:00:00, None, None
None, -10.76, 73.51, None, None, 7.728, 6.161, 171.2, None, None, None, None, None, None, -14.0, 920.0, None, None, None, 2020-01-03 03:00:00, None, None
None, -10.29, 71.96, None, None, 8.68, 4.837, 176.8, None, None, None, None, None, None, -14.0, 919.0, None, None, None, 2020-01-03 04:00:00, None, None
None, -10.54, 74.16, None, None, 17.25, 3.426, 185.0, None, None, None, None, None, None, -14.0, 919.0, None, None, None, 2020-01-03 05:00:00, None, None
None, -9.46, 71.52, None, None, 12.87, 4.703, 177.0, None, None, None, None, None, None, -13.0, 918.0, None, None, None, 2020-01-03 06:00:00, None, None
None, -11.51, 86.1, None, None, 29.86, 2.746, 28.76, None, None, None, None, None, None, -13.0, 917.0, None, None, None, 2020-01-03 08:00:00, None, None
None, -10.87, 87.6, None, None, 63.01, 2.102, 89.6, None, None, None, None, None, None, -12.0, 917.0, None, None, None, 2020-01-03 09:00:00, None, None
None, -11.44, 87.5, None, None, 36.72, 3.53, 46.2, None, None, None, None, None, None, -13.0, 917.0, None, None, None, 2020-01-03 10:00:00, None, None
None, -11.05, 87.9, None, None, 25.98, 6.404, 63.79, None, None, None, None, None, None, -13.0, 916.0, None, None, None, 2020-01-03 11:00:00, None, None
None, -10.77, 88.0, None, None, 24.75, 7.846, 64.93, None, None, None, None, None, None, -12.0, 915.0, None, None, None, 2020-01-03 12:00:00, None, None
None, -10.19, 87.4, None, None, 23.27, 8.69, 75.56, None, None, None, None, None, None, -12.0, 914.0, None, None, None, 2020-01-03 13:00:00, None, None
None, -10.02, 88.5, None, None, 25.7, 6.44, 79.83, None, None, None, None, None, None, -12.0, 913.0, None, None, None, 2020-01-03 14:00:00, None, None
None, -10.1, 89.1, None, None, 24.79, 5.728, 82.8, None, None, None, None, None, None, -11.0, 912.0, None, None, None, 2020-01-03 15:00:00, None, None
None, -9.73, 89.6, None, None, 26.91, 5.11, 84.3, None, None, None, None, None, None, -11.0, 911.0, None, None, None, 2020-01-03 16:00:00, None, None
None, -9.62, 89.8, None, None, 22.08, 4.145, 87.2, None, None, None, None, None, None, -11.0, 910.0, None, None, None, 2020-01-03 17:00:00, None, None
None, -9.35, 89.4, None, None, 24.35, 4.087, 94.1, None, None, None, None, None, None, -11.0, 909.0, None, None, None, 2020-01-03 18:00:00, None, None
None, -9.1, 91.0, None, None, 22.42, 6.097, 97.7, None, None, None, None, None, None, -10.0, 907.0, None, None, None, 2020-01-03 19:00:00, None, None
None, -8.78, 91.3, None, None, 24.12, 5.809, 112.6, None, None, None, None, None, None, -10.0, 906.0, None, None, None, 2020-01-03 20:00:00, None, None
None, -8.75, 93.0, None, None, 24.06, 4.078, 103.0, None, None, None, None, None, None, -9.0, 905.0, None, None, None, 2020-01-03 21:00:00, None, None
None, -8.58, 93.1, None, None, 24.67, 3.189, 97.0, None, None, None, None, None, None, -10.0, 904.0, None, None, None, 2020-01-03 22:00:00, None, None
None, -8.42, 93.0, None, None, 33.1, 1.588, 89.0, None, None, None, None, None, None, -9.0, 904.0, None, None, None, 2020-01-03 23:00:00, None, None
None, -8.33, 92.2, None, None, 74.72, 2.337, 26.27, None, None, None, None, None, None, -9.0, 904.0, None, None, None, 2020-01-04 00:00:00, None, None
None, -8.42, 91.5, None, None, 53.87, 2.806, 246.7, None, None, None, None, None, None, -10.0, 903.0, None, None, None, 2020-01-04 01:00:00, None, None
None, -9.02, 90.9, None, None, 41.0, 3.278, 212.7, None, None, None, None, None, None, -10.0, 904.0, None, None, None, 2020-01-04 02:00:00, None, None
