station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, -5.076, None, None, None, None, None, 47.53, None, 7.375, 245.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 18:00:00, None, None, 164.0
None, -6.224, None, None, None, None, None, 49.6, None, 6.354, 244.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 19:00:00, None, None, 168.4
None, -7.251, None, None, None, None, None, 50.1, None, 5.863, 247.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 20:00:00, None, None, 168.4
None, -7.544, None, None, None, None, None, 50.27, None, 3.331, 253.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 21:00:00, None, None, None
None, -8.28, None, None, None, None, None, 50.36, None, 3.686, 251.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 22:00:00, None, None, None
None, -8.53, None, None, None, None, None, 36.77, None, 4.792, 234.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-01 23:00:00, None, None, None
None, -8.86, None, None, None, None, None, 37.56, None, 7.191, 234.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 00:00:00, None, None, None
None, -9.16, None, None, None, None, None, 45.35, None, 5.94, 241.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 01:00:00, None, None, 165.4
None, -9.78, None, None, None, None, None, 42.63, None, 6.201, 233.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 02:00:00, None, None, 164.9
None, -11.57, None, None, None, None, None, 37.58, None, 5.3, 235.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 07:00:00, None, None, 162.1
None, -11.62, None, None, None, None, None, 39.58, None, 4.299, 237.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 08:00:00, None, None, 161.6
None, -12.16, None, None, None, None, None, 26.63, None, 8.05, 228.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 09:00:00, None, None, 161.1
None, -12.3, None, None, None, None, None, 22.11, None, 7.437, 224.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 10:00:00, None, None, 160.4
None, -12.4, None, None, None, None, None, 19.61, None, 6.846, 214.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 11:00:00, None, None, 160.2
None, -12.16, None, None, None, None, None, 21.16, None, 8.4, 208.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 12:00:00, None, None, 159.5
None, -12.16, None, None, None, None, None, 20.07, None, 5.923, 204.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 13:00:00, None, None, 159.3
None, -11.05, None, None, None, None, None, 21.04, None, 3.93, 201.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 14:00:00, None, None, 159.1
None, -11.28, None, None, None, None, None, 23.77, None, 0.842, 148.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 15:00:00, None, None, 160.8
None, -11.74, None, None, None, None, None, 24.07, None, 1.233, 153.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 16:00:00, None, None, 160.6
None, -11.77, None, None, None, None, None, 38.09, None, 1.165, 156.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 17:00:00, None, None, 160.3
None, -11.18, None, None, None, None, None, 53.89, None, 2.03, 166.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 18:00:00, None, None, 160.1
None, -10.94, None, None, None, None, None, 64.89, None, 1.62, 146.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 19:00:00, None, None, 159.7
None, -10.45, None, None, None, None, None, 79.3, None, 1.771, 323.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 20:00:00, None, None, 159.6
None, -10.11, None, None, None, None, None, 77.2, None, 2.266, 295.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 21:00:00, None, None, 160.4
None, -10.06, None, None, None, None, None, 70.05, None, 3.527, 352.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 22:00:00, None, None, 159.9
None, -10.16, None, None, None, None, None, 71.4, None, 3.416, 4.724, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 23:00:00, None, None, 160.1
None, -9.78, None, None, None, None, None, 58.62, None, 3.759, 18.46, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 00:00:00, None, None, 159.7
None, -8.89, None, None, None, None, None, 79.5, None, 4.181, 116.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 01:00:00, None, None, 159.7
None, -7.788, None, None, None, None, None, 79.54, None, 3.673, 332.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 02:00:00, None, None, 158.6
None, -7.137, None, None, None, None, None, 78.16, None, 5.05, 294.7, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 03:00:00, None, None, 164.5
None, -5.941, None, None, None, None, None, 72.95, None, 6.762, 30.76, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 04:00:00, None, None, 170.2
None, -4.371, None, None, None, None, None, 58.99, None, 8.84, 220.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 05:00:00, None, None, 171.0
None, -3.296, None, None, None, None, None, 51.31, None, 8.73, 213.1, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 06:00:00, None, None, 172.4
None, -2.249, None, None, None, None, None, 40.76, None, 11.62, 215.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 08:00:00, None, None, 173.6
None, -1.572, None, None, None, None, None, 38.8, None, 12.12, 215.6, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 09:00:00, None, None, 174.7
None, -1.42, None, None, None, None, None, 34.24, None, 14.04, 214.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 10:00:00, None, None, 174.2
None, -1.029, None, None, None, None, None, 36.21, None, 14.4, 213.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 11:00:00, None, None, 176.0
None, -0.59, None, None, None, None, None, 36.65, None, 14.46, 217.8, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 12:00:00, None, None, 175.5
None, -0.352, None, None, None, None, None, 50.28, None, 10.39, 215.3, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 13:00:00, None, None, 175.3
None, -0.356, None, None, None, None, None, 36.92, None, 15.04, 212.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 14:00:00, None, None, 174.5
None, -0.601, None, None, None, None, None, 75.02, None, 7.847, 204.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 15:00:00, None, None, 174.3
None, -0.935, None, None, None, None, None, 75.76, None, 8.39, 67.39, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 16:00:00, None, None, 173.0
None, -1.273, None, None, None, None, None, 77.28, None, 8.02, 72.09, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 17:00:00, None, None, 172.6
None, -1.225, None, None, None, None, None, 79.41, None, 8.37, 60.49, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 18:00:00, None, None, 172.1
None, -1.046, None, None, None, None, None, 76.79, None, 9.03, 7.95, None, None, None, None, None, None, None, None, None, None, None, None, None, 2020-01-03 19:00:00, None, None, 170.7
