station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, avg_wnd_spd_10m_pst10mts, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, 1.706, 97.2, None, None, None, None, None, None, None, 1.0, None, None, None, 2020-01-01 00:00:00, None, -0.608, None
None, 1.658, 97.0, None, None, None, None, None, None, None, 1.0, None, None, None, 2020-01-01 01:00:00, None, -0.602, None
None, 1.658, 97.2, None, None, None, None, None, None, None, 1.0, None, None, None, 2020-01-01 02:00:00, None, -0.615, None
None, 2.14, 97.3, None, None, None, None, None, None, None, 2.0, None, None, None, 2020-01-01 03:00:00, None, -0.519, None
None, 2.526, 97.1, None, None, None, None, None, None, None, 2.0, None, None, None, 2020-01-01 04:00:00, None, -0.505, None
None, 2.671, 97.2, None, None, None, None, None, None, None, 2.0, None, None, None, 2020-01-01 05:00:00, None, -0.319, None
None, 3.009, 97.3, None, None, None, None, None, None, None, 3.0, None, None, None, 2020-01-01 06:00:00, None, -0.409, None
None, 3.298, 97.2, None, None, None, None, None, None, None, 3.0, None, None, None, 2020-01-01 07:00:00, None, -0.588, None
None, 3.636, 97.3, None, None, None, None, None, None, None, 3.0, None, None, None, 2020-01-01 08:00:00, None, -0.574, None
None, 3.877, 97.6, None, None, None, None, None, None, None, 4.0, None, None, None, 2020-01-01 09:00:00, None, -0.584, None
None, 3.829, 97.2, None, None, None, None, None, None, None, 3.0, None, None, None, 2020-01-01 10:00:00, None, -0.619, None
None, 5.653, 97.5, None, None, None, None, None, None, None, 5.0, None, None, None, 2020-01-01 11:00:00, None, -0.471, None
None, 5.746, 76.1, None, None, None, None, None, None, None, 2.0, None, None, None, 2020-01-01 12:00:00, None, -0.46, None
None, 4.684, 84.4, None, None, None, None, None, None, None, 2.0, None, None, None, 2020-01-01 13:00:00, None, -0.565, None
None, 4.451, 76.5, None, None, None, None, None, None, None, 1.0, None, None, None, 2020-01-01 14:00:00, None, -0.356, None
None, 3.395, 91.7, None, None, None, None, None, None, None, 2.0, None, None, None, 2020-01-01 15:00:00, None, -0.525, None
None, 2.719, 93.7, None, None, None, None, None, None, None, 2.0, None, None, None, 2020-01-01 16:00:00, None, -0.605, None
None, 2.864, 91.4, None, None, None, None, None, None, None, 2.0, None, None, None, 2020-01-01 17:00:00, None, -0.639, None
None, 2.575, 89.6, None, None, None, None, None, None, None, 1.0, None, None, None, 2020-01-01 18:00:00, None, -0.723, None
None, 2.285, 90.8, None, None, None, None, None, None, None, 1.0, None, None, None, 2020-01-01 19:00:00, None, -0.689, None
None, 2.092, 90.3, None, None, None, None, None, None, None, 1.0, None, None, None, 2020-01-01 20:00:00, None, -0.549, None
None, 2.382, 88.5, None, None, None, None, None, None, None, 1.0, None, None, None, 2020-01-01 21:00:00, None, -0.628, None
None, 2.478, 88.2, None, None, None, None, None, None, None, 1.0, None, None, None, 2020-01-01 22:00:00, None, -0.596, None
None, 1.127, 91.7, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-01 23:00:00, None, -0.604, None
None, 1.079, 91.0, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-02 00:00:00, None, -0.579, None
None, 0.502, 93.5, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-02 01:00:00, None, -0.563, None
None, 0.367, 96.2, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-02 02:00:00, None, -0.651, None
None, 0.367, 97.5, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 07:00:00, None, -0.632, None
None, 0.319, 97.8, None, None, None, None, None, None, None, None, None, None, None, 2020-01-02 08:00:00, None, -0.611, None
None, 0.138, 97.6, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-02 09:00:00, None, -0.681, None
None, 0.415, 97.5, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-02 10:00:00, None, -0.613, None
None, 0.648, 97.5, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-02 11:00:00, None, -0.594, None
None, 0.982, 96.5, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-02 12:00:00, None, -0.552, None
None, 1.031, 95.5, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-02 13:00:00, None, -0.578, None
None, 1.127, 90.6, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-02 14:00:00, None, -0.573, None
None, 0.935, 89.8, None, None, None, None, None, None, None, -1.0, None, None, None, 2020-01-02 15:00:00, None, -0.564, None
None, 0.645, 91.0, None, None, None, None, None, None, None, -1.0, None, None, None, 2020-01-02 16:00:00, None, -0.593, None
None, 0.355, 94.2, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-02 17:00:00, None, -0.523, None
None, 0.121, 96.8, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-02 18:00:00, None, -0.584, None
None, 0.09, 97.9, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-02 19:00:00, None, 0.022, None
None, 0.078, 98.1, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-02 20:00:00, None, 1.877, None
None, 0.078, 98.3, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-02 21:00:00, None, 2.967, None
None, 0.078, 98.3, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-02 22:00:00, None, 3.148, None
None, 0.078, 98.2, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-02 23:00:00, None, 5.754, None
None, 0.078, 98.5, None, None, None, None, None, None, None, 0.0, None, None, None, 2020-01-03 00:00:00, None, 8.9, None
