pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,snw_dpth,dwpt_temp,stn_pres,week_of_year
None,-1.6,-1.6, 1015.9, 0.1, 0.0,3.0,80.0,2022-04-09 00:00:00, 160.0,-4.0, 919.0,15
None,-1.9,-2.0, 1015.9, -0.2, 0.0,3.0,79.0,2022-04-09 01:00:00, 160.0,-4.0, 919.0,15
None,-2.2,-2.2, 1015.9, 0.3, 0.0,3.0,79.0,2022-04-09 02:00:00, 160.0,-5.0, 919.0,15
None,-2.4,-2.7, 1016.9, 0.0, 0.0,3.0,84.0,2022-04-09 03:00:00, 160.0,-4.0, 920.0,15
None,-3.2,-3.3, 1017.0, 0.2, 0.0,3.0,93.0,2022-04-09 04:00:00, 160.0,-4.0, 920.0,15
None,-3.5,-3.6, 1018.2, 0.1, 0.0,3.0,93.0,2022-04-09 05:00:00, 160.0,-5.0, 921.0,15
None,-3.5,-3.7, 1018.2, 0.0, 0.0,3.0,92.0,2022-04-09 06:00:00, 160.0,-5.0, 921.0,15
None,-3.6,-3.8, 1019.4, 0.0, 0.0,-3.4,93.0,2022-04-09 07:00:00, 159.0,-5.0, 922.0,15
None,-3.6,-3.9, 1019.5, 0.3, 0.0,-3.4,93.0,2022-04-09 08:00:00, 160.0,-4.0, 922.0,15
None,-3.2,-3.9, 1019.6, 0.3, 2.0,-3.3,92.0,2022-04-09 09:00:00, 161.0,-5.0, 922.0,15
None,-2.7,-3.9, 1019.6, 0.0, 0.0,-2.6,85.0,2022-04-09 10:00:00, 161.0,-4.0, 922.0,15
None,-1.5,-3.9, 1020.7, 0.1, 0.0,-1.6,76.0,2022-04-09 11:00:00, 161.0,-5.0, 923.0,15
None,0.1,-3.9, 1020.5, 0.0, -1.0,0.0,64.0,2022-04-09 12:00:00, 160.0,-5.0, 923.0,15
None,-1.1,-3.9, 1020.7, -0.1, 0.0,1.3,77.0,2022-04-09 13:00:00, 160.0,-4.0, 923.0,15
None,0.8,-3.9, 1020.5, 0.3, 0.0,1.7,65.0,2022-04-09 14:00:00, 159.0,-5.0, 923.0,15
None,1.3,-3.9, 1020.5, -0.1, 0.0,1.9,57.0,2022-04-09 15:00:00, 160.0,-6.0, 923.0,15
None,1.5,-3.9, 1020.6, -0.1, 0.0,1.9,55.0,2022-04-09 16:00:00, 159.0,-6.0, 923.0,15
None,2.3,-3.9, 1020.5, -0.2, 0.0,2.7,50.0,2022-04-09 17:00:00, 159.0,-7.0, 923.0,15
None,2.3,-3.9, 1020.5, -0.1, 0.0,2.7,47.0,2022-04-09 18:00:00, 159.0,-8.0, 923.0,15
None,1.7,1.6, 1020.6, -0.1, 0.0,2.3,54.0,2022-04-09 19:00:00, 159.0,-7.0, 923.0,15
None,0.9,0.8, 1020.7, -0.1, 0.0,2.3,57.0,2022-04-09 20:00:00, 159.0,-6.0, 923.0,15
None,0.3,0.3, 1020.7, 0.0, 0.0,2.3,61.0,2022-04-09 21:00:00, 159.0,-6.0, 923.0,15
None,-1.4,-1.4, 1020.8, -0.1, 0.0,2.3,68.0,2022-04-09 22:00:00, 159.0,-6.0, 923.0,15
None,-1.6,-1.7, 1021.8, 0.0, 0.0,2.3,67.0,2022-04-09 23:00:00, 159.0,-6.0, 924.0,15
None,-2.1,-2.3, 1021.7, 0.0, 0.0,2.3,71.0,2022-04-10 00:00:00, 159.0,-6.0, 924.0,15
None,-2.1,-2.4, 1021.8, 0.1, 0.0,2.3,71.0,2022-04-10 01:00:00, 159.0,-6.0, 924.0,15
None,-4.8,-4.9, 1021.9, 0.1, 0.0,2.3,85.0,2022-04-10 02:00:00, 159.0,-7.0, 924.0,15
None,-5.0,-5.1, 1023.0, -0.1, 0.0,2.3,86.0,2022-04-10 03:00:00, 159.0,-6.0, 925.0,15
None,-5.9,-6.0, 1023.1, 0.0, 0.0,2.3,88.0,2022-04-10 04:00:00, 159.0,-8.0, 925.0,15
None,-7.1,-7.1, 1023.1, 0.1, 0.0,2.3,90.0,2022-04-10 05:00:00, 159.0,-8.0, 925.0,15
None,-8.0,-7.9, 1023.2, 0.0, 0.0,2.3,91.0,2022-04-10 06:00:00, 159.0,-9.0, 925.0,15
None,-7.0,-9.1, 1023.2, 0.0, 0.0,-6.9,85.0,2022-04-10 07:00:00, 159.0,-9.0, 925.0,15
None,-5.2,-9.1, 1023.1, 0.1, 0.0,-5.0,74.0,2022-04-10 08:00:00, 159.0,-8.0, 925.0,15
None,-3.3,-9.1, 1022.9, 0.0, 0.0,-3.2,64.0,2022-04-10 09:00:00, 159.0,-9.0, 925.0,15
None,0.5,-9.1, 1022.7, 0.0, 0.0,0.6,59.0,2022-04-10 10:00:00, 159.0,-6.0, 925.0,15
None,2.4,-9.1, 1022.6, 0.1, 0.0,2.9,53.0,2022-04-10 12:00:00, 159.0,-6.0, 925.0,15
