station_observations
SolarRadiation, AirTemperature, Precipitation, Rain, WindSpeed, SnowDepth, time, WindDirection, RelativeHumidity
None, 0.3, 0.0, 0.0, 7.9, None, 2012-01-01 00:00:00, 29.0, 82.0
None, 0.4, None, 0.0, 8.0, None, 2012-01-01 00:15:00, 46.0, 77.0
None, 0.4, None, 0.0, 6.6, None, 2012-01-01 00:30:00, 47.0, 75.0
None, 0.4, None, 0.0, 6.6, None, 2012-01-01 00:45:00, 28.0, 80.0
None, 0.5, 0.0, 0.0, 9.2, None, 2012-01-01 01:00:00, 35.0, 76.0
None, 0.5, None, 0.0, 7.1, None, 2012-01-01 01:15:00, 56.0, 73.0
None, 0.1, None, 0.0, 8.7, None, 2012-01-01 01:30:00, 52.0, 82.0
None, -0.2, None, 0.0, 7.5, None, 2012-01-01 01:45:00, 59.0, 88.0
None, -0.2, 1.0, 0.0, 8.7, None, 2012-01-01 02:00:00, 33.0, 89.0
None, -0.2, None, 0.0, 8.2, None, 2012-01-01 02:15:00, 40.0, 90.0
None, -0.1, None, 0.0, 7.8, None, 2012-01-01 02:30:00, 42.0, 90.0
None, -0.1, None, 0.0, 7.0, None, 2012-01-01 02:45:00, 59.0, 91.0
None, -0.2, 0.0, 0.0, 7.5, None, 2012-01-01 03:00:00, 123.0, 92.0
None, -0.2, None, 0.0, 10.4, None, 2012-01-01 03:15:00, 107.0, 94.0
None, -0.2, None, 0.0, 8.7, None, 2012-01-01 03:30:00, 94.0, 94.0
None, 0.0, None, 0.0, 13.1, None, 2012-01-01 03:45:00, 84.0, 94.0
None, 0.1, 1.0, 0.0, 12.1, None, 2012-01-01 04:00:00, 79.0, 94.0
None, 0.2, None, 0.0, 12.9, None, 2012-01-01 04:15:00, 81.0, 94.0
None, 0.1, None, 0.0, 10.5, None, 2012-01-01 04:30:00, 77.0, 94.0
None, 0.2, None, 0.0, 8.1, None, 2012-01-01 04:45:00, 82.0, 94.0
None, 0.1, 0.0, 0.0, 9.6, None, 2012-01-01 05:00:00, 77.0, 95.0
None, 0.2, None, 0.0, 11.5, None, 2012-01-01 05:15:00, 83.0, 94.0
None, 0.1, None, 0.0, 8.8, None, 2012-01-01 05:30:00, 60.0, 94.0
None, 0.2, None, 0.0, 10.7, None, 2012-01-01 05:45:00, 49.0, 94.0
None, 0.2, 0.0, 0.0, 7.2, None, 2012-01-01 06:00:00, 348.0, 95.0
None, 0.0, None, 0.0, 7.5, None, 2012-01-01 06:15:00, 17.0, 95.0
None, 0.0, None, 0.0, 10.6, None, 2012-01-01 06:30:00, 17.0, 94.0
None, 0.0, None, 0.0, 9.4, None, 2012-01-01 06:45:00, 14.0, 94.0
