time,tasmin,tasmax,pcp,week_of_year
2018-08-27,6.2,20.1,0.0,35
2018-08-28,7.8,18.6,1.3,35
2018-08-29,4.9,15.4,0.2,35
2018-08-30,5.6,12.9,0.0,35
2018-08-31,3.8,10.8,0.7,35
2018-09-01,1.0,13.1,0.0,35
2018-09-02,3.6,11.5,1.1,35
