AirTemp,ONE_DAY_PRECIPITATION,Snow_WE,time,MIN_TEMP,MAX_TEMP,week_of_year,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,snw_dpth,HEIGHT_OF_SNOW,stn_pres
,0.0, None,2021-01-15,-9.1,0.1,3,,,,,,,,,,,,,,,,,,,,,,
,2.5, None,2021-01-16,-9.0,-2.2,3,,,,,,,,,,,,,,,,,,,,,,
,5.9, None,2021-01-17,-6.4,-2.0,3,,,,,,,,,,,,,,,,,,,,,,
,0.0, None,2021-01-18,-10.9,-0.4,3,,,,,,,,,,,,,,,,,,,,,,
,0.0, None,2021-01-19,-10.9,-4.3,3,,,,,,,,,,,,,,,,,,,,,,
,0.0, None,2021-01-20,-14.3,-2.8,3,,,,,,,,,,,,,,,,,,,,,,
,0.0, None,2021-01-21,-14.0,-4.7,3,,,,,,,,,,,,,,,,,,,,,,
,,,2021-01-15 00:00:00,,,3,, -7.097, 91.6, -4.5, 0.0, 0.0, 0.0, 8.44, -8.0, 0.0, -7.1, -7.4, 1030.9, -0.2, -8.0, 886.0, 8.0, 0.0, 92.0, 70.0, 69.96, 886.0
,,,2021-01-15 01:00:00,,,3,, -6.281, 92.1, -4.5, 0.0, 0.0, 0.0, 8.44, -7.0, 0.0, -6.3, -7.5, 1028.9, 0.1, -7.0, 885.0, 8.0, 1.0, 92.0, 70.0, 70.24, 885.0
,,,2021-01-15 02:00:00,,,3,, -5.758, 91.9, -4.5, 0.0, 0.0, 0.0, 8.4, -7.0, 0.0, -5.8, -7.5, 1030.2, 0.1, -7.0, 886.0, 8.0, 0.0, 92.0, 70.0, 70.09, 886.0
,,,2021-01-15 03:00:00,,,3,, -5.756, 92.0, -4.5, 0.0, 0.0, 0.0, 8.38, -7.0, 0.0, -5.8, -7.5, 1029.2, 0.1, -7.0, 885.0, 8.0, 0.0, 92.0, 70.0, 70.14, 885.0
,,,2021-01-15 04:00:00,,,3,, -5.595, 91.9, -4.5, 0.0, 0.0, 0.0, 8.37, -7.0, 0.0, -5.6, -7.5, 1028.1, 0.1, -7.0, 884.0, 8.0, 0.0, 92.0, 70.0, 70.0, 884.0
,,,2021-01-15 05:00:00,,,3,, -5.205, 91.9, -4.5, 0.0, 0.0, 0.0, 8.36, -6.0, 0.0, -5.2, -7.5, 1026.9, 0.1, -6.0, 883.0, 8.0, 0.0, 92.0, 70.0, 69.88, 883.0
,,,2021-01-15 06:00:00,,,3,, -5.205, 92.0, -4.5, 0.0, 0.0, 0.0, 8.36, -6.0, 0.0, -5.2, -7.5, 1026.9, 0.0, -6.0, 883.0, 8.0, 0.0, 92.0, 70.0, 69.76, 883.0
,,,2021-01-15 07:00:00,,,3,, -5.303, 92.0, -5.1, 0.0, 0.0, 0.0, 8.36, -6.0, 0.0, -5.3, -5.3, 1027.0, -0.1, -6.0, 883.0, 8.0, 0.0, 92.0, 70.0, 69.52, 883.0
,,,2021-01-15 08:00:00,,,3,, -5.059, 92.0, -5.1, 0.0, 0.0, 0.0, 8.36, -6.0, 0.0, -5.1, -5.3, 1028.2, 0.1, -6.0, 884.0, 8.0, 0.0, 92.0, 69.0, 69.48, 884.0
,,,2021-01-15 09:00:00,,,3,, -5.254, 92.0, -5.1, 0.0, 0.0, 0.0, 8.36, -6.0, 0.0, -5.3, -5.3, 1028.3, 0.1, -6.0, 884.0, 8.0, 0.0, 92.0, 69.0, 69.16, 884.0
,,,2021-01-15 10:00:00,,,3,, -4.484, 91.9, -4.5, 0.0, 0.0, 0.0, 8.33, -5.0, 0.0, -4.5, -5.5, 1028.2, 0.2, -5.0, 884.0, 8.0, 0.0, 92.0, 69.0, 68.71, 884.0
,,,2021-01-15 11:00:00,,,3,, -3.653, 91.8, -3.6, 0.0, 0.0, 0.0, 8.21, -5.0, 0.0, -3.7, -5.5, 1028.2, 0.3, -5.0, 884.0, 8.0, -1.0, 92.0, 68.0, 68.2, 884.0
,,,2021-01-15 12:00:00,,,3,, -2.965, 91.7, -3.0, 0.0, 0.02, 0.0, 8.22, -4.0, 0.0, -3.0, -5.5, 1027.0, 0.2, -4.0, 883.0, 8.0, 1.0, 92.0, 69.0, 68.82, 883.0
,,,2021-01-15 13:00:00,,,3,, 2.856, 89.1, 2.8, 0.0, 0.101, 0.0, 8.16, 1.0, 0.0, 2.9, -5.5, 1025.8, 0.5, 1.0, 883.0, 8.0, -1.0, 89.0, 68.0, 68.12, 883.0
,,,2021-01-15 14:00:00,,,3,, 2.019, 90.0, 3.2, 0.1, 24.28, 0.072, 36.27, 1.0, 0.1, 2.0, -5.5, 1024.7, 0.4, 1.0, 882.0, 36.0, 1.0, 90.0, 69.0, 68.74, 882.0
,,,2021-01-15 15:00:00,,,3,, 0.187, 89.6, 3.2, 0.1, 4.583, 0.076, 37.48, -1.0, 0.1, 0.2, -5.5, 1026.2, -0.2, -1.0, 883.0, 37.0, 0.0, 90.0, 69.0, 68.51, 883.0
,,,2021-01-15 16:00:00,,,3,, -3.179, 91.3, 3.2, 0.1, 6.339, 0.075, 47.71, -4.0, 0.1, -3.2, -5.5, 1026.8, -0.8, -4.0, 883.0, 48.0, 1.0, 91.0, 69.0, 69.24, 883.0
