wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,snw_dpth
315.0, 84.0, 2.4, 0.0, -1.5, 3.8, 0.9, -0.9, 272.0, 0.0, 0.0, 89.0,2021-06-11 00:00:00,24,
41.0, 88.0, 3.9, 0.0, -1.8, 1.7, -0.1, -0.9, 324.0, 0.0, 0.0, 89.0,2021-06-11 01:00:00,24,
335.0, 89.0, 3.8, 0.0, -2.5, 1.9, -0.9, -1.1, 315.0, 0.0, 0.0, 89.0,2021-06-11 02:00:00,24,
38.0, 89.0, 1.7, 0.0, -2.5, 2.5, -0.9, -1.0, 41.0, 0.0, 0.0, 90.0,2021-06-11 03:00:00,24,
25.0, 89.0, 1.9, 0.0, -2.7, 3.1, -1.1, 0.1, 335.0, 0.0, 0.0, 90.0,2021-06-11 04:00:00,24,
79.0, 90.0, 2.5, 0.0, -2.4, 2.7, -1.0, 2.3, 38.0, 0.0, 0.0, 76.0,2021-06-11 05:00:00,24,
116.0, 90.0, 3.1, 0.0, -1.3, 4.5, 0.1, 3.8, 25.0, 0.0, 0.0, 69.0,2021-06-11 06:00:00,24,
138.0, 76.0, 2.7, 0.0, -1.5, 4.6, 2.3, 4.8, 79.0, 0.0, 0.0, 66.0,2021-06-11 07:00:00,24,
, 69.0, 4.5, None, -1.4, None, 3.8, None, 116.0, 0.0, 0.0, None,2021-06-11 08:00:00,24,
160.0, 66.0, 4.6, 0.0, -1.0, 9.1, 4.8, 8.3, 138.0, 0.0, 0.0, 52.0,2021-06-11 09:00:00,24,
171.0, None, None, 0.0, None, 12.6, None, 9.6, None, None, None, 46.0,2021-06-11 10:00:00,24,
134.0, None, None, 0.0, None, 9.5, None, 9.0, None, None, None, 53.0,2021-06-11 11:00:00,24,
152.0, 46.0, 12.6, 0.0, -1.4, 9.7, 9.6, 9.3, 171.0, 0.0, None, 49.0,2021-06-11 12:00:00,24,
137.0, 53.0, 9.5, 0.0, -0.1, 9.4, 9.0, 7.9, 134.0, 0.0, None, 60.0,2021-06-11 13:00:00,24,
143.0, 49.0, 9.7, 0.0, -0.9, 8.2, 9.3, 6.7, 152.0, 0.0, None, 67.0,2021-06-11 14:00:00,24,
142.0, 60.0, 9.4, 0.0, 0.6, 8.4, 7.9, 8.2, 137.0, 0.0, None, 62.0,2021-06-11 15:00:00,24,
136.0, 67.0, 8.2, 0.0, 1.0, 6.0, 6.7, 8.7, 143.0, 0.0, None, 65.0,2021-06-11 16:00:00,24,
154.0, None, None, 0.0, None, 5.4, None, 6.8, None, None, None, 79.0,2021-06-11 17:00:00,24,
