RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None, 0.08, 132.7, None, 14.3, None, 975.0, None, None, None, 56.0, None, None, None, None, 14.25, None, 23.8, None, None, 70.9, None, 14.3, 1018.8, 0.0, -1.0,2022-07-02 00:00:00, 975.0,27
None, None, None, None, 0.356, 90.1, None, 13.7, None, 975.0, None, None, None, 57.0, None, None, None, None, 13.75, None, 23.8, None, None, 52.03, None, 13.8, 1018.8, 0.0, 1.0,2022-07-02 01:00:00, 975.0,27
None, None, None, None, 0.049, 25.53, None, 12.7, None, 976.0, None, None, None, 56.0, None, None, None, None, 12.76, None, 23.8, None, None, 10.07, None, 12.8, 1019.8, -0.1, 0.0,2022-07-02 02:00:00, 976.0,27
None, None, None, None, 0.135, 61.85, None, 11.9, None, 975.0, None, None, None, 55.0, None, None, None, None, 12.02, None, 23.8, None, None, 21.77, None, 12.0, 1018.8, 0.0, -1.0,2022-07-02 03:00:00, 975.0,27
None, None, None, None, 0.229, 78.5, None, 11.7, None, 976.0, None, None, None, 55.0, None, None, None, None, 11.74, None, 23.8, None, None, 30.69, None, 11.7, 1019.8, -0.1, 0.0,2022-07-02 04:00:00, 976.0,27
None, None, None, None, 0.042, 85.3, None, 11.5, None, 976.0, None, None, None, 51.0, None, None, None, None, 11.7, None, 23.8, None, None, 39.7, None, 11.7, 1019.8, 0.0, -4.0,2022-07-02 05:00:00, 976.0,27
None, None, None, None, 0.0, 72.6, None, 11.5, None, 976.0, None, None, None, 50.0, None, None, None, None, 12.12, None, 23.8, None, None, 19.08, None, 12.1, 1019.8, 0.0, -1.0,2022-07-02 06:00:00, 976.0,27
None, None, None, None, 0.002, 25.21, None, 12.1, None, 976.0, None, None, None, 50.0, None, None, None, None, 12.57, None, 12.7, None, None, 8.8, None, 12.6, 1019.8, 0.2, 0.0,2022-07-02 07:00:00, 976.0,27
None, None, None, None, 0.219, 37.75, None, 12.1, None, 976.0, None, None, None, 55.0, None, None, None, None, 13.28, None, 13.3, None, None, 20.34, None, 13.3, 1019.8, 0.0, 5.0,2022-07-02 08:00:00, 976.0,27
None, None, None, None, 0.078, 75.0, None, 12.1, None, 975.0, None, None, None, 55.0, None, None, None, None, 14.07, None, 14.1, None, None, 17.94, None, 14.1, 1019.0, 0.1, 1.0,2022-07-02 09:00:00, 975.0,27
None, None, None, None, 0.214, 113.7, None, 12.1, None, 975.0, None, None, None, 56.0, None, None, None, None, 14.41, None, 14.5, None, None, 29.54, None, 14.4, 1019.0, 0.0, 1.0,2022-07-02 10:00:00, 975.0,27
None, None, None, None, 0.344, 163.6, None, 12.1, None, 975.0, None, None, None, 56.0, None, None, None, None, 16.38, None, 16.7, None, None, 34.73, None, 16.4, 1018.9, 0.2, 0.0,2022-07-02 11:00:00, 975.0,27
None, None, None, None, 0.349, 163.5, None, 12.1, None, 975.0, None, None, None, 58.0, None, None, None, None, 17.93, None, 18.1, None, None, 28.86, None, 17.9, 1018.9, 0.0, 2.0,2022-07-02 12:00:00, 975.0,27
None, None, None, None, 0.704, 193.7, None, 12.1, None, 975.0, None, None, None, 58.0, None, None, None, None, 19.94, None, 19.9, None, None, 20.96, None, 19.9, 1018.8, 0.1, 0.0,2022-07-02 13:00:00, 975.0,27
None, None, None, None, 1.079, 166.7, None, 12.1, None, 973.0, None, None, None, 58.0, None, None, None, None, 22.88, None, 23.6, None, None, 42.83, None, 22.9, 1016.7, 0.0, 0.0,2022-07-02 14:00:00, 973.0,27
None, None, None, None, 0.489, 132.5, None, 12.1, None, 972.0, None, None, None, 57.0, None, None, None, None, 24.84, None, 24.9, None, None, 63.94, None, 24.8, 1015.6, 0.0, -1.0,2022-07-02 15:00:00, 972.0,27
None, None, None, None, 0.714, 132.1, None, 12.1, None, 972.0, None, None, None, 58.0, None, None, None, None, 26.24, None, 26.7, None, None, 54.93, None, 26.2, 1015.5, -0.1, 1.0,2022-07-02 16:00:00, 972.0,27
None, None, None, None, 0.265, 175.0, None, 12.1, None, 971.0, None, None, None, 57.0, None, None, None, None, 25.91, None, 26.7, None, None, 68.65, None, 25.9, 1014.5, -0.2, -1.0,2022-07-02 17:00:00, 971.0,27
None, None, None, None, 0.431, 2.885, None, 12.1, None, 971.0, None, None, None, 56.0, None, None, None, None, 25.56, None, 26.7, None, None, 54.76, None, 25.6, 1014.5, -0.1, 0.0,2022-07-02 18:00:00, 971.0,27
None, None, None, None, 0.207, 353.6, None, 23.1, None, 971.0, None, None, None, 57.0, None, None, None, None, 23.13, None, 26.1, None, None, 43.26, None, 23.1, 1014.6, -0.2, 1.0,2022-07-02 19:00:00, 971.0,27
None, None, None, None, 0.416, 263.2, None, 20.9, None, 971.0, None, None, None, 58.0, None, None, None, None, 20.85, None, 26.1, None, None, 26.7, None, 20.9, 1014.6, -0.2, 0.0,2022-07-02 20:00:00, 971.0,27
None, None, None, None, 0.211, 326.8, None, 18.1, None, 971.0, None, None, None, 57.0, None, None, None, None, 18.13, None, 26.1, None, None, 27.16, None, 18.1, 1014.7, -0.4, -1.0,2022-07-02 21:00:00, 971.0,27
None, None, None, None, 0.191, 305.9, None, 16.7, None, 971.0, None, None, None, 55.0, None, None, None, None, 16.73, None, 26.1, None, None, 21.08, None, 16.7, 1014.8, -0.2, -2.0,2022-07-02 22:00:00, 971.0,27
None, None, None, None, 0.355, 281.4, None, 15.7, None, 971.0, None, None, None, 57.0, None, None, None, None, 15.9, None, 26.1, None, None, 13.5, None, 15.9, 1014.7, -0.1, 2.0,2022-07-02 23:00:00, 971.0,27
None, None, None, None, 1.136, 268.8, None, 15.1, None, 971.0, None, None, None, 55.0, None, None, None, None, 15.33, None, 26.1, None, None, 11.01, None, 15.3, 1014.7, 0.0, -1.0,2022-07-03 00:00:00, 971.0,27
None, None, None, None, 0.643, 278.6, None, 14.2, None, 971.0, None, None, None, 56.0, None, None, None, None, 14.41, None, 26.1, None, None, 14.83, None, 14.4, 1014.6, -0.2, 1.0,2022-07-03 01:00:00, 971.0,27
None, None, None, None, 0.477, 276.5, None, 13.9, None, 971.0, None, None, None, 57.0, None, None, None, None, 13.94, None, 26.1, None, None, 18.33, None, 13.9, 1014.5, 0.0, 0.0,2022-07-03 02:00:00, 971.0,27
None, None, None, None, 0.27, 4.559, None, 13.3, None, 972.0, None, None, None, 52.0, None, None, None, None, 13.29, None, 26.1, None, None, 14.93, None, 13.3, 1015.5, 0.0, -5.0,2022-07-03 03:00:00, 972.0,27
None, None, None, None, 0.118, 18.91, None, 12.9, None, 971.0, None, None, None, 57.0, None, None, None, None, 13.01, None, 26.1, None, None, 46.48, None, 13.0, 1014.4, -0.2, 5.0,2022-07-03 04:00:00, 971.0,27
None, None, None, None, 0.131, 357.6, None, 12.8, None, 972.0, None, None, None, 55.0, None, None, None, None, 12.98, None, 26.1, None, None, 41.06, None, 13.0, 1015.5, 0.0, -1.0,2022-07-03 05:00:00, 972.0,27
None, None, None, None, 0.072, 297.6, None, 12.5, None, 972.0, None, None, None, 57.0, None, None, None, None, 12.81, None, 26.1, None, None, 35.91, None, 12.8, 1015.5, 0.0, 2.0,2022-07-03 06:00:00, 972.0,27
None, None, None, None, 0.092, 260.0, None, 12.4, None, 972.0, None, None, None, 57.0, None, None, None, None, 12.8, None, 12.9, None, None, 2.93, None, 12.8, 1015.6, -0.1, 0.0,2022-07-03 07:00:00, 972.0,27
None, None, None, None, 0.178, 315.1, None, 12.4, None, 972.0, None, None, None, 56.0, None, None, None, None, 14.84, None, 14.8, None, None, 25.56, None, 14.8, 1015.6, 0.0, -1.0,2022-07-03 08:00:00, 972.0,27
None, None, None, None, 1.257, 40.48, None, 12.4, None, 972.0, None, None, None, 55.0, None, None, None, None, 17.91, None, 17.9, None, None, 21.58, None, 17.9, 1015.6, 0.2, -1.0,2022-07-03 09:00:00, 972.0,27
None, None, None, None, 1.621, 31.19, None, 12.4, None, 971.0, None, None, None, 56.0, None, None, None, None, 21.43, None, 21.4, None, None, 18.72, None, 21.4, 1014.5, 0.2, 2.0,2022-07-03 10:00:00, 971.0,27
