station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, 0.0, -20.0, 0.0, 2018-02-11 00:00:00, 132.0, -15.0
0.0, 0.0, -31.0, 0.0, 2018-02-12 00:00:00, 130.0, -4.0
7.0, 0.0, -15.0, 7.0, 2018-02-13 00:00:00, 127.0, -2.0
5.0, 0.0, -9.0, 5.0, 2018-02-14 00:00:00, 130.0, -7.0
0.0, 0.0, -24.0, 0.0, 2018-02-15 00:00:00, 131.0, -9.5
2.0, 0.0, -15.0, 2.0, 2018-02-16 00:00:00, 128.0, -9.0
3.0, 0.0, -15.0, 3.0, 2018-02-17 00:00:00, 129.0, -12.0
0.0, 0.0, -22.0, 0.0, 2018-02-18 00:00:00, 128.0, -18.0
2.0, 0.0, -21.0, 2.0, 2018-02-25 00:00:00, 121.0, -9.0
0.0, 0.0, -16.0, 0.0, 2018-02-26 00:00:00, 121.0, -8.5
1.0, 0.0, -12.0, 1.0, 2018-02-27 00:00:00, 121.0, -8.0
0.0, 0.0, -15.0, 0.0, 2018-02-28 00:00:00, 120.0, -6.0
2.0, 0.0, -14.0, 2.0, 2018-03-01 00:00:00, 119.0, -3.0
3.0, 0.0, -12.0, 3.0, 2018-03-02 00:00:00, 121.0, -6.5
14.0, 0.0, -15.0, 14.0, 2018-03-03 00:00:00, 122.0, -10.5
0.0, 0.0, -16.0, 0.0, 2018-03-04 00:00:00, 135.0, -8.5
0.0, 0.0, -15.0, 0.0, 2018-03-05 00:00:00, 133.0, -8.5
0.0, 0.0, -14.0, 0.0, 2018-03-06 00:00:00, 132.0, -4.5
0.0, 0.0, -16.0, 0.0, 2018-03-07 00:00:00, 130.0, -2.5
4.0, 0.0, -19.0, 4.0, 2018-03-08 00:00:00, 129.0, -3.0
0.0, 0.0, -5.0, 0.0, 2018-03-09 00:00:00, 130.0, -1.5
0.0, 0.0, -17.0, 0.0, 2018-03-10 00:00:00, 128.0, 1.5
0.0, 0.0, -17.0, 0.0, 2018-03-11 00:00:00, 128.0, 4.0
0.0, 0.0, -15.0, 0.0, 2018-03-12 00:00:00, 126.0, 5.5
0.0, 0.0, -15.0, 0.0, 2018-03-13 00:00:00, 125.0, 6.5
2.0, 0.0, -12.0, 2.0, 2018-03-14 00:00:00, 125.0, 5.5
27.0, 0.0, -2.0, 27.0, 2018-03-15 00:00:00, 125.0, -1.0
0.0, 0.0, -4.0, 0.0, 2018-03-16 00:00:00, 151.0, -1.0
0.0, 0.0, -8.0, 0.0, 2018-03-17 00:00:00, 146.0, 4.0
0.0, 0.0, -11.0, 0.0, 2018-03-18 00:00:00, 142.0, 0.5
2.0, 0.0, -13.0, 2.0, 2018-03-19 00:00:00, 139.0, -1.0
0.0, 0.0, -6.0, 0.0, 2018-03-20 00:00:00, 140.0, -2.0
0.0, 0.0, -7.0, 0.0, 2018-03-21 00:00:00, 139.0, 0.5
14.0, 0.0, -9.5, 14.0, 2018-03-22 00:00:00, 136.0, -1.0
2.0, 0.0, -6.0, 2.0, 2018-03-23 00:00:00, 148.0, -2.0
0.0, 0.0, -12.0, 0.0, 2018-03-24 00:00:00, 148.0, -1.0
0.2, 0.2, -2.5, 0.0, 2018-06-05 00:00:00, 0.0, 9.0
0.0, 0.0, 4.5, 0.0, 2018-06-06 00:00:00, 0.0, 14.0
2.0, 2.0, 1.0, 0.0, 2018-06-07 00:00:00, 0.0, 18.0
2.0, 2.0, 3.0, 0.0, 2018-06-08 00:00:00, 0.0, 16.0
15.0, 6.0, 0.0, 9.0, 2018-06-10 00:00:00, 0.0, 3.0
5.0, 5.0, -1.0, 0.0, 2018-06-11 00:00:00, 0.0, 3.0
3.0, 3.0, -0.5, 0.0, 2018-06-12 00:00:00, 0.0, 9.0
12.0, 12.0, 1.0, 0.0, 2018-06-13 00:00:00, 0.0, 7.0
0.0, 0.0, -0.5, 0.0, 2018-06-17 00:00:00, 0.0, 17.0
0.4, 0.4, 4.0, 0.0, 2018-06-20 00:00:00, 0.0, 25.0
5.4, 5.4, 7.0, 0.0, 2018-06-21 00:00:00, 0.0, 20.0
11.4, 11.4, 8.0, 0.0, 2018-06-22 00:00:00, 0.0, 10.5
0.6, 0.6, 7.0, 0.0, 2018-06-23 00:00:00, 0.0, 14.0
0.0, 0.0, 4.0, 0.0, 2018-06-24 00:00:00, 0.0, 19.0
10.8, 10.8, 4.5, 0.0, 2018-06-25 00:00:00, 0.0, 10.0
2.0, 2.0, 0.5, 0.0, 2018-06-26 00:00:00, 0.0, 13.0
0.5, 0.5, 4.0, 0.0, 2018-06-27 00:00:00, 0.0, 28.0
2.6, 2.6, 2.0, 0.0, 2018-06-28 00:00:00, 0.0, 25.0
5.6, 5.6, 2.0, 0.0, 2018-06-29 00:00:00, 0.0, 11.0
8.0, 8.0, 4.0, 0.0, 2018-06-30 00:00:00, 0.0, 10.0
6.0, 6.0, 2.0, 0.0, 2018-07-01 00:00:00, 0.0, 8.5
0.2, 0.2, 3.0, 0.0, 2018-07-04 00:00:00, 0.0, 13.0
0.0, 0.0, 2.0, 0.0, 2018-07-05 00:00:00, 0.0, 23.0
15.4, 15.4, 2.0, 0.0, 2018-07-06 00:00:00, 0.0, 21.0
7.4, 7.4, 5.5, 0.0, 2018-07-07 00:00:00, 0.0, 11.0
0.8, 0.8, 4.0, 0.0, 2018-07-08 00:00:00, 0.0, 16.0
0.8, 0.8, 4.0, 0.0, 2018-07-09 00:00:00, 0.0, 20.0
9.7, 9.7, 7.0, 0.0, 2018-07-10 00:00:00, 0.0, 15.0
0.0, 0.0, 7.0, 0.0, 2018-07-11 00:00:00, 0.0, 17.0
0.0, 0.0, 3.0, 0.0, 2018-07-12 00:00:00, 0.0, 19.0
6.0, 6.0, 3.0, 0.0, 2018-07-13 00:00:00, 0.0, 21.0
0.0, 0.0, 5.0, 0.0, 2018-07-29 00:00:00, 0.0, 24.0
0.0, 0.0, 8.0, 0.0, 2018-07-30 00:00:00, 0.0, 23.0
7.1, 7.1, 7.0, 0.0, 2018-07-31 00:00:00, 0.0, 21.5
0.6, 0.6, 7.0, 0.0, 2018-08-01 00:00:00, 0.0, 21.5
0.0, 0.0, 7.0, 0.0, 2018-08-02 00:00:00, 0.0, 20.0
8.8, 8.8, 7.0, 0.0, 2018-08-03 00:00:00, 0.0, 13.0
1.2, 1.2, 5.5, 0.0, 2018-08-04 00:00:00, 0.0, 13.0
0.0, 0.0, 6.0, 0.0, 2018-08-05 00:00:00, 0.0, 17.0
1.0, 1.0, 5.0, 0.0, 2018-08-06 00:00:00, 0.0, 19.0
0.6, 0.6, 6.0, 0.0, 2018-08-07 00:00:00, 0.0, 22.0
0.0, 0.0, 6.0, 0.0, 2018-08-08 00:00:00, 0.0, 24.0
0.0, 0.0, 9.5, 0.0, 2018-08-09 00:00:00, 0.0, 26.5
2.4, 2.4, 11.5, 0.0, 2018-08-11 00:00:00, 0.0, 25.0
7.8, 7.8, 5.5, 0.0, 2018-08-12 00:00:00, 0.0, 9.5
0.6, 0.6, 5.5, 0.0, 2018-08-13 00:00:00, 0.0, 16.5
0.6, 0.6, 3.5, 0.0, 2018-08-14 00:00:00, 0.0, 19.0
0.0, 0.0, 5.0, 0.0, 2018-08-15 00:00:00, 0.0, 21.0
0.0, 0.0, 6.5, 0.0, 2018-08-16 00:00:00, 0.0, 22.0
0.0, 0.0, 7.0, 0.0, 2018-08-17 00:00:00, 0.0, 22.0
0.0, 0.0, 6.5, 0.0, 2018-08-18 00:00:00, 0.0, 17.5
6.4, 6.4, 2.0, 0.0, 2018-08-19 00:00:00, 0.0, 17.0
0.0, 0.0, 6.5, 0.0, 2018-08-20 00:00:00, 0.0, 17.0
0.6, 0.6, 2.5, 0.0, 2018-08-21 00:00:00, 0.0, 20.0
0.0, 0.0, 6.0, 0.0, 2018-08-22 00:00:00, 0.0, 24.0
0.0, 0.0, 5.5, 0.0, 2018-08-23 00:00:00, 0.0, 20.5
0.0, 0.0, 6.0, 0.0, 2018-08-24 00:00:00, 0.0, 10.5
3.0, 3.0, 3.0, 0.0, 2018-08-25 00:00:00, 0.0, 9.0
11.4, 11.4, 4.0, 0.0, 2018-08-26 00:00:00, 0.0, 8.5
12.2, 12.2, 6.0, 0.0, 2018-08-29 00:00:00, 0.0, 11.0
4.0, 4.0, 3.0, 0.0, 2018-08-30 00:00:00, 0.0, 6.5
5.4, 5.4, 1.0, 0.0, 2018-08-31 00:00:00, 0.0, 8.0
0.4, 0.4, 1.5, 0.0, 2018-09-01 00:00:00, 0.0, 9.0
8.1, 8.1, 0.0, 0.0, 2018-09-02 00:00:00, 0.0, 8.0
6.3, 6.3, 0.5, 0.0, 2018-09-03 00:00:00, 0.0, 6.0
0.0, 0.0, -2.5, 0.0, 2018-09-04 00:00:00, 0.0, 11.5
0.0, 0.0, -3.0, 0.0, 2018-09-05 00:00:00, 0.0, 14.0
0.0, 0.0, -2.0, 0.0, 2018-09-06 00:00:00, 0.0, 18.0
3.1, 3.1, 3.5, 0.0, 2018-09-07 00:00:00, 0.0, 17.5
6.2, 6.2, 3.5, 0.0, 2018-09-08 00:00:00, 0.0, 12.0
11.6, 11.6, 1.0, 0.0, 2018-09-09 00:00:00, 0.0, 7.5
4.8, 4.8, 2.5, 0.0, 2018-09-10 00:00:00, 0.0, 6.0
1.4, 1.4, 2.5, 0.0, 2018-09-11 00:00:00, 0.0, 7.0
6.6, 6.6, 0.5, 0.0, 2018-09-12 00:00:00, 0.0, 5.0
11.2, 9.0, -0.5, 2.2, 2018-09-13 00:00:00, 0.0, 2.0
7.8, 7.8, -3.0, 0.0, 2018-09-14 00:00:00, 1.0, 1.5
7.1, 2.1, -3.0, 5.0, 2018-09-15 00:00:00, 1.0, 3.5
26.2, 24.2, -3.0, 2.0, 2018-09-16 00:00:00, 7.0, 4.0
0.8, 0.8, 0.0, 0.0, 2018-09-17 00:00:00, 5.0, 4.0
0.0, 0.0, -1.5, 0.0, 2018-09-18 00:00:00, 0.0, 4.0
0.0, 0.0, -5.0, 0.0, 2018-09-19 00:00:00, 0.0, 6.0
3.0, 0.0, -3.5, 3.0, 2018-09-20 00:00:00, 0.0, 5.0
16.6, 16.6, 0.0, 0.0, 2018-09-21 00:00:00, 5.0, 4.0
7.0, 7.0, 0.0, 0.0, 2018-09-22 00:00:00, 0.0, 5.0
5.2, 5.2, 0.0, 0.0, 2018-09-23 00:00:00, 0.0, 5.0
1.8, 1.8, -0.5, 0.0, 2018-09-24 00:00:00, 0.0, 4.5
0.4, 0.4, -1.5, 0.0, 2018-09-25 00:00:00, 0.0, 7.0
1.0, 1.0, -2.0, 0.0, 2018-09-26 00:00:00, 0.0, 5.0
3.6, 3.6, 0.0, 0.0, 2018-09-27 00:00:00, 0.0, 3.5
0.8, 0.8, -6.0, 0.0, 2018-09-28 00:00:00, 0.0, 2.0
0.0, 0.0, -6.0, 0.0, 2018-09-29 00:00:00, 0.0, 0.0
4.0, 0.0, -10.0, 4.0, 2018-09-30 00:00:00, 0.0, -0.5
4.0, 0.0, -3.0, 4.0, 2018-10-01 00:00:00, 5.0, 3.0
