AirTemperature,Rain,WindSpeed,SnowDepth,time,WindDirection,RelativeHumidity,week_of_year
-3.2,0.0,7.7, None,2016-12-16 00:00:00,337.0,87.0,51
-3.2,0.0,6.6, None,2016-12-16 00:15:00,330.0,88.0,51
-3.3,0.0,5.8, None,2016-12-16 00:30:00,351.0,88.0,51
-3.4,0.0,5.0, None,2016-12-16 00:45:00,12.0,89.0,51
-3.6,0.0,4.7, None,2016-12-16 01:00:00,24.0,90.0,51
-3.7,0.0,5.0, None,2016-12-16 01:15:00,19.0,91.0,51
-3.6,0.0,5.4, None,2016-12-16 01:30:00,26.0,91.0,51
-3.7,0.0,5.9, None,2016-12-16 01:45:00,36.0,92.0,51
-3.6,0.0,4.8, None,2016-12-16 02:00:00,7.0,90.0,51
-3.4,0.0,7.5, None,2016-12-16 02:15:00,340.0,88.0,51
-3.6,0.0,4.7, None,2016-12-16 02:30:00,53.0,92.0,51
-3.2,0.0,6.4, None,2016-12-16 02:45:00,336.0,87.0,51
-3.3,0.0,4.5, None,2016-12-16 03:00:00,0.0,89.0,51
-3.3,0.0,4.9, None,2016-12-16 03:15:00,1.0,87.0,51
-3.2,0.0,4.6, None,2016-12-16 03:30:00,8.0,87.0,51
-3.3,0.0,4.7, None,2016-12-16 03:45:00,8.0,87.0,51
-3.3,0.0,5.4, None,2016-12-16 04:00:00,1.0,86.0,51
-3.3,0.0,5.2, None,2016-12-16 04:15:00,5.0,86.0,51
-3.2,0.0,5.0, None,2016-12-16 04:30:00,330.0,84.0,51
-3.2,0.0,6.8, None,2016-12-16 04:45:00,348.0,84.0,51
-3.3,0.0,5.6, None,2016-12-16 05:00:00,351.0,84.0,51
-3.4,0.0,5.2, None,2016-12-16 05:15:00,11.0,84.0,51
-3.3,0.0,5.1, None,2016-12-16 05:30:00,340.0,86.0,51
-3.3,0.0,4.3, None,2016-12-16 05:45:00,18.0,88.0,51
-3.5,0.0,4.0, None,2016-12-16 06:00:00,39.0,89.0,51
-3.6,0.0,6.4, None,2016-12-16 06:15:00,35.0,90.0,51
-3.8,0.0,6.7, None,2016-12-16 06:30:00,31.0,85.0,51
-3.9,0.0,5.3, None,2016-12-16 06:45:00,20.0,86.0,51
-4.0,0.0,4.7, None,2016-12-16 07:00:00,357.0,83.0,51
