wind_direction,air_temperature,wind_gust_speed,tendency_amount,wind_speed,mean_sea_level,dew_point,snow_amount,air_temperature_yesterday_high,relative_humidity,time,air_temperature_yesterday_low,total_precipitation,week_of_year
None, 21.3, None, -0.03, 0.0, 101.2, 5.1, None, None, 35.0,2019-07-09 00:00:00, None, None,28
225.0, 21.0, None, -0.02, 17.0, 101.2, 6.9, None, None, 40.0,2019-07-09 01:00:00, None, None,28
22.5, 20.1, 28.0, 0.07, 17.0, 101.3, 5.9, None, None, 39.0,2019-07-09 02:00:00, None, None,28
22.5, 20.2, None, 0.03, 7.0, 101.3, 6.0, None, None, 40.0,2019-07-09 03:00:00, None, None,28
45.0, 17.8, None, 0.13, 14.0, 101.4, 6.7, None, None, 48.0,2019-07-09 04:00:00, None, None,28
337.5, 17.0, None, 0.14, 6.0, 101.4, 7.9, None, None, 55.0,2019-07-09 05:00:00, None, None,28
0.0, 14.5, None, 0.25, 12.0, 101.6, 9.2, None, None, 70.0,2019-07-09 06:00:00, None, None,28
225.0, 12.4, 35.0, 0.17, 1.0, 101.5, 10.4, None, 24.1, 88.0,2019-07-09 07:00:00, 9.0, 3.1,28
None, 11.1, None, 0.15, 0.0, 101.6, 9.9, None, None, 92.0,2019-07-09 08:00:00, None, None,28
None, 10.2, None, 0.06, 0.0, 101.6, 9.1, None, None, 93.0,2019-07-09 09:00:00, None, None,28
None, 9.2, None, 0.11, 0.0, 101.7, 7.8, None, None, 91.0,2019-07-09 10:00:00, None, None,28
None, 8.7, None, 0.1, 0.0, 101.7, 7.7, None, None, 94.0,2019-07-09 11:00:00, None, None,28
None, 8.5, None, 0.09, 0.0, 101.7, 7.6, None, None, 94.0,2019-07-09 12:00:00, None, None,28
90.0, 8.2, None, 0.05, 6.0, 101.7, 7.1, None, None, 93.0,2019-07-09 13:00:00, None, None,28
112.5, 8.2, None, 0.03, 7.0, 101.8, 6.8, None, None, 91.0,2019-07-09 14:00:00, None, None,28
90.0, 8.1, None, 0.03, 4.0, 101.8, 6.3, None, None, 89.0,2019-07-09 15:00:00, None, None,28
67.5, 9.5, None, 0.01, 8.0, 101.8, 7.6, None, None, 88.0,2019-07-09 16:00:00, None, None,28
45.0, 10.1, None, 0.01, 6.0, 101.8, 7.7, None, None, 85.0,2019-07-09 17:00:00, None, None,28
67.5, 11.8, None, -0.01, 6.0, 101.8, 7.1, None, None, 73.0,2019-07-09 18:00:00, None, None,28
67.5, 14.6, None, -0.04, 6.0, 101.7, 6.8, None, None, 60.0,2019-07-09 19:00:00, None, None,28
180.0, 17.0, None, -0.09, 4.0, 101.7, 7.1, None, None, 52.0,2019-07-09 20:00:00, None, None,28
90.0, 19.3, None, -0.13, 9.0, 101.6, 5.2, None, None, 39.0,2019-07-09 21:00:00, None, None,28
67.5, 21.0, None, -0.13, 6.0, 101.6, 4.1, None, None, 33.0,2019-07-09 22:00:00, None, None,28
292.5, 21.1, None, -0.15, 5.0, 101.5, 1.6, None, None, 27.0,2019-07-09 23:00:00, None, None,28
315.0, 22.0, None, -0.13, 4.0, 101.4, -2.2, None, None, 20.0,2019-07-10 00:00:00, None, None,28
45.0, 21.6, None, -0.15, 3.0, 101.4, 0.4, None, None, 24.0,2019-07-10 01:00:00, None, None,28
0.0, 22.1, None, -0.11, 1.0, 101.4, -0.8, None, None, 22.0,2019-07-10 02:00:00, None, None,28
247.5, 20.8, 30.0, -0.07, 11.0, 101.4, 2.6, None, None, 30.0,2019-07-10 03:00:00, None, None,28
247.5, 20.6, None, 0.01, 9.0, 101.4, 3.2, None, None, 32.0,2019-07-10 04:00:00, None, None,28
247.5, 19.2, None, 0.06, 1.0, 101.4, 5.7, None, None, 41.0,2019-07-10 05:00:00, None, None,28
247.5, 17.3, None, 0.07, 4.0, 101.5, 6.0, None, None, 47.0,2019-07-10 06:00:00, None, None,28
