AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
11.0, 1.1, 2.9, 111.1,2023-04-30 00:00:00, 50.0, 18.7,18
10.1, None, None, 111.1,2023-04-30 01:00:00, 50.0, None,18
10.6, None, None, 110.0,2023-04-30 02:00:00, 50.0, None,18
9.4, None, None, 110.0,2023-04-30 03:00:00, 50.0, None,18
9.7, None, None, 110.0,2023-04-30 04:00:00, 50.0, None,18
9.5, None, None, 110.0,2023-04-30 05:00:00, 50.0, None,18
8.8, None, None, 110.0,2023-04-30 06:00:00, 50.0, None,18
8.2, None, None, 110.0,2023-04-30 07:00:00, 50.0, None,18
10.6, None, None, 110.0,2023-04-30 08:00:00, 50.0, None,18
13.0, None, None, 110.0,2023-04-30 09:00:00, 50.0, None,18
13.6, None, None, 110.0,2023-04-30 10:00:00, 49.0, None,18
14.5, None, None, 110.0,2023-04-30 11:00:00, 48.0, None,18
15.3, None, None, 109.0,2023-04-30 12:00:00, 48.0, None,18
15.2, None, None, 106.9,2023-04-30 13:00:00, 47.0, None,18
18.4, None, None, 104.8,2023-04-30 14:00:00, 46.0, None,18
18.6, None, None, 99.6,2023-04-30 15:00:00, 46.0, None,18
18.7, None, None, 94.5,2023-04-30 16:00:00, 45.0, None,18
18.7, None, None, 90.3,2023-04-30 17:00:00, 44.0, None,18
18.3, None, None, 86.2,2023-04-30 18:00:00, 43.0, None,18
16.6, None, None, 84.1,2023-04-30 19:00:00, 42.0, None,18
15.3, None, None, 82.0,2023-04-30 20:00:00, 42.0, None,18
11.3, None, None, 81.0,2023-04-30 21:00:00, 42.0, None,18
9.3, None, None, 79.9,2023-04-30 22:00:00, 42.0, None,18
8.4, None, None, 79.9,2023-04-30 23:00:00, 42.0, None,18
7.9, 1.5, 4.3, 78.9,2023-05-01 00:00:00, 42.0, 10.1,18
5.8, None, None, 78.9,2023-05-01 01:00:00, 43.0, None,18
5.1, None, None, 77.9,2023-05-01 02:00:00, 42.0, None,18
4.3, None, None, 77.9,2023-05-01 03:00:00, 43.0, None,18
5.0, None, None, 77.9,2023-05-01 04:00:00, 43.0, None,18
4.3, None, None, 77.9,2023-05-01 05:00:00, 43.0, None,18
5.4, None, None, 77.9,2023-05-01 06:00:00, 42.0, None,18
6.3, None, None, 77.9,2023-05-01 07:00:00, 42.0, None,18
6.7, None, None, 77.9,2023-05-01 08:00:00, 43.0, None,18
7.5, None, None, 76.8,2023-05-01 09:00:00, 42.0, None,18
9.9, None, None, 76.8,2023-05-01 10:00:00, 42.0, None,18
9.7, None, None, 75.8,2023-05-01 11:00:00, 41.0, None,18
10.1, None, None, 73.7,2023-05-01 12:00:00, 40.0, None,18
9.1, None, None, 68.5,2023-05-01 13:00:00, 40.0, None,18
9.1, None, None, 63.3,2023-05-01 14:00:00, 38.0, None,18
8.3, None, None, 59.2,2023-05-01 15:00:00, 39.0, None,18
8.5, None, None, 56.1,2023-05-01 16:00:00, 38.0, None,18
8.6, None, None, 52.9,2023-05-01 17:00:00, 37.0, None,18
9.2, None, None, 49.8,2023-05-01 18:00:00, 36.0, None,18
8.9, None, None, 47.7,2023-05-01 19:00:00, 36.0, None,18
8.2, None, None, 45.7,2023-05-01 20:00:00, 36.0, None,18
7.4, None, None, 44.6,2023-05-01 21:00:00, 36.0, None,18
6.9, None, None, 43.6,2023-05-01 22:00:00, 36.0, None,18
6.6, None, None, 42.6,2023-05-01 23:00:00, 35.0, None,18
6.3, 0.0, 3.9, 41.5,2023-05-02 00:00:00, 35.0, 19.6,18
6.5, None, None, 41.5,2023-05-02 01:00:00, 35.0, None,18
6.4, None, None, 40.5,2023-05-02 02:00:00, 34.0, None,18
5.8, None, None, 40.5,2023-05-02 03:00:00, 34.0, None,18
5.8, None, None, 39.4,2023-05-02 04:00:00, 34.0, None,18
6.1, None, None, 39.4,2023-05-02 05:00:00, 34.0, None,18
5.9, None, None, 38.4,2023-05-02 06:00:00, 34.0, None,18
6.0, None, None, 38.4,2023-05-02 07:00:00, 34.0, None,18
6.7, None, None, 38.4,2023-05-02 08:00:00, 34.0, None,18
6.9, None, None, 37.4,2023-05-02 09:00:00, 33.0, None,18
8.2, None, None, 35.3,2023-05-02 10:00:00, 33.0, None,18
10.7, None, None, 34.3,2023-05-02 11:00:00, 33.0, None,18
13.5, None, None, 31.1,2023-05-02 12:00:00, 31.0, None,18
14.2, None, None, 26.0,2023-05-02 13:00:00, 30.0, None,18
15.7, None, None, 19.7,2023-05-02 14:00:00, 30.0, None,18
17.1, None, None, 15.6,2023-05-02 15:00:00, 29.0, None,18
18.1, None, None, 11.4,2023-05-02 16:00:00, 27.0, None,18
18.8, None, None, 9.3,2023-05-02 17:00:00, 26.0, None,18
18.4, None, None, 9.3,2023-05-02 18:00:00, 25.0, None,18
18.4, None, None, 8.3,2023-05-02 19:00:00, 24.0, None,18
17.2, None, None, 8.3,2023-05-02 20:00:00, 24.0, None,18
15.0, None, None, 7.3,2023-05-02 21:00:00, 24.0, None,18
13.5, None, None, 7.3,2023-05-02 22:00:00, 24.0, None,18
12.7, None, None, 7.3,2023-05-02 23:00:00, 24.0, None,18
11.5, 0.4, 5.8, 7.3,2023-05-03 00:00:00, 24.0, 17.6,18
11.2, None, None, 7.3,2023-05-03 01:00:00, 23.0, None,18
12.2, None, None, 7.3,2023-05-03 02:00:00, 23.0, None,18
12.0, None, None, 7.3,2023-05-03 03:00:00, 23.0, None,18
10.4, None, None, 7.3,2023-05-03 04:00:00, 23.0, None,18
9.8, None, None, 7.3,2023-05-03 05:00:00, 23.0, None,18
8.9, None, None, 7.3,2023-05-03 06:00:00, 23.0, None,18
7.9, None, None, 7.3,2023-05-03 07:00:00, 23.0, None,18
13.4, None, None, 7.3,2023-05-03 08:00:00, 22.0, None,18
10.7, None, None, 6.2,2023-05-03 09:00:00, 22.0, None,18
9.4, None, None, 7.3,2023-05-03 10:00:00, 21.0, None,18
10.2, None, None, 6.2,2023-05-03 11:00:00, 21.0, None,18
14.0, None, None, 5.2,2023-05-03 12:00:00, 21.0, None,18
17.5, None, None, 5.2,2023-05-03 13:00:00, 19.0, None,18
17.6, None, None, 4.2,2023-05-03 14:00:00, 19.0, None,18
14.8, None, None, 4.2,2023-05-03 15:00:00, 18.0, None,18
17.3, None, None, 4.2,2023-05-03 16:00:00, 17.0, None,18
15.9, None, None, 4.2,2023-05-03 17:00:00, 16.0, None,18
15.1, None, None, 4.2,2023-05-03 18:00:00, 16.0, None,18
14.6, None, None, 4.2,2023-05-03 19:00:00, 16.0, None,18
13.4, None, None, 4.2,2023-05-03 20:00:00, 15.0, None,18
12.7, None, None, 4.2,2023-05-03 21:00:00, 15.0, None,18
11.6, None, None, 4.2,2023-05-03 22:00:00, 15.0, None,18
12.0, None, None, 4.2,2023-05-03 23:00:00, 14.0, None,18
11.4, 0.2, 4.5, 4.2,2023-05-04 00:00:00, 14.0, 22.6,18
10.2, None, None, 4.2,2023-05-04 01:00:00, 14.0, None,18
10.7, None, None, 4.2,2023-05-04 02:00:00, 14.0, None,18
10.3, None, None, 4.2,2023-05-04 03:00:00, 14.0, None,18
10.1, None, None, 4.2,2023-05-04 04:00:00, 14.0, None,18
10.6, None, None, 4.2,2023-05-04 05:00:00, 14.0, None,18
10.2, None, None, 3.1,2023-05-04 06:00:00, 14.0, None,18
10.2, None, None, 4.2,2023-05-04 07:00:00, 14.0, None,18
11.6, None, None, 3.1,2023-05-04 08:00:00, 13.0, None,18
12.6, None, None, 3.1,2023-05-04 09:00:00, 12.0, None,18
14.0, None, None, 3.1,2023-05-04 10:00:00, 13.0, None,18
16.5, None, None, 3.1,2023-05-04 11:00:00, 12.0, None,18
18.2, None, None, 3.1,2023-05-04 12:00:00, 11.0, None,18
19.7, None, None, 2.1,2023-05-04 13:00:00, 9.0, None,18
20.1, None, None, 2.1,2023-05-04 14:00:00, 9.0, None,18
20.7, None, None, 2.1,2023-05-04 15:00:00, 9.0, None,18
21.5, None, None, 1.0,2023-05-04 16:00:00, 5.0, None,18
22.1, None, None, 1.0,2023-05-04 17:00:00, 4.0, None,18
21.6, None, None, 1.0,2023-05-04 18:00:00, 2.0, None,18
21.4, None, None, 1.0,2023-05-04 19:00:00, 2.0, None,18
18.9, None, None, 2.1,2023-05-04 20:00:00, None, None,18
17.7, None, None, 2.1,2023-05-04 21:00:00, None, None,18
16.8, None, None, 2.1,2023-05-04 22:00:00, None, None,18
15.7, None, None, 2.1,2023-05-04 23:00:00, None, None,18
14.4, 3.6, 6.2, 1.0,2023-05-05 00:00:00, None, 14.4,18
12.3, None, None, 1.0,2023-05-05 01:00:00, None, None,18
12.0, None, None, 1.0,2023-05-05 02:00:00, None, None,18
12.5, None, None, 1.0,2023-05-05 03:00:00, None, None,18
12.2, None, None, 1.0,2023-05-05 04:00:00, None, None,18
9.8, None, None, 1.0,2023-05-05 05:00:00, None, None,18
8.9, None, None, 1.0,2023-05-05 06:00:00, None, None,18
8.3, None, None, 1.0,2023-05-05 07:00:00, None, None,18
8.1, None, None, 1.0,2023-05-05 08:00:00, None, None,18
9.1, None, None, 2.1,2023-05-05 09:00:00, None, None,18
9.3, None, None, 2.1,2023-05-05 10:00:00, None, None,18
8.6, None, None, 2.1,2023-05-05 11:00:00, None, None,18
9.2, None, None, 2.1,2023-05-05 12:00:00, None, None,18
8.9, None, None, 2.1,2023-05-05 13:00:00, None, None,18
8.3, None, None, 3.1,2023-05-05 14:00:00, None, None,18
8.4, None, None, 3.1,2023-05-05 15:00:00, None, None,18
9.6, None, None, 3.1,2023-05-05 16:00:00, None, None,18
8.8, None, None, 3.1,2023-05-05 17:00:00, None, None,18
8.2, None, None, 3.1,2023-05-05 18:00:00, None, None,18
8.1, None, None, 3.1,2023-05-05 19:00:00, None, None,18
8.3, None, None, 3.1,2023-05-05 20:00:00, None, None,18
7.7, None, None, 3.1,2023-05-05 21:00:00, None, None,18
6.7, None, None, 3.1,2023-05-05 22:00:00, None, None,18
6.2, None, None, 3.1,2023-05-05 23:00:00, None, None,18
5.9, 5.0, 2.5, 4.2,2023-05-06 00:00:00, None, 5.7,18
5.1, None, None, 4.2,2023-05-06 01:00:00, None, None,18
4.9, None, None, 3.1,2023-05-06 02:00:00, None, None,18
4.1, None, None, 3.1,2023-05-06 03:00:00, None, None,18
3.4, None, None, 3.1,2023-05-06 04:00:00, None, None,18
3.3, None, None, 3.1,2023-05-06 05:00:00, None, None,18
3.1, None, None, 3.1,2023-05-06 06:00:00, None, None,18
2.8, None, None, 3.1,2023-05-06 07:00:00, None, None,18
2.5, None, None, 3.1,2023-05-06 08:00:00, None, None,18
2.5, None, None, 4.2,2023-05-06 09:00:00, None, None,18
2.6, None, None, 3.1,2023-05-06 10:00:00, None, None,18
2.9, None, None, 3.1,2023-05-06 11:00:00, None, None,18
4.0, None, None, 3.1,2023-05-06 12:00:00, None, None,18
4.8, None, None, 3.1,2023-05-06 13:00:00, None, None,18
4.5, None, None, 2.1,2023-05-06 14:00:00, None, None,18
4.7, None, None, 2.1,2023-05-06 15:00:00, None, None,18
4.9, None, None, 2.1,2023-05-06 16:00:00, None, None,18
5.4, None, None, 2.1,2023-05-06 17:00:00, None, None,18
6.3, None, None, 2.1,2023-05-06 18:00:00, None, None,18
5.7, None, None, 2.1,2023-05-06 19:00:00, None, None,18
4.7, None, None, 2.1,2023-05-06 20:00:00, None, None,18
4.0, None, None, 2.1,2023-05-06 21:00:00, None, None,18
3.2, None, None, 2.1,2023-05-06 22:00:00, None, None,18
2.5, None, None, 2.1,2023-05-06 23:00:00, None, None,18
