max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
5.3,-6999.0,10.1,3.2,-6999.0,-9.4,-9.6, 0.0,10.0,-1.0,2020-12-23 00:00:00,210.0,-6999.0,52
5.3,-6999.0,11.2,4.7,-6999.0,-9.1,-9.6, 0.0,26.0,0.0,2020-12-23 01:00:00,209.0,-6999.0,52
5.3,-6999.0,11.3,5.0,-6999.0,-9.0,-9.6, 0.0,26.0,0.0,2020-12-23 02:00:00,209.0,-6999.0,52
5.3,-6999.0,11.2,4.4,-6999.0,-8.7,-9.6, 0.0,16.0,0.0,2020-12-23 03:00:00,209.0,-6999.0,52
5.3,-6999.0,7.8,1.3,-6999.0,-8.6,-9.6, 0.0,344.0,0.0,2020-12-23 04:00:00,209.0,-6999.0,52
5.3,-6999.0,7.8,2.3,-6999.0,-8.8,-9.6, 0.0,359.0,1.0,2020-12-23 05:00:00,210.0,-6999.0,52
5.3,-6999.0,8.9,3.3,-6999.0,-8.9,-9.6, 0.0,11.0,2.0,2020-12-23 06:00:00,212.0,-6999.0,52
-8.8,-6999.0,8.5,2.9,-6999.0,-9.2,-9.2, 0.0,17.0,1.0,2020-12-23 07:00:00,213.0,-6999.0,52
-8.5,-6999.0,10.4,5.0,-6999.0,-8.6,-9.2, 0.0,19.0,1.0,2020-12-23 08:00:00,214.0,-6999.0,52
-8.2,-6999.0,12.1,6.1,-6999.0,-8.3,-9.2, 0.0,25.0,2.0,2020-12-23 09:00:00,216.0,-6999.0,52
-7.9,-6999.0,12.3,6.1,-6999.0,-7.9,-9.2, 0.0,10.0,2.0,2020-12-23 10:00:00,217.0,-6999.0,52
-7.4,-6999.0,11.3,5.9,-6999.0,-7.4,-9.2, 0.0,17.0,2.0,2020-12-23 11:00:00,219.0,-6999.0,52
-7.0,-6999.0,11.7,5.6,-6999.0,-7.1,-9.2, 0.0,20.0,2.0,2020-12-23 12:00:00,221.0,-6999.0,52
-6.6,-6999.0,11.4,6.0,-6999.0,-6.7,-9.2, 0.0,19.0,2.0,2020-12-23 13:00:00,222.0,-6999.0,52
-6.3,-6999.0,12.3,5.6,-6999.0,-6.3,-9.2, 0.0,18.0,1.0,2020-12-23 14:00:00,224.0,-6999.0,52
-6.2,-6999.0,12.6,5.6,-6999.0,-6.4,-9.2, 0.0,18.0,2.0,2020-12-23 15:00:00,226.0,-6999.0,52
-6.0,-6999.0,14.4,5.8,-6999.0,-6.1,-9.2, 0.0,15.0,1.0,2020-12-23 16:00:00,227.0,-6999.0,52
