CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
8.47,53.26, None, None, None,8.33,0.015,80.2, None, None, None, None, None, 0.0, None, None, None, None, None, None,2016-08-26 00:00:00, None, None, None, None,35
7.84,56.25, None, None, None,9.54,0.0,62.62, None, None, None, None, None, 0.0, None, None, None, None, None, None,2016-08-26 01:00:00, None, None, None, None,35
7.64,56.93, None, None, None,11.1,0.0,70.6, None, None, None, None, None, 0.0, None, None, None, None, None, None,2016-08-26 02:00:00, None, None, None, None,35
7.65,56.18, None, None, None,9.71,0.013,98.7, None, None, None, None, None, -1.0, None, None, None, None, None, None,2016-08-26 03:00:00, None, None, None, None,35
7.52,57.08, None, None, None,12.64,0.0,83.1, None, None, None, None, None, 0.0, None, None, None, None, None, None,2016-08-26 04:00:00, None, None, None, None,35
7.53,56.68, None, None, None,7.51,0.0,82.3, None, None, None, None, None, -1.0, None, None, None, None, None, None,2016-08-26 05:00:00, None, None, None, None,35
7.43,56.74, None, None, None,9.96,0.0,84.6, None, None, None, None, None, -1.0, None, None, None, None, None, None,2016-08-26 06:00:00, None, None, None, None,35
8.64,54.71, None, None, None,18.68,0.0,183.3, None, None, None, None, None, 0.0, None, None, None, None, None, None,2016-08-26 07:00:00, None, None, None, None,35
8.93,52.43, None, None, None,21.77,0.0,178.1, None, None, None, None, None, 0.0, None, None, None, None, None, None,2016-08-26 08:00:00, None, None, None, None,35
8.83,54.3, None, None, None,8.46,0.002,168.3, None, None, None, None, None, 0.0, None, None, None, None, None, None,2016-08-26 09:00:00, None, None, None, None,35
8.87,56.19, None, None, None,18.91,0.001,155.6, None, None, None, None, None, 1.0, None, None, None, None, None, None,2016-08-26 10:00:00, None, None, None, None,35
8.92,54.77, None, None, None,12.91,0.035,169.9, None, None, None, None, None, 0.0, None, None, None, None, None, None,2016-08-26 11:00:00, None, None, None, None,35
9.65,53.55, None, None, None,28.08,0.102,148.8, None, None, None, None, None, 1.0, None, None, None, None, None, None,2016-08-26 12:00:00, None, None, None, None,35
9.94,53.75, None, None, None,34.44,0.14,155.0, None, None, None, None, None, 1.0, None, None, None, None, None, None,2016-08-26 13:00:00, None, None, None, None,35
10.82,50.83, None, None, None,44.4,0.164,175.0, None, None, None, None, None, 1.0, None, None, None, None, None, None,2016-08-26 14:00:00, None, None, None, None,35
10.96,54.02, None, None, None,33.72,0.027,184.1, None, None, None, None, None, 2.0, None, None, None, None, None, None,2016-08-26 15:00:00, None, None, None, None,35
10.34,57.63, None, None, None,29.67,0.085,152.9, None, None, None, None, None, 2.0, None, None, None, None, None, None,2016-08-26 16:00:00, None, None, None, None,35
10.02,60.22, None, None, None,20.85,0.024,149.0, None, None, None, None, None, 3.0, None, None, None, None, None, None,2016-08-26 17:00:00, None, None, None, None,35
9.61,64.52, None, None, None,21.83,0.188,163.5, None, None, None, None, None, 3.0, None, None, None, None, None, None,2016-08-26 18:00:00, None, None, None, None,35
7.37,78.1, None, None, None,31.4,0.199,166.2, None, None, None, None, None, 4.0, None, None, None, None, None, None,2016-08-26 19:00:00, None, None, None, None,35
