station_observations
pcpn_amt_pst24hrs, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, MIN_TEMP, time, SNOW_ON_THE_GROUND
None, None, None, None, -2.9, 184.0, None, None, 770.0, 503.0, None, 2014-01-01 00:00:00, None
None, None, None, None, -3.5, 182.0, None, None, 770.0, 503.0, None, 2014-01-01 01:00:00, None
None, None, None, None, -3.7, 185.0, None, None, 771.0, 503.0, None, 2014-01-01 02:00:00, None
None, None, None, None, -4.3, 183.0, None, None, 771.0, 503.0, None, 2014-01-01 03:00:00, None
None, None, None, None, -4.7, 183.0, None, None, 771.0, 503.0, None, 2014-01-01 04:00:00, None
None, None, None, None, -4.6, 184.0, None, None, 771.0, 503.0, None, 2014-01-01 05:00:00, None
None, None, None, None, -5.0, 185.0, None, None, 771.0, 503.0, None, 2014-01-01 06:00:00, None
None, None, None, None, -4.9, 184.0, None, None, 771.0, 503.0, None, 2014-01-01 07:00:00, None
None, None, None, None, -4.7, 183.0, None, None, 771.0, 503.0, None, 2014-01-01 08:00:00, None
None, None, None, None, -4.5, 183.0, None, None, 771.0, 503.0, None, 2014-01-01 09:00:00, None
None, None, None, None, -4.3, 183.0, None, None, 771.0, 503.0, None, 2014-01-01 10:00:00, None
None, None, None, None, -4.5, 184.0, None, None, 771.0, 503.0, None, 2014-01-01 11:00:00, None
None, None, None, None, -4.5, 177.0, None, None, 771.0, 503.0, None, 2014-01-01 12:00:00, None
None, None, None, None, -4.5, 182.0, None, None, 771.0, 503.0, None, 2014-01-01 13:00:00, None
None, None, None, None, -4.8, 181.0, None, None, 771.0, 503.0, None, 2014-01-01 14:00:00, None
None, None, None, None, -4.9, 181.0, None, None, 771.0, 503.0, None, 2014-01-01 15:00:00, None
None, None, None, None, -5.4, 181.0, None, None, 772.0, 503.0, None, 2014-01-01 16:00:00, None
None, None, None, None, -5.1, 180.0, None, None, 771.0, 503.0, None, 2014-01-01 17:00:00, None
None, None, None, None, -4.6, 180.0, None, None, 771.0, 503.0, None, 2014-01-01 18:00:00, None
None, None, None, None, -3.8, 180.0, None, None, 771.0, 503.0, None, 2014-01-01 19:00:00, None
None, None, None, None, -2.5, 179.0, None, None, 771.0, 503.0, None, 2014-01-01 20:00:00, None
None, None, None, None, -1.2, 177.0, None, None, 770.0, 504.0, None, 2014-01-01 21:00:00, None
None, None, None, None, -2.1, 179.0, None, None, 771.0, 504.0, None, 2014-01-01 22:00:00, None
None, None, None, None, -2.4, 180.0, None, None, 771.0, 504.0, None, 2014-01-01 23:00:00, None
None, None, None, None, -2.6, 180.0, None, None, 771.0, 505.0, None, 2014-01-02 00:00:00, None
None, None, None, None, -3.4, 180.0, None, None, 771.0, 505.0, None, 2014-01-02 01:00:00, None
None, None, None, None, -3.6, 180.0, None, None, 771.0, 505.0, None, 2014-01-02 02:00:00, None
None, None, None, None, -3.7, 180.0, None, None, 771.0, 505.0, None, 2014-01-02 03:00:00, None
None, None, None, None, -3.5, 182.0, None, None, 771.0, 506.0, None, 2014-01-02 04:00:00, None
None, None, None, None, -3.5, 182.0, None, None, 772.0, 506.0, None, 2014-01-02 05:00:00, None
None, None, None, None, -3.6, 181.0, None, None, 772.0, 507.0, None, 2014-01-02 06:00:00, None
None, None, None, None, -3.7, 183.0, None, None, 773.0, 508.0, None, 2014-01-02 07:00:00, None
None, None, None, None, -3.5, 183.0, None, None, 773.0, 508.0, None, 2014-01-02 08:00:00, None
None, None, None, None, -3.3, 183.0, None, None, 774.0, 509.0, None, 2014-01-02 09:00:00, None
None, None, None, None, -3.2, 184.0, None, None, 774.0, 510.0, None, 2014-01-02 10:00:00, None
None, None, None, None, -3.3, 186.0, None, None, 775.0, 512.0, None, 2014-01-02 11:00:00, None
None, None, None, None, -3.4, 187.0, None, None, 775.0, 513.0, None, 2014-01-02 12:00:00, None
None, None, None, None, -3.0, 189.0, None, None, 776.0, 514.0, None, 2014-01-02 13:00:00, None
None, None, None, None, -2.7, 190.0, None, None, 776.0, 516.0, None, 2014-01-02 14:00:00, None
None, None, None, None, -2.8, 191.0, None, None, 777.0, 517.0, None, 2014-01-02 15:00:00, None
None, None, None, None, -2.6, 192.0, None, None, 777.0, 519.0, None, 2014-01-02 16:00:00, None
None, None, None, None, -2.3, 193.0, None, None, 777.0, 521.0, None, 2014-01-02 17:00:00, None
None, None, None, None, -2.1, 195.0, None, None, 778.0, 524.0, None, 2014-01-02 18:00:00, None
None, None, None, None, -2.1, 196.0, None, None, 778.0, 527.0, None, 2014-01-02 19:00:00, None
None, None, None, None, -2.1, 198.0, None, None, 779.0, 529.0, None, 2014-01-02 20:00:00, None
None, None, None, None, -2.0, 201.0, None, None, 780.0, 533.0, None, 2014-01-02 21:00:00, None
None, None, None, None, -2.1, 202.0, None, None, 781.0, 537.0, None, 2014-01-02 22:00:00, None
None, None, None, None, -2.0, 206.0, None, None, 782.0, 542.0, None, 2014-01-02 23:00:00, None
None, None, None, None, -2.1, 211.0, None, None, 784.0, 548.0, None, 2014-01-03 00:00:00, None
None, None, None, None, -2.1, 214.0, None, None, 785.0, 554.0, None, 2014-01-03 01:00:00, None
None, None, None, None, -2.1, 216.0, None, None, 786.0, 559.0, None, 2014-01-03 02:00:00, None
None, None, None, None, -2.1, 218.0, None, None, 787.0, 563.0, None, 2014-01-03 03:00:00, None
None, None, None, None, -2.0, 219.0, None, None, 788.0, 567.0, None, 2014-01-03 04:00:00, None
None, None, None, None, -2.1, 222.0, None, None, 790.0, 572.0, None, 2014-01-03 05:00:00, None
None, None, None, None, -2.2, 223.0, None, None, 791.0, 576.0, None, 2014-01-03 06:00:00, None
None, None, None, None, -2.4, 223.0, None, None, 791.0, 577.0, None, 2014-01-03 07:00:00, None
None, None, None, None, -3.6, 225.0, None, None, 792.0, 579.0, None, 2014-01-03 08:00:00, None
None, None, None, None, -4.0, 224.0, None, None, 792.0, 579.0, None, 2014-01-03 09:00:00, None
None, None, None, None, -4.4, 223.0, None, None, 792.0, 579.0, None, 2014-01-03 10:00:00, None
None, None, None, None, -5.0, 222.0, None, None, 792.0, 580.0, None, 2014-01-03 11:00:00, None
None, None, None, None, -5.1, 222.0, None, None, 792.0, 580.0, None, 2014-01-03 12:00:00, None
None, None, None, None, -5.3, 222.0, None, None, 792.0, 580.0, None, 2014-01-03 13:00:00, None
None, None, None, None, -5.7, 219.0, None, None, 792.0, 580.0, None, 2014-01-03 14:00:00, None
None, None, None, None, -6.0, 221.0, None, None, 793.0, 580.0, None, 2014-01-03 15:00:00, None
None, None, None, None, -6.6, 223.0, None, None, 793.0, 580.0, None, 2014-01-03 16:00:00, None
None, None, None, None, -6.2, 222.0, None, None, 793.0, 580.0, None, 2014-01-03 17:00:00, None
None, None, None, None, -5.8, 221.0, None, None, 793.0, 580.0, None, 2014-01-03 18:00:00, None
None, None, None, None, -5.5, 220.0, None, None, 793.0, 580.0, None, 2014-01-03 19:00:00, None
None, None, None, None, -5.3, 220.0, None, None, 793.0, 580.0, None, 2014-01-03 20:00:00, None
None, None, None, None, -4.9, 219.0, None, None, 792.0, 580.0, None, 2014-01-03 21:00:00, None
None, None, None, None, -6.1, 220.0, None, None, 792.0, 580.0, None, 2014-01-03 22:00:00, None
None, None, None, None, -6.7, 219.0, None, None, 793.0, 580.0, None, 2014-01-03 23:00:00, None
None, None, None, None, -6.1, None, None, None, 793.0, 580.0, None, 2014-01-04 00:00:00, None
None, None, None, None, -7.1, 218.0, None, None, 793.0, 580.0, None, 2014-01-04 01:00:00, None
None, None, None, None, -7.7, 218.0, None, None, 793.0, 580.0, None, 2014-01-04 02:00:00, None
None, None, None, None, -8.4, 219.0, None, None, 793.0, 580.0, None, 2014-01-04 03:00:00, None
None, None, None, None, -7.7, 218.0, None, None, 793.0, 580.0, None, 2014-01-04 04:00:00, None
None, None, None, None, -8.5, 218.0, None, None, 793.0, 580.0, None, 2014-01-04 05:00:00, None
None, None, None, None, -9.2, 217.0, None, None, 793.0, 580.0, None, 2014-01-04 06:00:00, None
None, None, None, None, -10.0, 217.0, None, None, 793.0, 580.0, None, 2014-01-04 07:00:00, None
None, None, None, None, -9.8, 217.0, None, None, 793.0, 580.0, None, 2014-01-04 08:00:00, None
None, None, None, None, -10.1, 217.0, None, None, 793.0, 580.0, None, 2014-01-04 09:00:00, None
None, None, None, None, -11.3, 217.0, None, None, 793.0, 580.0, None, 2014-01-04 10:00:00, None
None, None, None, None, -10.6, 216.0, None, None, 793.0, 580.0, None, 2014-01-04 11:00:00, None
None, None, None, None, -11.7, 215.0, None, None, 793.0, 580.0, None, 2014-01-04 12:00:00, None
None, None, None, None, -12.0, 213.0, None, None, 793.0, 580.0, None, 2014-01-04 13:00:00, None
None, None, None, None, -12.7, 215.0, None, None, 793.0, 580.0, None, 2014-01-04 14:00:00, None
None, None, None, None, -12.7, 214.0, None, None, 793.0, 580.0, None, 2014-01-04 15:00:00, None
None, None, None, None, -13.3, 213.0, None, None, 793.0, 580.0, None, 2014-01-04 16:00:00, None
None, None, None, None, -13.7, 214.0, None, None, 793.0, 580.0, None, 2014-01-04 17:00:00, None
None, None, None, None, -13.2, 212.0, None, None, 793.0, 579.0, None, 2014-01-04 18:00:00, None
None, None, None, None, -12.4, 214.0, None, None, 793.0, 579.0, None, 2014-01-04 19:00:00, None
None, None, None, None, -10.0, 214.0, None, None, 792.0, 579.0, None, 2014-01-04 20:00:00, None
None, None, None, None, -8.7, 213.0, None, None, 792.0, 579.0, None, 2014-01-04 21:00:00, None
None, None, None, None, -8.6, 213.0, None, None, 792.0, 579.0, None, 2014-01-04 22:00:00, None
None, None, None, None, -9.6, 212.0, None, None, 792.0, 580.0, None, 2014-01-04 23:00:00, None
None, None, None, None, -11.4, 212.0, None, None, 792.0, 580.0, None, 2014-01-05 00:00:00, None
None, None, None, None, -11.7, 211.0, None, None, 792.0, 580.0, None, 2014-01-05 01:00:00, None
None, None, None, None, -11.7, 212.0, None, None, 792.0, 580.0, None, 2014-01-05 02:00:00, None
None, None, None, None, -12.6, 211.0, None, None, 792.0, 580.0, None, 2014-01-05 03:00:00, None
None, None, None, None, -12.9, 211.0, None, None, 792.0, 580.0, None, 2014-01-05 04:00:00, None
