CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, -6.646,95.0, None, None, None, None, 46.95, None, 1.502, 242.0, None, None, None, None, None, None, None, None, None,2017-02-12 00:00:00, None, 265.6,7
None, -6.458,95.1, None, None, None, None, 35.94, None, 2.274, 231.9, None, None, None, None, None, None, None, None, None,2017-02-12 01:00:00, None, 265.2,7
None, -6.511,95.0, None, None, None, None, 11.72, None, 3.915, 224.1, None, None, None, None, None, None, None, None, None,2017-02-12 02:00:00, None, 264.8,7
None, -6.655,94.9, None, None, None, None, 15.59, None, 2.487, 228.2, None, None, None, None, None, None, None, None, None,2017-02-12 03:00:00, None, 264.4,7
None, -7.438,94.5, None, None, None, None, 19.29, None, 1.153, 238.4, None, None, None, None, None, None, None, None, None,2017-02-12 04:00:00, None, 264.1,7
None, -7.326,94.6, None, None, None, None, 14.28, None, 1.972, 231.0, None, None, None, None, None, None, None, None, None,2017-02-12 05:00:00, None, 263.9,7
None, -8.15,94.1, None, None, None, None, 15.09, None, 1.96, 237.9, None, None, None, None, None, None, None, None, None,2017-02-12 06:00:00, None, 263.8,7
None, -7.46,94.5, None, None, None, None, 28.68, None, 2.003, 230.3, None, None, None, None, None, None, None, None, None,2017-02-12 07:00:00, None, 263.4,7
None, -7.442,94.4, None, None, None, None, 17.04, None, 2.57, 224.1, None, None, None, None, None, None, None, None, None,2017-02-12 08:00:00, None, 263.1,7
None, -6.387,95.0, None, None, None, None, 13.51, None, 2.843, 222.0, None, None, None, None, None, None, None, None, None,2017-02-12 09:00:00, None, 262.7,7
None, -5.838,95.2, None, None, None, None, 16.79, None, 2.296, 240.0, None, None, None, None, None, None, None, None, None,2017-02-12 10:00:00, None, 262.5,7
