CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,snwfl_amt_pst1hr,stn_pres,week_of_year
-5.546, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 02:00:00, None, None, None,4
-5.508, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 03:00:00, None, None, None,4
-5.517, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 04:00:00, None, None, None,4
-5.44, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 05:00:00, None, None, None,4
-5.508, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 06:00:00, None, None, None,4
-5.392, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 07:00:00, None, None, None,4
-5.248, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 08:00:00, None, None, None,4
-5.161, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 09:00:00, None, None, None,4
-4.787, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 10:00:00, None, None, None,4
-4.566, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 11:00:00, None, None, None,4
-3.88, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 12:00:00, None, None, None,4
-3.071, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 13:00:00, None, None, None,4
-3.141, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 14:00:00, None, None, None,4
-3.198, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 15:00:00, None, None, None,4
-3.215, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 16:00:00, None, None, None,4
-3.206, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 17:00:00, None, None, None,4
-3.283, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 18:00:00, None, None, None,4
-3.244, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 19:00:00, None, None, None,4
-3.223, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 20:00:00, None, None, None,4
-3.309, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 21:00:00, None, None, None,4
-3.034, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 22:00:00, None, None, None,4
-2.808, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 23:00:00, None, None, None,4
-2.787, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-25 00:00:00, None, None, None,4
-2.808, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-25 01:00:00, None, None, None,4
-2.789, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-25 02:00:00, None, None, None,4
-2.866, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-25 03:00:00, None, None, None,4
-2.78, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-25 04:00:00, None, None, None,4
-3.055, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-25 05:00:00, None, None, None,4
-3.377, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-25 06:00:00, None, None, None,4
