pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,time,max_air_temp_snc_last_reset,MINIMUM_AIR_TEMPERATURE,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, None,-1.838, None,2018-04-16 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.163,16
None, None,-2.045, None,2018-04-16 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.071,16
None, None,-2.543, None,2018-04-16 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.166,16
None, None,-2.675, None,2018-04-16 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.219,16
None, None,-2.524, None,2018-04-16 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.154,16
None, None,-2.844, None,2018-04-16 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.21,16
None, None,-2.684, None,2018-04-16 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.233,16
None, None,-2.478, None,2018-04-16 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.244,16
None, None,-1.858, None,2018-04-16 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.262,16
None, None,-0.461, None,2018-04-16 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.203,16
None, None,1.112, None,2018-04-16 10:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.03,16
None, None,2.029, None,2018-04-16 11:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.085,16
None, None,7.75, None,2018-04-16 12:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.237,16
None, None,8.85, None,2018-04-16 13:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.229,16
None, None,8.71, None,2018-04-16 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.051,16
None, None,8.96, None,2018-04-16 15:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.017,16
None, None,9.1, None,2018-04-16 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 0.02,16
None, None,7.89, None,2018-04-16 17:00:00, None, None, None, None, None, None, None, None, None, None, None, -0.293,16
