air_temp,min_air_temp_snc_last_reset,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,snw_dpth,dwpt_temp,week_of_year
-6.3,-6.2, None,-4.3,74.0,2021-10-08 00:00:00, None,-10.0,41
-5.6,-6.4, None,-4.3,69.0,2021-10-08 01:00:00, None,-10.0,41
-5.6,-6.4, None,-4.3,71.0,2021-10-08 02:00:00, None,-10.0,41
-6.4,-6.6, None,-4.3,80.0,2021-10-08 03:00:00, None,-9.0,41
-6.1,-6.6, None,-4.3,75.0,2021-10-08 04:00:00, None,-9.0,41
-6.2,-6.8, None,-4.3,76.0,2021-10-08 05:00:00, None,-9.0,41
-6.7,-6.8, None,-4.3,71.0,2021-10-08 06:00:00, None,-11.0,41
-6.8,-7.2, None,-6.6,63.0,2021-10-08 07:00:00, None,-12.0,41
-5.3,-7.2, None,-5.4,72.0,2021-10-08 08:00:00, None,-9.0,41
-3.3,-7.2, None,-3.3,73.0,2021-10-08 09:00:00, None,-7.0,41
-2.0,-7.2, None,-2.0,68.0,2021-10-08 10:00:00, None,-6.0,41
-0.4,-7.2, None,-0.1,60.0,2021-10-08 11:00:00, None,-7.0,41
0.3,-7.2, None,0.1,64.0,2021-10-08 12:00:00, None,-6.0,41
-0.3,-7.2, None,0.3,59.0,2021-10-08 13:00:00, None,-7.0,41
-0.2,-7.2, None,0.3,60.0,2021-10-08 14:00:00, None,-6.0,41
0.0,-7.2, None,0.3,54.0,2021-10-08 15:00:00, None,-8.0,41
1.3,-7.2, None,1.6,49.0,2021-10-08 16:00:00, None,-8.0,41
0.8,-7.2, None,1.6,50.0,2021-10-08 17:00:00, None,-8.0,41
-2.0,-7.2, None,1.6,57.0,2021-10-08 18:00:00, None,-8.0,41
-2.7,-2.7, None,-1.8,62.0,2021-10-08 19:00:00, None,-8.0,41
-3.3,-3.4, None,-1.8,67.0,2021-10-08 20:00:00, None,-8.0,41
-3.5,-3.6, None,-1.8,67.0,2021-10-08 21:00:00, None,-8.0,41
-3.2,-3.7, None,-1.8,62.0,2021-10-08 22:00:00, None,-9.0,41
-3.8,-3.9, None,-1.8,68.0,2021-10-08 23:00:00, None,-8.0,41
-3.5,-4.0, None,-1.8,62.0,2021-10-09 00:00:00, None,-9.0,41
-3.9,-4.0, None,-1.8,60.0,2021-10-09 01:00:00, None,-10.0,41
-3.1,-4.0, None,-1.8,47.0,2021-10-09 02:00:00, None,-12.0,41
-4.0,-4.0, None,-1.8,62.0,2021-10-09 03:00:00, None,-10.0,41
-4.2,-4.3, None,-1.8,66.0,2021-10-09 04:00:00, None,-9.0,41
-4.1,-4.4, None,-1.8,65.0,2021-10-09 05:00:00, None,-9.0,41
-4.2,-4.4, None,-1.8,68.0,2021-10-09 06:00:00, None,-8.0,41
-4.0,-4.4, None,-3.9,69.0,2021-10-09 07:00:00, None,-8.0,41
-3.4,-4.4, None,-3.4,69.0,2021-10-09 08:00:00, None,-8.0,41
-2.7,-4.4, None,-2.7,67.0,2021-10-09 09:00:00, None,-7.0,41
-1.6,-4.4, None,-1.6,63.0,2021-10-09 10:00:00, None,-7.0,41
1.0,-4.4, None,1.0,57.0,2021-10-09 11:00:00, None,-7.0,41
1.1,-4.4, None,2.4,58.0,2021-10-09 12:00:00, None,-6.0,41
3.2,-4.4, None,3.6,55.0,2021-10-09 13:00:00, None,-6.0,41
3.5,-4.4, None,4.1,52.0,2021-10-09 14:00:00, None,-5.0,41
1.5,-4.4, None,4.1,63.0,2021-10-09 15:00:00, None,-5.0,41
0.5,-4.4, None,4.1,69.0,2021-10-09 16:00:00, None,-5.0,41
-0.4,-4.4, None,4.1,76.0,2021-10-09 17:00:00, None,-4.0,41
-0.9,-4.4, None,4.1,80.0,2021-10-09 18:00:00, None,-4.0,41
-1.3,-1.4, None,-0.9,82.0,2021-10-09 19:00:00, None,-4.0,41
-1.2,-1.4, None,-0.9,84.0,2021-10-09 20:00:00, None,-3.0,41
-1.5,-1.5, None,-0.9,92.0,2021-10-09 21:00:00, None,-2.0,41
-2.2,-2.2, None,-0.9,100.0,2021-10-09 22:00:00, None,-2.0,41
-1.9,-2.2, None,-0.9,100.0,2021-10-09 23:00:00, None,-2.0,41
-1.8,-2.2, None,-0.9,100.0,2021-10-10 00:00:00, None,-2.0,41
-2.0,-2.2, None,-0.9,100.0,2021-10-10 01:00:00, None,-2.0,41
-1.9,-2.2, None,-0.9,100.0,2021-10-10 02:00:00, None,-2.0,41
-1.6,-2.2, None,-0.9,100.0,2021-10-10 03:00:00, None,-1.0,41
-1.5,-2.2, None,-0.9,100.0,2021-10-10 04:00:00, None,-2.0,41
-1.9,-2.2, None,-0.9,100.0,2021-10-10 05:00:00, None,-2.0,41
-1.7,-2.2, None,-0.9,100.0,2021-10-10 06:00:00, None,-2.0,41
-2.2,-2.2, None,-1.7,100.0,2021-10-10 07:00:00, None,-2.0,41
-2.4,-2.4, None,-1.7,100.0,2021-10-10 08:00:00, None,-2.0,41
-2.7,-2.7, None,-1.7,100.0,2021-10-10 09:00:00, None,-3.0,41
-2.9,-3.7, None,-1.7,94.0,2021-10-10 10:00:00, None,-4.0,41
-3.3,-3.7, None,-1.7,100.0,2021-10-10 11:00:00, None,-3.0,41
-4.6,-4.5, None,-1.7,98.0,2021-10-10 12:00:00, None,-5.0,41
-3.0,-4.6, None,-1.7,94.0,2021-10-10 13:00:00, None,-4.0,41
-3.0,-4.6, None,-1.7,97.0,2021-10-10 14:00:00, None,-3.0,41
-4.6,-4.6, None,-1.7,88.0,2021-10-10 15:00:00, None,-6.0,41
-5.0,-5.7, None,-1.7,91.0,2021-10-10 16:00:00, None,-6.0,41
-6.3,-6.2, None,-1.7,89.0,2021-10-10 17:00:00, None,-8.0,41
-6.5,-6.7, None,-1.7,84.0,2021-10-10 18:00:00, None,-9.0,41
-6.9,-7.0, None,-6.5,82.0,2021-10-10 19:00:00, None,-9.0,41
-7.6,-7.5, None,-6.5,98.0,2021-10-10 20:00:00, None,-8.0,41
-7.3,-7.6, None,-6.5,80.0,2021-10-10 21:00:00, None,-10.0,41
-7.1,-7.8, None,-6.5,73.0,2021-10-10 22:00:00, None,-11.0,41
-8.1,-8.1, None,-6.5,89.0,2021-10-10 23:00:00, None,-9.0,41
-7.7,-8.4, None,-6.5,73.0,2021-10-11 00:00:00, None,-11.0,41
-8.3,-8.4, None,-6.5,90.0,2021-10-11 01:00:00, None,-10.0,41
-8.0,-8.9, None,-6.5,72.0,2021-10-11 02:00:00, None,-12.0,41
-7.8,-8.9, None,-6.5,70.0,2021-10-11 03:00:00, None,-12.0,41
-8.4,-8.9, None,-6.5,68.0,2021-10-11 04:00:00, None,-13.0,41
-8.3,-8.9, None,-6.5,66.0,2021-10-11 05:00:00, None,-13.0,41
-8.9,-9.0, None,-6.5,86.0,2021-10-11 06:00:00, None,-11.0,41
-9.0,-9.3, None,-8.8,82.0,2021-10-11 07:00:00, None,-11.0,41
-7.8,-9.3, None,-7.9,77.0,2021-10-11 08:00:00, None,-11.0,41
-5.9,-9.3, None,-5.9,71.0,2021-10-11 09:00:00, None,-10.0,41
-4.2,-9.3, None,-4.3,63.0,2021-10-11 10:00:00, None,-10.0,41
-2.0,-9.3, None,-2.1,61.0,2021-10-11 11:00:00, None,-7.0,41
-4.3,-9.3, None,-1.8,62.0,2021-10-11 12:00:00, None,-10.0,41
-2.4,-9.3, None,-1.8,51.0,2021-10-11 13:00:00, None,-10.0,41
-4.3,-9.3, None,-1.8,60.0,2021-10-11 14:00:00, None,-10.0,41
-4.5,-9.3, None,-1.8,58.0,2021-10-11 15:00:00, None,-11.0,41
-4.3,-9.3, None,-1.8,56.0,2021-10-11 16:00:00, None,-11.0,41
-4.0,-9.3, None,-1.8,58.0,2021-10-11 17:00:00, None,-10.0,41
-5.3,-9.3, None,-1.8,62.0,2021-10-11 18:00:00, None,-11.0,41
-6.5,-6.8, None,-5.2,71.0,2021-10-11 19:00:00, None,-10.0,41
-7.2,-7.1, None,-5.2,73.0,2021-10-11 20:00:00, None,-11.0,41
-7.4,-7.6, None,-5.2,75.0,2021-10-11 21:00:00, None,-11.0,41
-7.6,-7.8, None,-5.2,80.0,2021-10-11 22:00:00, None,-10.0,41
-7.9,-8.0, None,-5.2,77.0,2021-10-11 23:00:00, None,-11.0,41
