pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,week_of_year
1.0, -1.615, 88.0, 5.5, None, 48.07, 0.517, 195.4, -3.0, None, -1.6, -1.9, -3.0, 0.0, None, 0.0, 88.0,2021-10-08 00:00:00, None,41
1.0, -2.238, 89.4, 5.5, None, 44.87, 0.63, 195.5, -4.0, None, -2.2, -2.2, -4.0, 0.0, None, 0.0, 89.0,2021-10-08 01:00:00, None,41
0.6, -2.477, 91.4, 5.5, None, 52.99, 0.58, 158.2, -3.0, None, -2.5, -2.6, -3.0, 0.0, None, 0.0, 91.0,2021-10-08 02:00:00, None,41
0.3, -2.525, 91.7, 5.5, None, 70.6, 0.959, 227.4, -3.0, None, -2.5, -2.7, -3.0, 0.0, None, 0.0, 92.0,2021-10-08 03:00:00, None,41
0.0, -2.859, 93.1, 5.5, None, 61.69, 0.677, 212.8, -4.0, None, -2.9, -3.0, -4.0, 0.0, None, 0.0, 93.0,2021-10-08 04:00:00, None,41
0.0, -3.062, 93.9, 5.5, None, 60.57, 1.347, 216.5, -4.0, None, -3.1, -3.3, -4.0, 0.0, None, 0.0, 94.0,2021-10-08 05:00:00, None,41
0.0, -3.257, 94.4, 5.5, None, 51.53, 0.653, 182.2, -4.0, None, -3.3, -3.6, -4.0, 0.0, None, 0.0, 94.0,2021-10-08 06:00:00, None,41
0.0, -3.786, 92.9, -2.7, None, 60.89, 1.611, 203.1, -5.0, None, -3.8, -4.0, -5.0, 0.0, None, 0.0, 93.0,2021-10-08 07:00:00, None,41
0.0, -2.875, 92.2, -2.7, None, 60.79, 1.059, 215.9, -4.0, None, -2.9, -4.1, -4.0, 0.0, None, 0.0, 92.0,2021-10-08 08:00:00, None,41
0.0, -0.671, 80.2, -0.4, None, 64.37, 2.783, 120.2, -3.0, None, -0.7, -4.1, -3.0, 0.0, None, 0.0, 80.0,2021-10-08 09:00:00, None,41
0.0, 2.902, 69.36, 2.8, None, 54.71, 1.839, 65.69, -2.0, None, 2.9, -4.1, -2.0, 0.0, None, 0.0, 69.0,2021-10-08 10:00:00, None,41
0.0, 5.034, 59.8, 5.0, None, 38.94, 2.501, 5.028, -2.0, None, 5.0, -4.1, -2.0, 0.0, None, 0.0, 60.0,2021-10-08 11:00:00, None,41
0.0, 8.27, 46.54, 8.3, None, 54.61, 3.978, 338.9, -3.0, None, 8.3, -4.1, -3.0, 0.0, None, 0.0, 47.0,2021-10-08 12:00:00, None,41
0.0, 9.91, 35.4, 10.3, None, 68.81, 3.577, 289.2, -5.0, None, 9.9, -4.1, -5.0, 0.0, None, 0.0, 35.0,2021-10-08 13:00:00, None,41
0.0, 10.29, 36.61, 10.6, None, 78.28, 3.493, 246.5, -4.0, None, 10.3, -4.1, -4.0, 0.0, None, 0.0, 37.0,2021-10-08 14:00:00, None,41
0.0, 11.01, 35.05, 11.5, None, 68.97, 3.915, 231.7, -4.0, None, 11.0, -4.1, -4.0, 0.0, None, 0.0, 35.0,2021-10-08 15:00:00, None,41
0.0, 11.23, 29.96, 11.5, None, 72.69, 3.975, 201.8, -6.0, None, 11.2, -4.1, -6.0, 0.0, None, 0.0, 30.0,2021-10-08 16:00:00, None,41
0.0, 9.35, 31.76, 11.5, None, 71.03, 2.748, 195.3, -7.0, None, 9.4, -4.1, -7.0, 0.0, None, 0.0, 32.0,2021-10-08 17:00:00, None,41
0.0, 7.649, 39.03, 11.5, None, 61.5, 2.334, 149.7, -4.0, None, 7.6, -4.1, -4.0, 0.0, None, 0.0, 39.0,2021-10-08 18:00:00, None,41
0.0, 7.48, 36.85, 8.2, None, 34.35, 4.189, 136.0, -6.0, None, 7.5, 6.9, -6.0, 0.0, None, 0.0, 37.0,2021-10-08 19:00:00, None,41
0.0, 6.257, 46.5, 8.2, None, 18.16, 5.263, 126.7, -5.0, None, 6.3, 6.0, -5.0, 0.0, None, 0.0, 47.0,2021-10-08 20:00:00, None,41
0.0, 5.582, 47.64, 8.2, None, 18.61, 5.019, 125.7, -4.0, None, 5.6, 5.1, -4.0, 0.0, None, 0.0, 48.0,2021-10-08 21:00:00, None,41
0.0, 3.796, 49.05, 8.2, None, 39.0, 2.223, 140.4, -6.0, None, 3.8, 3.4, -6.0, 0.0, None, 0.0, 49.0,2021-10-08 22:00:00, None,41
0.0, 4.938, 42.15, 8.2, None, 38.68, 3.432, 137.3, -7.0, None, 4.9, 3.4, -7.0, 0.0, None, 0.0, 42.0,2021-10-08 23:00:00, None,41
0.0, 3.192, 53.48, 8.2, None, 38.03, 2.681, 157.6, -5.0, None, 3.2, 2.7, -5.0, 0.0, None, 0.0, 53.0,2021-10-09 00:00:00, None,41
0.0, 2.512, 57.08, 8.2, None, 47.04, 2.57, 142.5, -6.0, None, 2.5, 2.2, -6.0, 0.0, None, 0.0, 57.0,2021-10-09 01:00:00, None,41
0.0, 1.923, 61.39, 8.2, None, 68.77, 1.569, 176.1, -4.0, None, 1.9, 1.3, -4.0, 0.0, None, 0.0, 61.0,2021-10-09 02:00:00, None,41
0.0, 3.717, 55.26, 8.2, None, 46.11, 5.352, 117.9, -5.0, None, 3.7, 1.3, -5.0, 0.0, None, 0.0, 55.0,2021-10-09 03:00:00, None,41
0.0, 1.816, 63.59, 8.2, None, 44.74, 6.118, 126.4, -4.0, None, 1.8, 1.3, -4.0, 0.0, None, 0.0, 64.0,2021-10-09 04:00:00, None,41
0.0, 4.043, 54.52, 8.2, None, 61.42, 3.361, 137.9, -4.0, None, 4.0, 1.3, -4.0, 0.0, None, 0.0, 55.0,2021-10-09 05:00:00, None,41
0.0, 4.978, 50.53, 8.2, None, 35.65, 7.519, 101.9, -5.0, None, 5.0, 1.3, -5.0, 0.0, None, 0.0, 51.0,2021-10-09 06:00:00, None,41
0.0, 5.033, 55.74, 5.2, None, 17.52, 12.3, 109.8, -3.0, None, 5.0, 4.8, -3.0, 0.0, None, 0.0, 56.0,2021-10-09 07:00:00, None,41
0.0, 5.009, 61.25, 5.2, None, 18.21, 9.47, 104.9, -2.0, None, 5.0, 4.8, -2.0, 0.0, None, 0.0, 61.0,2021-10-09 08:00:00, None,41
0.0, 5.113, 62.6, 5.4, None, 16.05, 11.01, 104.1, -2.0, None, 5.1, 4.8, -2.0, 0.0, None, 0.0, 63.0,2021-10-09 09:00:00, None,41
0.0, 6.626, 60.34, 6.6, None, 17.98, 10.81, 104.8, 0.0, None, 6.6, 4.8, 0.0, 0.0, None, 0.0, 60.0,2021-10-09 10:00:00, None,41
0.0, 7.609, 59.34, 7.7, None, 16.29, 12.44, 103.9, 0.0, None, 7.6, 4.8, 0.0, 0.0, None, 0.0, 59.0,2021-10-09 11:00:00, None,41
0.0, 8.8, 58.15, 9.0, None, 38.59, 9.27, 105.7, 1.0, None, 8.8, 4.8, 1.0, 0.0, None, 0.0, 58.0,2021-10-09 12:00:00, None,41
0.0, 8.55, 60.67, 9.2, None, 34.44, 10.93, 111.1, 1.0, None, 8.6, 4.8, 1.0, 0.0, None, 0.0, 61.0,2021-10-09 13:00:00, None,41
0.0, 8.49, 61.58, 9.2, None, 40.8, 7.943, 94.8, 2.0, None, 8.5, 4.8, 2.0, 0.0, None, 0.0, 62.0,2021-10-09 14:00:00, None,41
0.0, 8.4, 62.93, 9.2, None, 24.28, 11.19, 108.1, 1.0, None, 8.4, 4.8, 1.0, 0.0, None, 0.0, 63.0,2021-10-09 15:00:00, None,41
0.0, 8.42, 63.61, 9.2, None, 25.06, 9.66, 103.5, 2.0, None, 8.4, 4.8, 2.0, 0.0, None, 0.0, 64.0,2021-10-09 16:00:00, None,41
0.0, 7.787, 67.71, 9.2, None, 30.01, 8.69, 107.4, 2.0, None, 7.8, 4.8, 2.0, 0.1, None, 0.0, 68.0,2021-10-09 17:00:00, None,41
0.0, 8.31, 60.79, 9.2, None, 28.41, 9.46, 102.1, 1.0, None, 8.3, 4.8, 1.0, 0.0, None, 0.0, 61.0,2021-10-09 18:00:00, None,41
0.0, 8.11, 62.49, 8.5, None, 40.95, 6.94, 108.8, 2.0, None, 8.1, 7.8, 2.0, 0.0, None, 0.0, 62.0,2021-10-09 19:00:00, None,41
0.0, 7.603, 65.71, 8.5, None, 44.29, 2.966, 109.1, 1.0, None, 7.6, 7.4, 1.0, 0.0, None, 0.0, 66.0,2021-10-09 20:00:00, None,41
0.0, 6.979, 68.57, 8.5, None, 22.41, 10.95, 112.8, 1.0, None, 7.0, 7.1, 1.0, 0.0, None, 0.0, 69.0,2021-10-09 21:00:00, None,41
0.0, 7.754, 67.31, 8.5, None, 36.88, 7.551, 108.5, 2.0, None, 7.8, 7.0, 2.0, 0.0, None, 0.0, 67.0,2021-10-09 22:00:00, None,41
0.0, 8.32, 64.72, 8.5, None, 31.22, 7.776, 104.4, 3.0, None, 8.3, 7.0, 3.0, 0.0, None, 0.0, 65.0,2021-10-09 23:00:00, None,41
0.0, 8.52, 63.92, 8.6, None, 23.39, 8.85, 109.6, 2.0, None, 8.5, 7.0, 2.0, 0.0, None, 0.0, 64.0,2021-10-10 00:00:00, None,41
0.0, 8.51, 64.78, 8.7, None, 20.93, 8.97, 105.8, 2.0, None, 8.5, 7.0, 2.0, 0.0, None, 0.0, 65.0,2021-10-10 01:00:00, None,41
0.0, 7.998, 68.11, 8.7, None, 19.93, 11.09, 113.1, 3.0, None, 8.0, 7.0, 3.0, 0.0, None, 0.0, 68.0,2021-10-10 02:00:00, None,41
0.0, 7.382, 66.18, 8.7, None, 22.38, 12.99, 109.5, 2.0, None, 7.4, 7.0, 2.0, 0.0, None, 0.0, 66.0,2021-10-10 03:00:00, None,41
0.0, 6.681, 66.1, 8.7, None, 22.02, 11.92, 103.5, 1.0, None, 6.7, 6.2, 1.0, 0.0, None, 0.0, 66.0,2021-10-10 04:00:00, None,41
0.0, 5.786, 58.46, 8.7, None, 25.24, 13.8, 102.6, -1.0, None, 5.8, 5.7, -1.0, 0.0, None, 0.0, 58.0,2021-10-10 05:00:00, None,41
0.0, 4.734, 56.4, 8.7, None, 34.23, 11.16, 106.6, -3.0, None, 4.7, 4.7, -3.0, 0.0, None, 0.0, 56.0,2021-10-10 06:00:00, None,41
0.0, 4.739, 53.18, 5.0, None, 47.25, 8.81, 98.2, -4.0, None, 4.7, 4.5, -4.0, 0.0, None, 0.0, 53.0,2021-10-10 07:00:00, None,41
0.0, 3.283, 74.54, 5.0, None, 80.0, 5.679, 294.4, -1.0, None, 3.3, 3.3, -1.0, 0.0, None, 0.0, 75.0,2021-10-10 08:00:00, None,41
0.0, 1.044, 90.5, 5.0, None, 57.64, 3.525, 301.7, 0.0, None, 1.0, 0.7, 0.0, 0.0, None, 0.0, 91.0,2021-10-10 09:00:00, None,41
0.0, 1.915, 85.3, 5.0, None, 69.86, 3.814, 70.93, 0.0, None, 1.9, 0.7, 0.0, 0.0, None, 0.0, 85.0,2021-10-10 10:00:00, None,41
0.0, 1.959, 82.2, 5.0, None, 28.2, 8.35, 72.55, 0.0, None, 2.0, 0.7, 0.0, 0.0, None, 0.0, 82.0,2021-10-10 11:00:00, None,41
0.0, 4.685, 66.91, 5.0, None, 29.99, 6.571, 83.4, -1.0, None, 4.7, 0.7, -1.0, 0.0, None, 0.0, 67.0,2021-10-10 12:00:00, None,41
0.0, 6.783, 45.92, 7.0, None, 60.71, 6.437, 280.9, -4.0, None, 6.8, 0.7, -4.0, 0.0, None, 0.0, 46.0,2021-10-10 13:00:00, None,41
0.0, 6.825, 43.79, 7.6, None, 22.54, 13.53, 294.6, -5.0, None, 6.8, 0.7, -5.0, 0.0, None, 0.0, 44.0,2021-10-10 14:00:00, None,41
0.0, 4.628, 65.68, 7.6, None, 67.14, 8.66, 354.0, -1.0, None, 4.6, 0.7, -1.0, 0.0, None, 0.0, 66.0,2021-10-10 15:00:00, None,41
0.0, 4.248, 68.67, 7.6, None, 41.33, 8.44, 40.91, -1.0, None, 4.2, 0.7, -1.0, 0.0, None, 0.0, 69.0,2021-10-10 16:00:00, None,41
0.0, 3.666, 67.44, 7.6, None, 41.14, 3.92, 16.98, -1.0, None, 3.7, 0.7, -1.0, 0.0, None, 0.0, 67.0,2021-10-10 17:00:00, None,41
0.0, 3.245, 76.17, 7.6, None, 74.51, 2.229, 288.8, 0.0, None, 3.2, 0.7, 0.0, 0.0, None, 0.0, 76.0,2021-10-10 18:00:00, None,41
0.3, 0.9, 92.9, 3.3, None, 66.21, 5.888, 39.56, 1.0, None, 0.9, 0.8, 1.0, 0.3, None, 0.0, 93.0,2021-10-10 19:00:00, None,41
