pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,0.355,97.6, None, None, None, None, None, None, None, None, None, None, None,2017-01-15 00:00:00, None,11.77, None,3
None,0.307,97.7, None, None, None, None, None, None, None, None, None, None, None,2017-01-15 01:00:00, None,12.08, None,3
None,0.403,97.7, None, None, None, None, None, None, None, 0.0, None, None, None,2017-01-15 02:00:00, None,12.05, None,3
None,0.355,97.7, None, None, None, None, None, None, None, 0.0, None, None, None,2017-01-15 03:00:00, None,11.98, None,3
None,0.355,97.7, None, None, None, None, None, None, None, 0.0, None, None, None,2017-01-15 04:00:00, None,11.97, None,3
None,0.403,97.7, None, None, None, None, None, None, None, 0.0, None, None, None,2017-01-15 05:00:00, None,11.96, None,3
None,0.403,97.7, None, None, None, None, None, None, None, 0.0, None, None, None,2017-01-15 06:00:00, None,12.16, None,3
None,0.403,97.7, None, None, None, None, None, None, None, 0.0, None, None, None,2017-01-15 07:00:00, None,12.16, None,3
None,0.355,97.9, None, None, None, None, None, None, None, 0.0, None, None, None,2017-01-15 08:00:00, None,12.13, None,3
None,0.741,97.8, None, None, None, None, None, None, None, 0.0, None, None, None,2017-01-15 09:00:00, None,12.1, None,3
None,1.076,97.5, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-15 10:00:00, None,12.11, None,3
None,1.269,96.6, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-15 11:00:00, None,11.97, None,3
None,1.742,94.5, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-15 12:00:00, None,11.7, None,3
None,1.931,94.3, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-15 13:00:00, None,11.43, None,3
None,2.309,94.9, None, None, None, None, None, None, None, 2.0, None, None, None,2017-01-15 14:00:00, None,11.19, None,3
None,1.779,95.9, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-15 15:00:00, None,11.18, None,3
None,1.787,95.3, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-15 16:00:00, None,11.02, None,3
None,2.223,94.9, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-15 17:00:00, None,10.68, None,3
None,2.178,94.0, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-15 18:00:00, None,10.32, None,3
None,1.171,97.0, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-15 19:00:00, None,10.31, None,3
None,1.272,96.8, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-15 20:00:00, None,10.24, None,3
None,1.127,96.8, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-15 21:00:00, None,10.19, None,3
None,1.224,97.3, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-15 22:00:00, None,10.1, None,3
None,1.079,97.4, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-15 23:00:00, None,9.43, None,3
None,1.32,97.7, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-16 00:00:00, None,9.56, None,3
None,1.465,97.7, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-16 01:00:00, None,9.56, None,3
None,1.803,97.4, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-16 02:00:00, None,9.46, None,3
None,2.333,96.5, None, None, None, None, None, None, None, 2.0, None, None, None,2017-01-16 03:00:00, None,9.38, None,3
None,2.378,95.6, None, None, None, None, None, None, None, 2.0, None, None, None,2017-01-16 04:00:00, None,9.05, None,3
None,2.092,97.0, None, None, None, None, None, None, None, 2.0, None, None, None,2017-01-16 05:00:00, None,9.03, None,3
None,1.61,96.8, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-16 06:00:00, None,8.92, None,3
None,1.32,97.0, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-16 07:00:00, None,8.78, None,3
None,1.32,97.6, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-16 08:00:00, None,8.79, None,3
None,1.61,97.6, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-16 09:00:00, None,8.72, None,3
None,1.803,97.7, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-16 10:00:00, None,8.37, None,3
None,2.14,97.1, None, None, None, None, None, None, None, 2.0, None, None, None,2017-01-16 11:00:00, None,7.82, None,3
None,1.996,96.8, None, None, None, None, None, None, None, 2.0, None, None, None,2017-01-16 12:00:00, None,7.98, None,3
None,2.476,97.5, None, None, None, None, None, None, None, 2.0, None, None, None,2017-01-16 13:00:00, None,7.66, None,3
None,1.891,97.2, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-16 14:00:00, None,7.56, None,3
None,1.464,97.3, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-16 15:00:00, None,7.48, None,3
None,1.513,97.5, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-16 16:00:00, None,7.44, None,3
None,1.803,97.7, None, None, None, None, None, None, None, 1.0, None, None, None,2017-01-16 17:00:00, None,7.29, None,3
