CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,time,MINIMUM_AIR_TEMPERATURE,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None,-9.6, None, None,2017-02-05 00:00:00, None, None,26.66,7.19,48.21, None, None, None, None, None, None, 169.2,6
None,-9.56, None, None,2017-02-05 01:00:00, None, None,33.33,7.29,41.95, None, None, None, None, None, None, 168.9,6
None,-10.68, None, None,2017-02-05 02:00:00, None, None,42.03,5.207,48.31, None, None, None, None, None, None, 168.8,6
None,-10.76, None, None,2017-02-05 03:00:00, None, None,28.13,5.965,57.94, None, None, None, None, None, None, 168.9,6
None,-11.21, None, None,2017-02-05 04:00:00, None, None,33.22,5.147,44.58, None, None, None, None, None, None, 168.7,6
None,-10.5, None, None,2017-02-05 05:00:00, None, None,33.94,6.839,57.1, None, None, None, None, None, None, 168.8,6
None,-10.35, None, None,2017-02-05 06:00:00, None, None,23.35,10.54,48.53, None, None, None, None, None, None, 168.5,6
None,-10.85, None, None,2017-02-05 07:00:00, None, None,20.18,10.21,47.84, None, None, None, None, None, None, 168.6,6
None,-11.96, None, None,2017-02-05 08:00:00, None, None,21.63,6.551,44.66, None, None, None, None, None, None, 168.3,6
None,-10.59, None, None,2017-02-05 09:00:00, None, None,39.87,3.236,30.53, None, None, None, None, None, None, 168.1,6
None,-8.05, None, None,2017-02-05 10:00:00, None, None,24.46,4.926,108.2, None, None, None, None, None, None, 167.8,6
None,-6.934, None, None,2017-02-05 11:00:00, None, None,25.34,8.48,94.8, None, None, None, None, None, None, 167.5,6
None,-6.65, None, None,2017-02-05 12:00:00, None, None,25.1,8.06,101.9, None, None, None, None, None, None, 167.9,6
None,-6.21, None, None,2017-02-05 13:00:00, None, None,32.59,7.32,104.6, None, None, None, None, None, None, 167.6,6
None,-6.435, None, None,2017-02-05 14:00:00, None, None,30.18,6.471,105.4, None, None, None, None, None, None, 167.6,6
None,-8.82, None, None,2017-02-05 15:00:00, None, None,28.99,7.92,88.2, None, None, None, None, None, None, 167.5,6
None,-10.05, None, None,2017-02-05 16:00:00, None, None,18.4,9.96,51.46, None, None, None, None, None, None, 167.8,6
None,-10.82, None, None,2017-02-05 17:00:00, None, None,25.63,6.353,57.98, None, None, None, None, None, None, 167.5,6
None,-10.29, None, None,2017-02-05 18:00:00, None, None,15.11,9.97,48.84, None, None, None, None, None, None, 167.5,6
None,-10.2, None, None,2017-02-05 19:00:00, None, None,13.75,12.91,44.94, None, None, None, None, None, None, 167.6,6
None,-10.36, None, None,2017-02-05 20:00:00, None, None,14.3,13.4,42.34, None, None, None, None, None, None, 167.2,6
None,-10.43, None, None,2017-02-05 21:00:00, None, None,15.49,12.47,44.89, None, None, None, None, None, None, 167.3,6
None,-10.24, None, None,2017-02-05 22:00:00, None, None,19.87,10.12,54.0, None, None, None, None, None, None, 167.3,6
None,-10.37, None, None,2017-02-05 23:00:00, None, None,17.31,13.0,43.72, None, None, None, None, None, None, 167.1,6
None,-10.51, None, None,2017-02-06 00:00:00, None, None,24.19,8.86,50.68, None, None, None, None, None, None, 167.2,6
None,-11.45, None, None,2017-02-06 01:00:00, None, None,16.3,9.2,43.48, None, None, None, None, None, None, 167.2,6
None,-11.28, None, None,2017-02-06 02:00:00, None, None,18.14,9.96,34.0, None, None, None, None, None, None, 166.5,6
None,-11.7, None, None,2017-02-06 03:00:00, None, None,21.57,7.25,61.33, None, None, None, None, None, None, 166.8,6
None,-12.08, None, None,2017-02-06 04:00:00, None, None,20.18,6.705,63.58, None, None, None, None, None, None, 166.5,6
None,-11.1, None, None,2017-02-06 05:00:00, None, None,23.12,8.32,70.7, None, None, None, None, None, None, 166.8,6
None,-11.49, None, None,2017-02-06 06:00:00, None, None,24.45,7.68,67.81, None, None, None, None, None, None, 166.6,6
None,-10.79, None, None,2017-02-06 07:00:00, None, None,23.36,9.64,73.4, None, None, None, None, None, None, 166.3,6
None,-11.1, None, None,2017-02-06 08:00:00, None, None,25.42,11.01,58.98, None, None, None, None, None, None, 166.5,6
None,-10.28, None, None,2017-02-06 09:00:00, None, None,20.13,15.27,56.37, None, None, None, None, None, None, 166.3,6
None,-9.21, None, None,2017-02-06 10:00:00, None, None,29.24,11.02,78.8, None, None, None, None, None, None, 165.8,6
None,-9.12, None, None,2017-02-06 11:00:00, None, None,26.83,10.18,92.0, None, None, None, None, None, None, 165.9,6
None,-9.1, None, None,2017-02-06 12:00:00, None, None,24.43,15.87,62.38, None, None, None, None, None, None, 165.8,6
None,-10.41, None, None,2017-02-06 14:00:00, None, None,22.83,14.32,47.01, None, None, None, None, None, None, 165.8,6
None,-10.92, None, None,2017-02-06 15:00:00, None, None,22.24,13.08,49.19, None, None, None, None, None, None, 165.8,6
None,-11.3, None, None,2017-02-06 16:00:00, None, None,21.36,14.7,46.3, None, None, None, None, None, None, 165.8,6
None,-12.09, None, None,2017-02-06 17:00:00, None, None,21.64,14.1,48.64, None, None, None, None, None, None, 165.7,6
None,-12.81, None, None,2017-02-06 18:00:00, None, None,21.99,14.58,53.34, None, None, None, None, None, None, 165.7,6
None,-13.35, None, None,2017-02-06 19:00:00, None, None,20.12,14.09,49.29, None, None, None, None, None, None, 165.6,6
None,-14.03, None, None,2017-02-06 20:00:00, None, None,19.96,10.59,65.87, None, None, None, None, None, None, 165.5,6
None,-14.11, None, None,2017-02-07 11:00:00, None, None,18.11,9.76,60.56, None, None, None, None, None, None, 164.2,6
None,-13.64, None, None,2017-02-07 12:00:00, None, None,19.65,8.62,85.8, None, None, None, None, None, None, 163.8,6
None,-12.96, None, None,2017-02-07 13:00:00, None, None,19.22,9.43,89.3, None, None, None, None, None, None, 164.1,6
None,-13.04, None, None,2017-02-07 14:00:00, None, None,19.22,9.15,92.2, None, None, None, None, None, None, 164.1,6
None,-14.34, None, None,2017-02-07 15:00:00, None, None,18.69,8.16,82.3, None, None, None, None, None, None, 164.1,6
None,-15.76, None, None,2017-02-07 16:00:00, None, None,16.71,6.94,65.25, None, None, None, None, None, None, 164.3,6
None,-16.08, None, None,2017-02-07 17:00:00, None, None,17.01,6.129,62.52, None, None, None, None, None, None, 164.2,6
None,-15.46, None, None,2017-02-07 18:00:00, None, None,18.96,11.09,42.29, None, None, None, None, None, None, 164.1,6
None,-16.09, None, None,2017-02-07 19:00:00, None, None,13.17,10.61,46.0, None, None, None, None, None, None, 163.7,6
None,-17.47, None, None,2017-02-08 09:00:00, None, None,11.72,17.81,29.53, None, None, None, None, None, None, 163.0,6
None,-16.79, None, None,2017-02-08 10:00:00, None, None,10.83,17.71,36.49, None, None, None, None, None, None, 162.7,6
None,-15.21, None, None,2017-02-08 11:00:00, None, None,18.83,14.11,42.84, None, None, None, None, None, None, 162.2,6
None,-14.01, None, None,2017-02-08 12:00:00, None, None,22.77,12.13,44.58, None, None, None, None, None, None, 162.8,6
None,-13.72, None, None,2017-02-08 13:00:00, None, None,23.97,9.08,40.05, None, None, None, None, None, None, 162.1,6
None,-14.25, None, None,2017-02-08 14:00:00, None, None,24.77,9.73,28.89, None, None, None, None, None, None, 162.0,6
None,-13.7, None, None,2017-02-08 15:00:00, None, None,19.22,11.1,20.79, None, None, None, None, None, None, 162.4,6
None,-14.72, None, None,2017-02-08 16:00:00, None, None,9.49,14.93,30.74, None, None, None, None, None, None, 162.7,6
