RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,week_of_year
95.5, None, None, 0.0, 0.0, 150.0, -4.0, -4.6, None, None, 150.0, None, None, 36.0, None, 36.38, None, None, -3.922, None, -3.8, 96.0, None, 30.73, 0.0, -3.9, 0.4, 1.0,2020-12-16 00:00:00,51
95.8, None, None, 3.7, 1.062, 178.3, -4.0, -4.6, None, None, 178.0, None, None, 37.0, None, 37.09, None, None, -3.597, None, -3.4, 96.0, None, 27.73, 1.1, -3.6, 0.5, 1.0,2020-12-16 01:00:00,51
96.2, None, None, 3.2, 1.051, 202.7, -4.0, -4.6, None, None, 203.0, None, None, 36.0, None, 36.35, None, None, -3.28, None, -3.2, 96.0, None, 14.77, 1.1, -3.3, 0.4, -1.0,2020-12-16 02:00:00,51
96.2, None, None, 2.4, 0.295, 190.9, -4.0, -4.6, None, None, 191.0, None, None, 39.0, None, 38.54, None, None, -3.215, None, -3.1, 96.0, None, 18.86, 0.3, -3.2, 0.4, 3.0,2020-12-16 03:00:00,51
96.1, None, None, None, 1.418, 205.0, -4.0, -4.6, None, None, None, None, None, None, None, 38.53, None, None, -3.242, None, -3.1, 96.0, None, 12.3, None, -3.2, None, None,2020-12-16 04:00:00,51
95.9, None, None, 0.0, 0.0, 135.8, -4.0, -4.6, None, None, 136.0, None, None, 38.0, None, 38.32, None, None, -3.579, None, -3.1, 96.0, None, 14.98, 0.0, -3.6, 0.0, 0.0,2020-12-16 05:00:00,51
95.9, None, None, 0.0, 0.0, 131.1, -5.0, -4.2, None, None, 131.0, None, None, 38.0, None, 38.32, None, None, -3.956, None, -3.8, 96.0, None, 0.431, 0.0, -4.0, -0.1, 0.0,2020-12-16 06:00:00,51
95.7, None, None, 0.0, 0.0, 124.8, -5.0, -4.2, None, None, 125.0, None, None, 38.0, None, 38.03, None, None, -4.121, None, -3.8, 96.0, None, 26.77, 0.0, -4.1, 0.1, 0.0,2020-12-16 07:00:00,51
95.2, None, None, 0.0, 0.0, 130.4, -5.0, -4.2, None, None, 130.0, None, None, 38.0, None, 37.84, None, None, -4.115, None, -3.8, 95.0, None, 12.73, 0.0, -4.1, 0.1, 0.0,2020-12-16 08:00:00,51
95.1, None, None, 0.0, 0.0, 99.2, -5.0, -4.4, None, None, 99.0, None, None, 38.0, None, 37.73, None, None, -4.252, None, -3.8, 95.0, None, 37.36, 0.0, -4.3, 0.1, 0.0,2020-12-16 09:00:00,51
95.6, None, None, 0.0, 0.0, 134.2, -2.0, -4.4, None, None, 134.0, None, None, 37.0, None, 36.89, None, None, -2.161, None, -1.5, 96.0, None, 36.74, 0.0, -2.2, 0.3, 0.0,2020-12-16 11:00:00,51
95.5, None, None, 1.4, 0.008, 147.9, -3.0, -4.4, None, None, 148.0, None, None, 37.0, None, 37.22, None, None, -1.985, None, -1.5, 96.0, None, 33.56, 0.0, -2.0, -0.2, 1.0,2020-12-16 12:00:00,51
