pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,stn_pres,week_of_year
None, 12.52, 59.28, 12.6, None, 41.41, 4.978, 341.7, 5.0, None, 12.5, 9.5, 5.0, 0.0, None, 0.0, 59.0,2022-06-04 08:00:00, None, None,23
None, 13.54, 52.04, 13.6, None, 38.31, 5.887, 348.5, 4.0, None, 13.5, 9.5, 4.0, 0.0, None, 0.0, 52.0,2022-06-04 09:00:00, None, None,23
None, 13.25, 56.32, 13.2, None, 26.15, 3.91, 182.1, 5.0, None, 13.3, 7.7, 5.0, 0.0, None, 0.0, 56.0,2022-06-05 09:00:00, None, None,23
None, 13.82, 58.01, 13.9, None, 25.38, 5.321, 164.8, 6.0, None, 13.8, 7.7, 6.0, 0.0, None, 0.0, 58.0,2022-06-05 10:00:00, None, None,23
None, 6.293, 95.3, 11.6, None, 55.8, 0.124, 168.5, 6.0, None, 6.3, 5.6, 6.0, 0.0, None, 0.0, 95.0,2022-06-06 06:00:00, None, None,23
None, 9.24, 90.1, 9.5, None, 71.25, 1.04, 189.9, 8.0, None, 9.2, 6.2, 8.0, 0.0, None, 0.0, 90.0,2022-06-06 08:00:00, None, None,23
None, 16.06, 41.52, 16.6, None, 26.6, 10.33, 355.8, 3.0, None, 16.1, 6.2, 3.0, 0.0, None, 0.0, 42.0,2022-06-06 14:00:00, None, None,23
None, 12.87, 63.79, 14.6, None, 48.16, 6.027, 13.47, 6.0, None, 12.9, 12.9, 6.0, 0.0, None, 0.0, 64.0,2022-06-06 20:00:00, None, None,23
None, 9.89, 78.26, None, None, 49.78, 2.48, 332.7, None, None, None, None, 6.0, None, None, None, None,2022-06-07 08:00:00, None, None,23
None, 16.17, 41.37, 16.3, None, 26.21, 8.38, 173.4, 3.0, None, 16.2, 7.9, 3.0, 0.0, None, 0.0, 41.0,2022-06-07 12:00:00, None, None,23
