pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, -26.83, 77.19, -19.1, 77.0, -29.0, -26.8, -26.9, -29.0, -0.2, 0.0,2022-12-03 00:00:00, 44.0, 44.48,49
None, -27.35, 78.1, -19.1, 78.0, -30.0, -27.4, -27.6, -30.0, -0.2, 0.0,2022-12-03 01:00:00, 44.0, 44.42,49
None, -27.66, 77.26, -19.1, 77.0, -30.0, -27.7, -28.1, -30.0, -0.1, 0.0,2022-12-03 02:00:00, 44.0, 44.39,49
None, -27.02, 77.46, -19.1, 77.0, -29.0, -27.0, -28.1, -29.0, 0.0, 0.0,2022-12-03 03:00:00, 44.0, 44.28,49
None, -28.44, 75.8, -19.1, 76.0, -31.0, -28.4, -28.5, -31.0, -0.1, 0.0,2022-12-03 04:00:00, 44.0, 44.36,49
None, -27.53, 75.52, -19.1, 76.0, -30.0, -27.5, -28.6, -30.0, -0.1, 0.0,2022-12-03 05:00:00, 44.0, 44.21,49
None, -28.13, 76.79, -19.1, 77.0, -31.0, -28.1, -28.6, -31.0, 0.0, 0.0,2022-12-03 06:00:00, 44.0, 44.33,49
None, -28.16, 75.54, -27.2, 76.0, -31.0, -28.2, -28.3, -31.0, 0.1, 0.0,2022-12-03 07:00:00, 44.0, 44.25,49
None, -28.39, 76.02, -27.2, 76.0, -31.0, -28.4, -28.4, -31.0, -0.1, 0.0,2022-12-03 08:00:00, 44.0, 44.31,49
None, -27.77, 76.23, -27.2, 76.0, -31.0, -27.8, -28.4, -31.0, 0.1, 0.0,2022-12-03 09:00:00, 44.0, 44.29,49
None, -25.35, 79.14, -25.3, 79.0, -27.0, -25.4, -28.4, -27.0, 0.3, 0.0,2022-12-03 10:00:00, 44.0, 44.16,49
None, -24.44, 78.78, -24.1, 79.0, -27.0, -24.4, -28.4, -27.0, 0.4, 0.0,2022-12-03 11:00:00, 44.0, 44.21,49
None, -22.31, 82.5, -22.3, 83.0, -24.0, -22.3, -28.4, -24.0, 0.2, 0.0,2022-12-03 12:00:00, 44.0, 44.42,49
None, -19.24, 84.1, -19.4, 84.0, -21.0, -19.2, -28.4, -21.0, 0.4, 0.0,2022-12-03 13:00:00, 44.0, 44.31,49
None, -18.43, 83.2, -18.4, 83.0, -20.0, -18.4, -28.4, -20.0, 0.3, -1.0,2022-12-03 14:00:00, 44.0, 43.84,49
None, -18.42, 83.2, -18.4, 83.0, -21.0, -18.4, -28.4, -21.0, 0.1, 0.0,2022-12-03 15:00:00, 44.0, 44.03,49
None, -18.96, 82.7, -18.4, 83.0, -21.0, -19.0, -28.4, -21.0, 0.0, 0.0,2022-12-03 16:00:00, 44.0, 44.14,49
None, -19.5, 82.2, -18.4, 82.0, -21.0, -19.5, -28.4, -21.0, -0.1, 0.0,2022-12-03 17:00:00, 44.0, 44.09,49
None, -21.31, 79.42, -18.4, 79.0, -24.0, -21.3, -28.4, -24.0, -0.2, 0.0,2022-12-03 18:00:00, 44.0, 43.95,49
None, -21.97, 83.0, -21.3, 83.0, -24.0, -22.0, -22.4, -24.0, -0.2, 1.0,2022-12-03 19:00:00, 44.0, 44.32,49
None, -21.9, 82.1, -21.0, 82.0, -24.0, -21.9, -22.4, -24.0, 0.0, 0.0,2022-12-03 20:00:00, 44.0, 44.13,49
None, -21.72, 81.1, -20.9, 81.0, -24.0, -21.7, -22.4, -24.0, 0.0, 0.0,2022-12-03 21:00:00, 44.0, 44.22,49
None, -22.47, 78.94, -20.9, 79.0, -25.0, -22.5, -22.5, -25.0, 0.0, 0.0,2022-12-03 22:00:00, 44.0, 44.06,49
None, -22.84, 79.94, -20.9, 80.0, -25.0, -22.8, -23.4, -25.0, -0.2, 0.0,2022-12-03 23:00:00, 44.0, 43.93,49
None, -23.65, 79.27, -20.9, 79.0, -26.0, -23.7, -23.8, -26.0, 0.0, 0.0,2022-12-04 00:00:00, 44.0, 43.92,49
None, -24.19, 78.89, -20.9, 79.0, -27.0, -24.2, -24.2, -27.0, -0.1, 0.0,2022-12-04 01:00:00, 44.0, 44.0,49
None, -24.43, 78.79, -20.9, 79.0, -27.0, -24.4, -24.5, -27.0, 0.0, 0.0,2022-12-04 02:00:00, 44.0, 44.04,49
None, -24.51, 79.35, -20.9, 79.0, -27.0, -24.5, -24.6, -27.0, -0.1, 0.0,2022-12-04 03:00:00, 44.0, 44.06,49
None, -24.61, 78.91, -20.9, 79.0, -27.0, -24.6, -24.6, -27.0, 0.0, 0.0,2022-12-04 04:00:00, 44.0, 44.08,49
None, -24.43, 79.38, -20.9, 79.0, -27.0, -24.4, -24.7, -27.0, 0.0, 0.0,2022-12-04 05:00:00, 44.0, 44.04,49
None, -24.31, 79.76, -20.9, 80.0, -26.0, -24.3, -24.7, -26.0, 0.0, 0.0,2022-12-04 06:00:00, 44.0, 44.12,49
None, -23.96, 78.97, -23.8, 79.0, -26.0, -24.0, -24.4, -26.0, 0.1, 0.0,2022-12-04 07:00:00, 44.0, 43.96,49
None, -23.03, 80.3, -23.0, 80.0, -25.0, -23.0, -24.4, -25.0, 0.0, 0.0,2022-12-04 08:00:00, 44.0, 43.9,49
None, -23.45, 79.17, -22.6, 79.0, -26.0, -23.5, -24.4, -26.0, 0.1, 0.0,2022-12-04 09:00:00, 44.0, 43.9,49
None, -22.05, 81.1, -22.1, 81.0, -24.0, -22.1, -24.4, -24.0, 0.1, 0.0,2022-12-04 10:00:00, 44.0, 43.84,49
None, -21.77, 80.9, -21.7, 81.0, -24.0, -21.8, -24.4, -24.0, 0.2, 0.0,2022-12-04 11:00:00, 44.0, 43.98,49
None, -19.52, 83.7, -19.4, 84.0, -21.0, -19.5, -24.4, -21.0, 0.2, 0.0,2022-12-04 12:00:00, 44.0, 43.86,49
None, -16.45, 85.6, -16.5, 86.0, -18.0, -16.5, -24.4, -18.0, 0.7, 0.0,2022-12-04 13:00:00, 44.0, 43.76,49
None, -15.34, 84.7, -15.1, 85.0, -17.0, -15.3, -24.4, -17.0, 0.3, 0.0,2022-12-04 14:00:00, 44.0, 43.74,49
