RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, -6999.0, None, None, -6999.0, -4.8, None, None, -6999.0, None, None, -6999.0, None, None, None, -4.105, None, -4.1, -6999.0, None, None, -6999.0, -4.1, 0.0, -6999.0,2020-03-11 00:00:00, -6999.0,11
None, None, None, -6999.0, None, None, -6999.0, -4.8, None, None, -6999.0, None, None, -6999.0, None, None, None, -4.145, None, -3.8, -6999.0, None, None, -6999.0, -4.1, 0.0, -6999.0,2020-03-11 01:00:00, -6999.0,11
None, None, None, -6999.0, None, None, -6999.0, -4.8, None, None, -6999.0, None, None, -6999.0, None, None, None, -3.501, None, -3.5, -6999.0, None, None, -6999.0, -3.5, 0.0, -6999.0,2020-03-11 02:00:00, -6999.0,11
None, None, None, -6999.0, None, None, -6999.0, -4.8, None, None, -6999.0, None, None, -6999.0, None, None, None, -3.339, None, -3.3, -6999.0, None, None, -6999.0, -3.3, 0.0, -6999.0,2020-03-11 03:00:00, -6999.0,11
None, None, None, -6999.0, None, None, -6999.0, -4.8, None, None, -6999.0, None, None, -6999.0, None, None, None, -3.024, None, -2.9, -6999.0, None, None, -6999.0, -3.0, 0.0, -6999.0,2020-03-11 04:00:00, -6999.0,11
None, None, None, -6999.0, None, None, -6999.0, -4.8, None, None, -6999.0, None, None, -6999.0, None, None, None, -2.995, None, -2.8, -6999.0, None, None, -6999.0, -3.0, 0.0, -6999.0,2020-03-11 05:00:00, -6999.0,11
None, None, None, -6999.0, None, None, -6999.0, -4.8, None, None, -6999.0, None, None, -6999.0, None, None, None, -3.972, None, -2.8, -6999.0, None, None, -6999.0, -4.0, 0.0, -6999.0,2020-03-11 06:00:00, -6999.0,11
None, None, None, -6999.0, None, None, -6999.0, -4.9, None, None, -6999.0, None, None, -6999.0, None, None, None, -4.529, None, -3.7, -6999.0, None, None, -6999.0, -4.5, 0.0, -6999.0,2020-03-11 07:00:00, -6999.0,11
None, None, None, -6999.0, None, None, -6999.0, -5.4, None, None, -6999.0, None, None, -6999.0, None, None, None, -5.01, None, -3.7, -6999.0, None, None, -6999.0, -5.0, 0.0, -6999.0,2020-03-11 08:00:00, -6999.0,11
None, None, None, -6999.0, None, None, -6999.0, -5.4, None, None, -6999.0, None, None, -6999.0, None, None, None, -4.086, None, -3.7, -6999.0, None, None, -6999.0, -4.1, 0.0, -6999.0,2020-03-11 09:00:00, -6999.0,11
