time,tasmin,tasmax,pcp,week_of_year
2017-12-17,-2.3,1.8,5.3,51
2017-12-18,-6.2,1.2,2.7,51
2017-12-19,-7.9,-3.6,0.1,51
2017-12-20,-14.6,-3.2,0.0,51
2017-12-21,-5.5,-0.1,6.6,51
2017-12-22,-15.3,-4.8,0.0,51
2017-12-23,-15.8,-7.1,0.0,51
