CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,rel_hum,time,stn_pres,week_of_year
13.13, 52.32, None, None,36.37, 4.937,131.0, None, None, None, None, None, None, 3.0, None, None, None,2016-08-26 00:00:00, None,35
12.55, 55.53, None, None,43.72, 3.016,135.9, None, None, None, None, None, None, 4.0, None, None, None,2016-08-26 01:00:00, None,35
11.8, 56.95, None, None,28.84, 1.823,122.6, None, None, None, None, None, None, 3.0, None, None, None,2016-08-26 02:00:00, None,35
10.22, 65.12, None, None,26.0, 0.549,114.8, None, None, None, None, None, None, 4.0, None, None, None,2016-08-26 03:00:00, None,35
9.47, 67.17, None, None,20.13, 0.317,106.8, None, None, None, None, None, None, 4.0, None, None, None,2016-08-26 04:00:00, None,35
8.05, 73.4, None, None,15.13, 0.271,116.9, None, None, None, None, None, None, 4.0, None, None, None,2016-08-26 05:00:00, None,35
6.694, 81.6, None, None,13.28, 0.046,119.9, None, None, None, None, None, None, 4.0, None, None, None,2016-08-26 06:00:00, None,35
6.823, 82.1, None, None,12.72, 0.236,124.0, None, None, None, None, None, None, 4.0, None, None, None,2016-08-26 07:00:00, None,35
10.97, 64.77, None, None,31.62, 0.012,102.0, None, None, None, None, None, None, 5.0, None, None, None,2016-08-26 08:00:00, None,35
13.76, 57.66, None, None,51.87, 0.003,37.84, None, None, None, None, None, None, 5.0, None, None, None,2016-08-26 09:00:00, None,35
14.41, 58.56, None, None,55.28, 0.006,314.6, None, None, None, None, None, None, 6.0, None, None, None,2016-08-26 10:00:00, None,35
15.43, 53.16, None, None,62.93, 0.335,353.7, None, None, None, None, None, None, 6.0, None, None, None,2016-08-26 11:00:00, None,35
17.61, 45.19, None, None,70.54, 0.25,345.1, None, None, None, None, None, None, 5.0, None, None, None,2016-08-26 12:00:00, None,35
19.54, 37.56, None, None,58.51, 0.918,46.72, None, None, None, None, None, None, 5.0, None, None, None,2016-08-26 13:00:00, None,35
20.75, 36.29, None, None,65.43, 1.366,301.2, None, None, None, None, None, None, 5.0, None, None, None,2016-08-26 14:00:00, None,35
20.56, 36.39, None, None,61.21, 1.548,54.48, None, None, None, None, None, None, 5.0, None, None, None,2016-08-26 15:00:00, None,35
19.65, 43.97, None, None,55.01, 0.115,288.8, None, None, None, None, None, None, 7.0, None, None, None,2016-08-26 17:00:00, None,35
18.41, 60.55, None, None,65.51, 0.081,159.4, None, None, None, None, None, None, 11.0, None, None, None,2016-08-26 18:00:00, None,35
16.55, 69.14, None, None,57.86, 0.365,158.5, None, None, None, None, None, None, 11.0, None, None, None,2016-08-26 19:00:00, None,35
14.45, 76.72, None, None,24.05, 1.171,118.9, None, None, None, None, None, None, 11.0, None, None, None,2016-08-26 20:00:00, None,35
13.66, 78.09, None, None,19.94, 0.285,121.7, None, None, None, None, None, None, 10.0, None, None, None,2016-08-26 21:00:00, None,35
13.11, 78.13, None, None,20.24, 0.249,125.5, None, None, None, None, None, None, 9.0, None, None, None,2016-08-26 22:00:00, None,35
13.0, 76.2, None, None,16.46, 0.529,116.9, None, None, None, None, None, None, 9.0, None, None, None,2016-08-26 23:00:00, None,35
12.73, 77.11, None, None,13.16, 0.046,123.2, None, None, None, None, None, None, 9.0, None, None, None,2016-08-27 00:00:00, None,35
12.65, 75.05, None, None,16.09, 0.321,117.2, None, None, None, None, None, None, 8.0, None, None, None,2016-08-27 01:00:00, None,35
12.14, 75.04, None, None,17.11, 0.468,118.2, None, None, None, None, None, None, 8.0, None, None, None,2016-08-27 02:00:00, None,35
