CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,time,MINIMUM_AIR_TEMPERATURE,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None,14.52, None, None,2016-08-26 00:00:00, None, None,20.69,22.38,299.3, None, None, None, None, None, None, None,35
None,13.95, None, None,2016-08-26 01:00:00, None, None,21.19,22.99,291.2, None, None, None, None, None, None, None,35
None,13.35, None, None,2016-08-26 02:00:00, None, None,26.09,18.17,301.7, None, None, None, None, None, None, None,35
None,13.01, None, None,2016-08-26 03:00:00, None, None,24.09,16.93,306.5, None, None, None, None, None, None, None,35
None,12.98, None, None,2016-08-26 04:00:00, None, None,23.96,20.29,293.7, None, None, None, None, None, None, None,35
None,12.42, None, None,2016-08-26 05:00:00, None, None,22.98,21.3,294.7, None, None, None, None, None, None, None,35
None,11.93, None, None,2016-08-26 06:00:00, None, None,24.53,22.62,292.7, None, None, None, None, None, None, None,35
None,11.38, None, None,2016-08-26 07:00:00, None, None,21.52,25.37,286.2, None, None, None, None, None, None, None,35
None,12.04, None, None,2016-08-26 08:00:00, None, None,18.53,19.86,288.1, None, None, None, None, None, None, None,35
None,12.57, None, None,2016-08-26 09:00:00, None, None,22.51,14.67,284.3, None, None, None, None, None, None, None,35
None,12.91, None, None,2016-08-26 10:00:00, None, None,31.13,8.18,279.7, None, None, None, None, None, None, None,35
None,12.45, None, None,2016-08-26 11:00:00, None, None,26.12,9.26,268.0, None, None, None, None, None, None, None,35
None,12.27, None, None,2016-08-26 12:00:00, None, None,23.59,11.04,262.8, None, None, None, None, None, None, None,35
None,12.45, None, None,2016-08-26 13:00:00, None, None,27.51,6.671,249.6, None, None, None, None, None, None, None,35
None,13.46, None, None,2016-08-26 14:00:00, None, None,26.25,10.81,247.2, None, None, None, None, None, None, None,35
None,14.92, None, None,2016-08-26 15:00:00, None, None,27.66,14.86,255.3, None, None, None, None, None, None, None,35
None,15.76, None, None,2016-08-26 16:00:00, None, None,31.1,14.45,266.5, None, None, None, None, None, None, None,35
None,15.15, None, None,2016-08-26 17:00:00, None, None,43.68,11.21,259.4, None, None, None, None, None, None, None,35
None,11.34, None, None,2016-08-26 18:00:00, None, None,27.58,22.77,263.2, None, None, None, None, None, None, None,35
None,11.47, None, None,2016-08-26 19:00:00, None, None,22.98,24.85,265.7, None, None, None, None, None, None, None,35
None,10.95, None, None,2016-08-26 20:00:00, None, None,20.55,22.93,271.1, None, None, None, None, None, None, None,35
None,10.08, None, None,2016-08-26 21:00:00, None, None,19.27,23.29,273.6, None, None, None, None, None, None, None,35
None,9.29, None, None,2016-08-26 22:00:00, None, None,17.98,20.42,276.0, None, None, None, None, None, None, None,35
None,9.01, None, None,2016-08-26 23:00:00, None, None,21.56,18.86,280.9, None, None, None, None, None, None, None,35
None,8.75, None, None,2016-08-27 00:00:00, None, None,22.44,17.26,301.0, None, None, None, None, None, None, None,35
None,8.62, None, None,2016-08-27 01:00:00, None, None,21.53,19.02,298.2, None, None, None, None, None, None, None,35
None,8.53, None, None,2016-08-27 02:00:00, None, None,23.33,17.97,300.7, None, None, None, None, None, None, None,35
None,8.4, None, None,2016-08-27 03:00:00, None, None,20.36,17.14,308.7, None, None, None, None, None, None, None,35
None,8.39, None, None,2016-08-27 04:00:00, None, None,18.72,15.26,321.8, None, None, None, None, None, None, None,35
None,9.23, None, None,2016-08-27 05:00:00, None, None,18.03,15.48,317.4, None, None, None, None, None, None, None,35
None,10.37, None, None,2016-08-27 06:00:00, None, None,21.93,14.89,320.6, None, None, None, None, None, None, None,35
None,11.07, None, None,2016-08-27 07:00:00, None, None,26.97,9.89,306.9, None, None, None, None, None, None, None,35
None,12.51, None, None,2016-08-27 08:00:00, None, None,35.81,8.33,319.2, None, None, None, None, None, None, None,35
None,14.86, None, None,2016-08-27 09:00:00, None, None,64.22,1.788,308.6, None, None, None, None, None, None, None,35
None,14.36, None, None,2016-08-27 10:00:00, None, None,47.58,3.315,175.0, None, None, None, None, None, None, None,35
None,15.91, None, None,2016-08-27 11:00:00, None, None,29.44,5.844,137.6, None, None, None, None, None, None, None,35
None,17.18, None, None,2016-08-27 12:00:00, None, None,33.1,7.77,133.3, None, None, None, None, None, None, None,35
None,17.39, None, None,2016-08-27 13:00:00, None, None,34.64,7.66,89.6, None, None, None, None, None, None, None,35
None,17.47, None, None,2016-08-27 14:00:00, None, None,45.14,4.422,101.0, None, None, None, None, None, None, None,35
None,17.07, None, None,2016-08-27 15:00:00, None, None,37.95,3.646,134.8, None, None, None, None, None, None, None,35
None,16.76, None, None,2016-08-27 16:00:00, None, None,39.9,2.952,119.4, None, None, None, None, None, None, None,35
None,18.08, None, None,2016-08-27 17:00:00, None, None,34.24,4.265,120.4, None, None, None, None, None, None, None,35
None,17.22, None, None,2016-08-27 18:00:00, None, None,28.92,4.663,126.7, None, None, None, None, None, None, None,35
None,15.89, None, None,2016-08-27 19:00:00, None, None,17.66,5.495,111.8, None, None, None, None, None, None, None,35
None,14.34, None, None,2016-08-27 20:00:00, None, None,24.92,6.672,74.6, None, None, None, None, None, None, None,35
None,13.61, None, None,2016-08-27 21:00:00, None, None,16.94,11.77,69.34, None, None, None, None, None, None, None,35
None,12.27, None, None,2016-08-27 22:00:00, None, None,20.57,9.27,81.8, None, None, None, None, None, None, None,35
None,12.15, None, None,2016-08-27 23:00:00, None, None,32.7,6.143,69.72, None, None, None, None, None, None, None,35
None,11.87, None, None,2016-08-28 00:00:00, None, None,17.52,8.82,72.3, None, None, None, None, None, None, None,35
None,11.6, None, None,2016-08-28 01:00:00, None, None,18.81,11.05,74.6, None, None, None, None, None, None, None,35
None,11.04, None, None,2016-08-28 02:00:00, None, None,14.56,12.71,78.6, None, None, None, None, None, None, None,35
None,10.09, None, None,2016-08-28 03:00:00, None, None,12.87,12.91,67.17, None, None, None, None, None, None, None,35
None,9.6, None, None,2016-08-28 04:00:00, None, None,13.9,12.11,63.19, None, None, None, None, None, None, None,35
None,9.46, None, None,2016-08-28 05:00:00, None, None,18.71,11.41,79.1, None, None, None, None, None, None, None,35
None,8.71, None, None,2016-08-28 06:00:00, None, None,22.55,8.64,91.3, None, None, None, None, None, None, None,35
None,8.18, None, None,2016-08-28 07:00:00, None, None,20.9,11.56,71.3, None, None, None, None, None, None, None,35
None,8.74, None, None,2016-08-28 08:00:00, None, None,20.76,15.83,40.59, None, None, None, None, None, None, None,35
None,8.95, None, None,2016-08-28 09:00:00, None, None,39.82,8.21,40.71, None, None, None, None, None, None, None,35
None,11.05, None, None,2016-08-28 10:00:00, None, None,26.07,8.14,81.7, None, None, None, None, None, None, None,35
None,12.25, None, None,2016-08-28 11:00:00, None, None,26.79,9.82,91.6, None, None, None, None, None, None, None,35
None,11.9, None, None,2016-08-28 12:00:00, None, None,21.69,12.23,92.9, None, None, None, None, None, None, None,35
