RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None,1.558,241.3, None, None, None, 967.0, None, None, None, None, None, 107.5, None, None, 2.837, None, None, None, None,48.86, None, None, None, None, None,2017-04-09 00:00:00, None,15
None, None, None, None,0.871,231.3, None, None, None, 967.0, None, None, None, None, None, 107.3, None, None, 1.649, None, None, None, None,43.65, None, None, None, None, None,2017-04-09 01:00:00, None,15
None, None, None, None,1.099,244.5, None, None, None, 968.0, None, None, None, None, None, 107.6, None, None, 1.884, None, None, None, None,38.22, None, None, None, None, None,2017-04-09 02:00:00, None,15
None, None, None, None,0.789,251.4, None, None, None, 968.0, None, None, None, None, None, 107.5, None, None, 1.413, None, None, None, None,21.99, None, None, None, None, None,2017-04-09 03:00:00, None,15
None, None, None, None,0.134,112.6, None, None, None, 969.0, None, None, None, None, None, 107.4, None, None, 0.998, None, None, None, None,73.8, None, None, None, None, None,2017-04-09 04:00:00, None,15
None, None, None, None,0.098,332.6, None, None, None, 969.0, None, None, None, None, None, 107.4, None, None, 0.179, None, None, None, None,56.72, None, None, None, None, None,2017-04-09 05:00:00, None,15
None, None, None, None,0.431,88.4, None, None, None, 971.0, None, None, None, None, None, 107.4, None, None, -0.509, None, None, None, None,45.73, None, None, None, None, None,2017-04-09 06:00:00, None,15
None, None, None, None,0.125,330.0, None, None, None, 971.0, None, None, None, None, None, 107.5, None, None, -0.02, None, None, None, None,49.68, None, None, None, None, None,2017-04-09 07:00:00, None,15
None, None, None, None,0.309,29.84, None, None, None, 971.0, None, None, None, None, None, 107.3, None, None, -0.02, None, None, None, None,48.51, None, None, None, None, None,2017-04-09 08:00:00, None,15
None, None, None, None,0.245,83.0, None, None, None, 972.0, None, None, None, None, None, 107.0, None, None, 2.09, None, None, None, None,25.84, None, None, None, None, None,2017-04-09 09:00:00, None,15
